fixture_id,team_id,team,opponent_id,opponent,date,opp_n_prior,h2h_n_prior,h2h_last3_winrate,h2h_last3_margin,opp_concede_tries,opp_concede_metres,opp_concede_db,opp_concede_breaks,opp_concede_offloads,opp_concede_passes,opp_concede_lineout_steal,opp_concede_scrums,opp_turnovers_conceded,opp_missed_tackles,opp_runs,opp_tackles,opp_possession,opp_pens_conceded,opp_scrum_success,opp_scrums_won,opp_lineout_success,opp_lineout_steal,team_wr_pos,team_wr_pts,opp_wr_pos,opp_wr_pts,wr_pts_gap,wr_rank_gap
8289106,2873,Italy,1967,France,2021-02-06,0,1,0.0,-31.0,,,,,,,,,,,,,,,,,,,14,70.88456620118458,4,85.30402572376639,-14.419459522581803,-10
8289106,1967,France,2873,Italy,2021-02-06,0,1,1.0,31.0,,,,,,,,,,,,,,,,,,,4,85.30402572376639,14,70.88456620118458,14.419459522581803,10
8289115,1667,England,2117,Scotland,2021-02-06,0,0,,,,,,,,,,,,,,,,,,,,,2,89.4870925203653,7,80.81608009108159,8.671012429283707,5
8289115,2117,Scotland,1667,England,2021-02-06,0,0,,,,,,,,,,,,,,,,,,,,,7,80.81608009108159,2,89.4870925203653,-8.671012429283707,-5
8289124,1517,Wales,1817,Ireland,2021-02-07,0,1,0.0,-23.0,,,,,,,,,,,,,,,,,,,9,79.36356687892018,5,84.65066173701928,-5.2870948580990955,-4
8289124,1817,Ireland,1517,Wales,2021-02-07,0,1,1.0,23.0,,,,,,,,,,,,,,,,,,,5,84.65066173701928,9,79.36356687892018,5.2870948580990955,4
8289196,1667,England,2873,Italy,2021-02-13,1,1,1.0,29.0,7.0,484.0,28.0,14.0,9.0,104.0,2.0,5.0,11.999999999999998,28.0,150.0,87.0,0.61,11.999999999999998,1.0,2.9999999999999996,0.79,1.0,3,87.4870925203653,14,70.88456620118458,16.60252631918071,11
8289196,2873,Italy,1667,England,2021-02-13,1,1,0.0,-29.0,1.0,340.0,29.0,11.0,4.0,118.0,2.0,5.999999999999999,13.0,29.0,70.0,163.0,0.35,15.0,1.0,5.0,0.85,0.0,14,70.88456620118458,3,87.4870925203653,-16.60252631918071,-11
8289205,2117,Scotland,1517,Wales,2021-02-13,1,1,1.0,4.0,1.0,536.0,26.0,7.0,3.0,262.0,3.0,5.0,13.0,26.0,95.0,245.0,0.36,11.0,1.0,5.0,0.73,1.0,7,82.81608009108159,8,80.5922763647301,2.223803726351491,1
8289205,1517,Wales,2117,Scotland,2021-02-13,1,1,0.0,-4.0,0.0,219.0,11.0,0.0,2.0,85.0,0.0,5.0,11.999999999999998,11.0,134.0,92.0,0.65,5.999999999999999,1.0,5.999999999999999,1.0,2.0,8,80.5922763647301,7,82.81608009108159,-2.223803726351491,-1
