player_id,player_name,canonical_pos,is_forward,matches,starts,teams,seasons
166674,Mack Hansen,Back-three,False,12,12,Ireland,"2022,2023,2025"
167196,Niccolo Cannone,Second-row,True,30,23,Italy,"2021,2022,2023,2024,2025,2026"
169650,Hassane Kolingar,,False,1,0,France,2021
169662,Matthieu Jalibert,Fly-half,False,15,12,France,"2021,2023,2024,2025,2026"
171582,Kyle Steyn,Back-three,False,16,16,Scotland,"2022,2023,2024,2026"
172296,Nic Dolly,,False,1,0,England,2022
172362,Ollie Hassell-Collins,Back-three,False,2,2,England,2023
172416,Ollie Sleightholme,Back-three,False,3,3,England,2025
172428,Cadan Murley,Back-three,False,3,3,England,"2025,2026"
172434,Andy Christie,Back-row,True,5,2,Scotland,"2022,2024"
175890,Trevor Davison,,False,5,0,England,2026
176586,Louis Carbonel,,False,1,0,France,2021
176652,Aaron Wainwright,Back-row,True,20,15,Wales,"2021,2022,2023,2024,2025,2026"
176706,Arthur Vincent,Centre,False,4,3,France,2021
176748,Gregory Alldritt,Back-row,True,24,24,France,"2021,2022,2023,2024,2025"
177348,Cameron Redpath,Centre,False,8,2,Scotland,"2021,2022,2023,2024"
177378,Ollie Lawrence,Centre,False,15,13,England,"2021,2023,2024,2025,2026"
177552,Cai Evans,,False,1,0,Wales,2024
177600,Tom Rogers,Back-three,False,4,4,Wales,2025
177912,Max Llewellyn,Centre,False,3,3,Wales,2025
178038,Elliot Millar-Mills,,False,7,0,Scotland,"2024,2026"
178248,Sipili Falatea,,False,5,0,France,2023
178656,Demba Bamba,,False,5,0,France,"2022,2026"
178704,Jean-Baptiste Gros,Prop,True,19,10,France,"2021,2022,2025,2026"
178746,Taine Basham,Back-row,True,4,3,Wales,"2022,2024"
178806,Joe Heyes,Prop,True,10,5,England,"2025,2026"
178824,Maxime Lamothe,,False,1,0,France,2026
178848,Dewi Lake,Hooker,True,12,6,Wales,"2022,2025,2026"
178866,Kemsley Mathias,,False,2,0,Wales,2024
178878,Rhys Davies,,False,2,0,Wales,2023
178890,Rio Dyer,Back-three,False,9,9,Wales,"2023,2024"
178944,Matteo Canali,,False,1,0,Italy,2024
178980,Thomas Lavault,,False,1,0,France,2023
178986,Matthis Lebel,Back-three,False,2,1,France,"2022,2024"
179142,Harry Byrne,,False,2,0,Ireland,2024
179322,Ewan Johnson,,False,1,0,Scotland,2025
179364,Jamie Hodgson,,False,2,0,Scotland,2022
179370,Kyle Rowe,Back-three,False,8,3,Scotland,"2024,2025,2026"
179394,Nathan McBeth,Prop,True,3,2,Scotland,2026
180222,Rory Darge,Back-row,True,18,17,Scotland,"2022,2024,2025,2026"
180450,Alessandro Fusco,Scrum-half,False,14,5,Italy,"2022,2023,2026"
181308,Marshall Sykes,,False,1,0,Scotland,2025
181440,Gabin Villiere,Back-three,False,6,6,France,"2021,2022"
184068,Esteban Abadie,,False,1,0,France,2024
186096,Dan Sheehan,Hooker,True,23,18,Ireland,"2022,2023,2024,2025,2026"
186162,Maxime Lucu,Scrum-half,False,15,4,France,"2022,2023,2024,2025"
186198,Robert Baloucoune,Back-three,False,4,4,Ireland,2026
186402,Michael Lowry,Back-three,False,1,1,Ireland,2022
187290,Louis Rees-Zammit,Back-three,False,17,15,Wales,"2021,2022,2023,2026"
187314,Ioan Lloyd,Fly-half,False,5,1,Wales,2024
187422,Ewan Ashman,Hooker,True,14,1,Scotland,"2023,2024,2025,2026"
187458,Tom Roebuck,Back-three,False,5,5,England,"2025,2026"
189918,Anthony Bouthier,,False,2,0,France,2021
189984,Reda Wardi,,False,6,0,France,"2023,2024"
196152,Yoram Moefana,Centre,False,22,15,France,"2022,2023,2024,2025,2026"
196806,Gaetan Barlot,,False,3,0,France,2023
197892,Blair Murray,Back-three,False,7,4,Wales,"2025,2026"
198624,Paul Boudehent,Back-row,True,10,6,France,"2024,2025"
198696,Alex Coles,Second-row,True,7,3,England,"2024,2026"
198810,Bevan Rodd,,False,5,0,England,2026
201696,Jack Crowley,Fly-half,False,16,9,Ireland,"2023,2024,2025,2026"
201750,Nathan Doak,,False,1,0,Ireland,2026
201792,Tom Stewart,,False,1,0,Ireland,2026
201978,Cian Prendergast,Back-row,True,2,1,Ireland,2026
202194,Ollie Smith,Back-three,False,1,1,Scotland,2023
202800,Ethan Dumortier,Back-three,False,5,5,France,2023
202962,Federico Mori,Centre,False,9,3,Italy,"2021,2022,2024"
202968,Filippo Alongi,,False,1,0,Italy,2022
202974,Giacomo Da Re,,False,1,0,Italy,2026
202980,Gianmarco Lucchesi,Hooker,True,17,7,Italy,"2021,2022,2024,2025"
202992,Jacopo Trulla,Back-three,False,6,4,Italy,"2021,2025"
203034,Paolo Garbisi,Fly-half,False,28,28,Italy,"2021,2022,2023,2024,2025,2026"
203070,Jac Morgan,Back-row,True,11,9,Wales,"2022,2023,2025"
203076,Sam Costelow,Fly-half,False,5,5,Wales,"2024,2026"
203082,Teddy Williams,,False,5,0,Wales,"2024,2025"
203100,Ben Healy,,False,4,0,Scotland,"2023,2024"
203124,Craig Casey,Scrum-half,False,11,3,Ireland,"2021,2022,2023,2024,2026"
203190,Ryan Baird,Back-row,True,17,4,Ireland,"2021,2022,2023,2024,2025"
203208,Thomas Clarkson,Prop,True,7,3,Ireland,"2025,2026"
203400,Will Hurd,,False,5,0,Scotland,2025
203496,Freddie Steward,Back-three,False,16,16,England,"2022,2023,2024,2025,2026"
203736,Joe Roberts,Back-three,False,4,2,Wales,"2024,2025"
204054,Manuel Zuliani,Back-row,True,20,7,Italy,"2022,2023,2024,2025,2026"
206706,Taine Plumtree,Back-row,True,3,1,Wales,2026
207198,Pablo Dimcheff,,False,1,0,Italy,2026
207432,Regis Montagne,,False,2,0,France,2026
207774,Ange Capuozzo,Back-three,False,14,13,Italy,"2022,2023,2024,2025,2026"
208038,Cormac Izuchukwu,Back-row,True,1,1,Ireland,2026
208140,Andrea Zambonin,Second-row,True,9,4,Italy,"2022,2024,2026"
209640,Ethan Roots,Back-row,True,4,3,England,2024
213072,Thibaud Flament,Second-row,True,18,12,France,"2022,2023,2024,2025,2026"
213144,Stephen Varney,Scrum-half,False,20,15,Italy,"2021,2022,2023,2024,2025,2026"
213192,Tommy Freeman,Back-three,False,15,15,England,"2024,2025,2026"
213750,Louis Lynagh,Back-three,False,7,7,Italy,"2024,2026"
213756,Gabriel Hamer-Webb,Back-three,False,1,1,Wales,2026
213786,Jack van Poortvliet,Scrum-half,False,10,5,England,"2023,2025,2026"
213798,George Martin,Second-row,True,7,4,England,"2021,2024,2025"
214146,Jamie Dobie,Back-three,False,5,2,Scotland,"2025,2026"
218130,Alessandro Izekor,Back-row,True,2,1,Italy,2024
218742,Ollie Chessum,Second-row,True,21,16,England,"2022,2023,2024,2025,2026"
218844,Theo Dan,,False,6,0,England,"2024,2025"
219924,Joshua Brennan,,False,1,0,France,2026
219930,Mickael Guillard,Second-row,True,10,6,France,"2025,2026"
219972,Nolann Le Garrec,Scrum-half,False,9,2,France,"2023,2024,2025"
219990,Archie Griffin,Prop,True,6,1,Wales,"2024,2026"
219996,Ben Carter,Second-row,True,6,3,Wales,"2022,2026"
220068,Harri O'Connor,,False,1,0,Wales,2024
220128,Riccardo Favretto,Back-row,True,10,1,Italy,"2021,2024,2025,2026"
220140,Lorenzo Cannone,Back-row,True,18,16,Italy,"2023,2024,2025,2026"
220194,Joe McCarthy,Second-row,True,13,11,Ireland,"2024,2025,2026"
220296,Gregor Brown,Second-row,True,9,4,Scotland,"2025,2026"
220776,Harry Paterson,Back-three,False,1,1,Scotland,2024
220782,Muhamed Hasa,Prop,True,4,1,Italy,2026
220956,Mason Grady,Centre,False,9,2,Wales,"2023,2024,2026"
220962,Joe Hawkins,Centre,False,8,8,Wales,"2023,2026"
221094,Melvyn Jaminet,Back-three,False,7,5,France,"2022,2023"
223302,Ivan Nemer,,False,3,0,Italy,2022
223740,Martin Page-Relo,Scrum-half,False,9,6,Italy,"2024,2025"
224724,Leo Barre,Back-three,False,3,3,France,"2024,2025"
226818,Tommaso Menoncello,Centre,False,20,20,Italy,"2022,2023,2024,2025,2026"
226830,Bradley Roberts,,False,3,0,Wales,"2022,2023"
226836,Giacomo Nicotera,Hooker,True,22,18,Italy,"2022,2023,2024,2025,2026"
226920,Fin Baxter,,False,5,0,England,2025
226926,Freddie Thomas,Second-row,True,3,1,Wales,"2025,2026"
227658,Jamie Osborne,Back-three,False,7,7,Ireland,"2025,2026"
227772,Fin Smith,Fly-half,False,11,6,England,"2024,2025,2026"
230874,Ben Muncaster,,False,1,0,Scotland,2025
230898,Immanuel Feyi-Waboso,Back-three,False,4,1,England,2024
231570,Max Williamson,Second-row,True,4,2,Scotland,2026
231684,Louis Bielle-Biarrey,Back-three,False,14,13,France,"2024,2025,2026"
231696,Emilien Gailleton,Centre,False,5,2,France,"2025,2026"
231714,Tommaso Di Bartolomeo,,False,4,0,Italy,2026
231744,Lorenzo Pani,Back-three,False,7,6,Italy,"2024,2026"
231762,Luca Rizzoli,,False,2,0,Italy,2025
231774,Alessandro Garbisi,Scrum-half,False,9,2,Italy,"2023,2024,2025,2026"
231804,Mirco Spagnolo,,False,13,0,Italy,"2024,2025,2026"
231810,Simone Gesi,Back-three,False,3,2,Italy,"2023,2025"
231834,Leonardo Marin,Centre,False,14,6,Italy,"2022,2024,2025,2026"
231840,Ross Vintcent,Back-row,True,9,3,Italy,"2024,2025"
231864,Jack Boyle,,False,2,0,Ireland,2025
231906,Darragh Murray,,False,1,0,Ireland,2026
232032,Seb Atkinson,Centre,False,2,2,England,2026
232104,Dafydd Jenkins,Second-row,True,19,16,Wales,"2023,2024,2025,2026"
232110,Alex Mann,Back-row,True,10,8,Wales,"2024,2026"
232116,Christ Tshiunza,Back-row,True,2,2,Wales,2023
232122,Harri Deaves,,False,1,0,Wales,2026
232134,Evan Lloyd,Hooker,True,5,2,Wales,"2024,2025"
232158,Eddie James,Centre,False,6,6,Wales,"2025,2026"
238116,Lenni Nouchi,,False,4,0,France,2026
238206,Posolo Tuilagi,Second-row,True,3,1,France,2024
238278,Hugo Auradou,,False,6,0,France,"2025,2026"
238830,Henry Arundell,Back-three,False,7,4,England,"2023,2026"
239076,Guy Pepper,Back-row,True,5,4,England,2026
242478,Oscar Jegou,Back-row,True,9,4,France,"2025,2026"
242484,Gael Drean,Back-three,False,1,1,France,2026
242766,Tom Jordan,Centre,False,10,6,Scotland,"2025,2026"
