key,api_player_id,api_name,rp_slug,rp_name,official_name,nationality,canonical_pos,in_api,in_rp,in_official,key_collision,match_method
o|watkin,136476,Owen Watkin,owen-watkin,O. Watkin,,Wales,Centre,True,True,False,False,key
o|williams,111624,Owen Williams,owen-williams,Owen Williams,O. Williams,Wales,Fly-half,True,True,True,False,key
p|barassi,162150,Pierre-Louis Barassi,pierre-louis-barassi,P. Barassi,P. Barassi,France,Centre,True,True,True,False,key
p|boudehent,198624,Paul Boudehent,pierre-boudehent,P. Boudehent,P. Boudehent,France,Back-row,True,True,True,False,key
p|bourgarit,147570,Pierre Bourgarit,pierre-bourgarit,P. Bourgarit,,France,Hooker,True,True,False,False,key
p|bruno,136626,Pierre Bruno,pierre-bruno,Pierre Bruno,P. Bruno,Italy,Back-three,True,True,True,False,key
p|ceccarelli,118062,Pietro Ceccarelli,pietro-ceccarelli,Pietro Ceccarelli,P. Ceccarelli,Italy,Prop,True,True,True,False,key
p|dimcheff,207198,Pablo Dimcheff,pablo-dimcheff,P. Dimcheff,P. Dimcheff,Argentina,Hooker,True,True,True,False,key
p|gabrillagues,133476,Paul Gabrillagues,paul-gabrillagues,Paul Gabrillagues,,France,Second-row,True,True,False,False,key
p|garbisi,203034,Paolo Garbisi,paolo-garbisi,P. Garbisi,P. Garbisi,Italy,Fly-half,True,True,True,False,key
p|harrison,,,patrick-harrison,P. Harrison,,Scotland,,False,True,False,False,key
p|mauvaka,147480,Peato Mauvaka,peato-mauvaka,P. Mauvaka,P. Mauvaka,France,Hooker,True,True,True,False,key
p|odogwu,142488,Paolo Odogwu,paolo-odogwu,P. Odogwu,P. Odogwu,Italy,Back-three,True,True,True,False,key
p|omahony,61620,Peter O'Mahony,peter-omahony,P. O'Mahony,P. O'Mahony,Ireland,Back-row,True,True,True,False,key
p|schoeman,130290,Pierre Schoeman,pierre-schoeman,P. Schoeman,P. Schoeman,Scotland,Prop,True,True,True,False,key
p|tuilagi,238206,Posolo Tuilagi,posolo-tuilagi,Posolo Tuilagi,,France,Second-row,True,True,False,False,key
p|willemse,118416,Paul Willemse,paul-willemse,Paul Willemse,P. Willemse,France,Second-row,True,True,True,False,key
r|baird,203190,Ryan Baird,ryan-baird,R. Baird,R. Baird,Ireland,Back-row,True,True,True,False,key
r|baloucoune,186198,Robert Baloucoune,robert-baloucoune,R. Baloucoune,R. Baloucoune,Northern Ireland,Back-three,True,True,True,False,key
r|byrne,129288,Ross Byrne,ross-byrne,Ross Byrne,R. Byrne,Ireland,Fly-half,True,True,True,False,key
r|carre,162870,Rhys Carré,rhys-carre,R. Carre,R. Carre,Wales,Prop,True,True,True,False,key
r|darge,180222,Rory Darge,rory-darge,R. Darge,R. Darge,Scotland,Back-row,True,True,True,False,key
r|davies,178878,Rhys Davies,rhys-davies,Rhys Davies,R. Davies,Wales,Second-row,True,True,True,False,key
r|dyer,178890,Rio Dyer,rio-dyer,Rio Dyer,R. Dyer,Wales,Back-three,True,True,True,False,key
r|elias,128574,Ryan Elias,ryan-elias,R. Elias,R. Elias,,Hooker,True,True,True,False,key
r|favretto,220128,Riccardo Favretto,riccardo-favretto,R. Favretto,R. Favretto,Italy,Back-row,True,True,True,False,key
r|gray,97512,Richie Gray,richie-gray,Richie Gray,R. Gray,Scotland,Second-row,True,True,True,False,key
r|henshaw,120702,Robbie Henshaw,robbie-henshaw,R. Henshaw,R. Henshaw,,Centre,True,True,True,False,key
r|herring,102312,Rob Herring,rob-herring,Rob Herring,R. Herring,Ireland,Hooker,True,True,True,False,key
r|hutchinson,,,rory-hutchinson,R. Hutchinson,,Scotland,,False,True,False,False,key
r|jones,111030,Rhodri Jones,,,A. Jones,,Prop,True,False,True,False,surname
r|kelleher,148644,Ronan Kelleher,ronan-kelleher,R. Kelleher,R. Kelleher,,Hooker,True,True,True,False,key
r|montagne,207432,Regis Montagne,regis-montagne,R. Montagne,,,Prop,True,True,False,False,key
r|morganwilliams,,,reuben-morgan-williams,R. Morgan-Williams,,Wales,,False,True,False,False,key
r|moriarty,120084,Ross Moriarty,,,,,Back-row,True,False,False,False,key
r|neti,133488,Rodrigue Neti,rodrigue-neti,R. Neti,R. Neti,France,Prop,True,True,True,False,key
r|ntamack,165180,Romain Ntamack,romain-ntamack,R. Ntamack,R. Ntamack,France,Fly-half,True,True,True,False,key
r|patchell,116490,Rhys Patchell,rhys-patchell,Rhys Patchell,R. Patchell,Wales,Fly-half,True,True,True,False,key
r|quirke,,,rafi-quirke,R. Quirke,,England,,False,True,False,False,key
r|ruddock,61608,Rhys Ruddock,,,,,Back-row,True,False,False,False,key
r|sutherland,134172,Rory Sutherland,rory-sutherland,R. Sutherland,R. Sutherland,Scotland,Prop,True,True,True,False,key
r|taofifenua,58998,Romain Taofifenua,romain-taofifenua,R. Taofifenua,R. Taofifenua,France,Second-row,True,True,True,False,key
r|vintcent,231840,Ross Vintcent,ross-vintcent,R. Vintcent,R. Vintcent,Italy,Back-row,True,True,True,False,key
r|wardi,189984,Reda Wardi,reda-wardi,R. Wardi,R. Wardi,France,Prop,True,True,True,False,key
r|webb,58584,Rhys Webb,rhys-webb,Rhys Webb,R. Webb,,Scrum-half,True,True,True,False,key
r|williams,116400,Rhodri Williams,rhodri-williams,R. Williams,R. Williams,Wales,Scrum-half,True,True,True,False,key
r|wilson,109572,Ryan Wilson,,,,,Back-row,True,False,False,False,key
r|woodman,,,ryan-woodman,R. Woodman,,Wales,,False,True,False,False,key
s|atkinson,232032,Seb Atkinson,sebastien-atkinson,S. Atkinson,S. Atkinson,England,Centre,True,True,True,False,key
s|baldwin,60708,Scott Baldwin,scott-baldwin,Scott Baldwin,S. Baldwin,,Hooker,True,True,True,False,key
s|berghan,130044,Simon Berghan,simon-berghan,Simon Berghan,S. Berghan,,Prop,True,True,True,False,key
s|costelow,203076,Sam Costelow,sam-costelow,S. Costelow,S. Costelow,Wales,Fly-half,True,True,True,False,key
s|cummings,136596,Scott Cummings,scott-cummings,S. Cummings,S. Cummings,Scotland,Second-row,True,True,True,False,key
s|davies,132096,Seb Davies,,,,,Back-row,True,False,False,False,key
s|falatea,178248,Sipili Falatea,sipili-falatea,Sipili Falatea,S. Falatea,France,Prop,True,True,True,False,key
s|ferrari,123210,Simone Ferrari,simone-ferrari,S. Ferrari,S. Ferrari,Italy,Prop,True,True,True,False,key
s|gesi,231810,Simone Gesi,simone-gesi,S. Gesi,S. Gesi,Italy,Back-three,True,True,True,False,key
s|hogg,111744,Stuart Hogg,stuart-hogg,Stuart Hogg,S. Hogg,Scotland,Back-three,True,True,True,False,key
s|johnson,131922,Sam Johnson,,,,,Centre,True,False,False,False,key
s|locatelli,,,samuele-locatelli,S. Locatelli,,Italy,,False,True,False,False,key
s|macalou,136914,Sekou Macalou,sekou-macalou,Sekou Macalou,S. Macalou,France,Back-row,True,True,True,False,key
s|maitland,57942,Sean Maitland,,,,,Back-three,True,False,False,False,key
s|mccloskey,129840,Stuart McCloskey,stuart-mccloskey,S. McCloskey,S. McCloskey,Northern Ireland,Centre,True,True,True,False,key
s|mcdowall,163866,Stafford McDowall,stafford-mcdowall,S. McDowall,S. McDowall,Scotland,Centre,True,True,True,False,key
s|mcinally,101598,Stuart McInally,,,,,Hooker,True,False,False,False,key
s|negri,129216,Sebastian Negri,sebastian-negri-da-ollegio,S. Negri,S. Negri,Italy,Back-row,True,True,True,False,key
s|prendergast,337638,Sam Prendergast,sam-prendergast,S. Prendergast,S. Prendergast,Ireland,Fly-half,True,True,True,False,key
s|rebbadj,163572,Swan Rebbadj,,,,,Second-row,True,False,False,False,key
s|simmonds,122046,Sam Simmonds,,,,,Back-row,True,False,False,False,key
s|skinner,135774,Sam Skinner,sam-skinner,S. Skinner,S. Skinner,,Second-row,True,True,True,False,key
s|steele,115302,Scott Steele,,,,,Scrum-half,True,False,False,False,key
s|stephen,,,seb-stephen,S. Stephen,,,,False,True,False,False,key
s|taofifenua,88518,Sebastien Taofifenua,sebastien-taofifenua,Sebastien Taofifenua,,France,Prop,True,True,False,False,key
s|tuipulotu,139998,Sione Tuipulotu,sione-tuipulotu,S. Tuipulotu,S. Tuipulotu,Scotland,Centre,True,True,True,False,key
s|underhill,129660,Sam Underhill,sam-underhill,S. Underhill,S. Underhill,England,Back-row,True,True,True,False,key
s|varney,213144,Stephen Varney,stephen-varney,S. Varney,S. Varney,Italy,Scrum-half,True,True,True,False,key
s|wainwright,,,sam-wainwright,S. Wainwright,,Wales,,False,True,False,False,key
t|allan,117834,Tommaso Allan,tommaso-allan,T. Allan,T. Allan,Italy,Back-three,True,True,True,False,key
t|attissogbe,339450,Theo Attissogbe,theo-attissogbe,T. Attissogbe,T. Attissogbe,France,Back-three,True,True,True,False,key
