season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2021,1266,Six Nations,3,8289295,2021-02-27,England,1667,Wales,1517,away,24,40,L,-16,2,4,1,4,4,4,0,0,0.69,42,388,45,10,1,19,24,0.8,1,1,4,0,2,2,0,0,1,1,10,2,128,0.43,0.48,14,4,0.45,0,0,7,77,70,91,0,1.0,5,118,12,2,0
2021,1266,Six Nations,4,8289376,2021-03-13,Italy,2873,Wales,1517,home,7,48,L,-41,1,7,1,5,0,1,0,0,0.82,58,348,71,5,1,16,17,0.88,0,2,14,0,5,5,1,0,0,0,17,6,214,0.47,0.59,10,0,0.53,0,0,2,110,108,135,0,1.0,3,129,20,6,2
2021,1266,Six Nations,4,8289376,2021-03-13,Wales,1517,Italy,2873,away,48,7,W,41,7,1,5,1,1,0,0,0,0.18,62,528,52,12,5,17,27,1.0,0,0,13,0,11,11,1,1,2,0,16,7,191,0.53,0.41,8,1,0.47,0,0,2,88,86,120,0,1.0,8,165,10,9,0
2021,1266,Six Nations,4,8289385,2021-03-13,England,1667,France,1967,home,23,20,W,3,2,2,2,2,3,2,0,0,0.74,67,533,53,10,2,28,31,1.0,2,0,14,1,9,8,2,0,0,0,29,8,169,0.54,0.64,12,3,0.58,0,0,8,95,87,128,0,1.0,6,90,11,6,0
2021,1266,Six Nations,4,8289385,2021-03-13,France,1967,England,1667,away,20,23,L,-3,2,2,2,2,2,3,0,0,0.26,42,402,50,9,2,29,32,0.88,0,2,14,0,1,1,0,0,0,0,28,6,125,0.46,0.36,8,2,0.42,0,0,3,64,61,95,0,1.0,3,144,16,8,0
2021,1266,Six Nations,4,8289394,2021-03-14,Scotland,2117,Ireland,1817,home,24,27,L,-3,3,2,3,1,1,5,0,0,0.83,46,325,64,6,3,25,22,0.25,1,6,2,1,2,1,0,0,0,1,13,5,123,0.39,0.51,11,1,0.46,0,0,6,92,86,113,1,0.8,4,147,16,5,0
2021,1266,Six Nations,4,8289394,2021-03-14,Ireland,1817,Scotland,2117,away,27,24,W,3,2,3,1,3,5,1,0,0,0.17,54,298,56,3,1,13,31,0.82,3,2,9,1,6,5,0,0,1,0,25,4,158,0.61,0.49,9,5,0.54,0,0,5,99,94,113,1,0.75,3,151,11,11,0
2021,1266,Six Nations,5,8289466,2021-03-20,Scotland,2117,Italy,2873,home,52,10,W,42,8,1,6,1,0,1,0,0,0.46,83,721,74,17,6,48,17,0.88,3,2,15,0,9,9,2,1,2,0,6,13,229,0.7,0.64,12,0,0.67,0,0,4,129,125,166,0,1.0,5,102,5,2,0
2021,1266,Six Nations,5,8289466,2021-03-20,Italy,2873,Scotland,2117,away,10,52,L,-42,1,8,1,6,1,0,0,0,0.54,30,228,41,5,1,6,10,0.71,1,4,10,0,3,3,0,0,0,0,48,6,112,0.3,0.36,16,1,0.33,0,0,2,60,58,79,1,0.8,4,199,9,5,3
2021,1266,Six Nations,5,8289475,2021-03-20,Ireland,1817,England,1667,home,32,18,W,14,2,2,2,1,6,2,0,0,0.41,32,216,57,4,2,10,27,0.91,0,1,10,0,3,3,1,0,0,0,13,3,115,0.62,0.45,12,6,0.53,0,1,4,79,75,93,0,1.0,5,92,6,5,1
