season,key,off_games,name,team,off_Min,off_C,off_BS,off_CPen,off_T,off_RC,off_YC,off_Pen,off_DG,off_Ta,off_DB,off_As,off_MC,off_Pts,off_OF,api_games,api_minutes,api_tries,api_try_assists,api_conversion_goals,api_penalty_goals,api_metres,api_defenders_beaten,api_tackles,api_offload,api_penalties_conceded,api_tackle_turnover,api_fantasy_pts_recon,slug,rp_games,rp_minutes,rp_tries,rp_try_assists,rp_metres,rp_defenders_beaten,rp_tackles,rp_offloads,rp_penalties_conceded,rp_turnovers_won,rp_points,_m
2025,n|tompkins,3,N. Tompkins,Wales,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,95.0,31,2.0,3,120,0,0,0,0,46,3,12,2,0,0,26,nick-tompkins,3,172,0,0,47.0,3.0,13.0,2,0,0,0,95.0
2025,o|chessum,5,O. Chessum,England,217,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,120.0,81,1.0,5,217,0,0,0,0,83,5,28,1,3,1,49,oliver-chessum,5,217,0,0,83.0,5.0,27.0,1,3,1,0,120.0
2025,o|jegou,5,O. Jegou,France,149,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,65.0,64,1.0,5,151,1,0,0,0,29,1,27,1,1,1,52,oscar-jegou,5,149,1,0,29.0,1.0,28.0,1,1,1,5,65.0
2025,o|lawrence,4,O. Lawrence,England,248,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,9.0,0.0,126.0,79,4.0,4,248,1,0,0,0,76,8,29,4,1,0,69,ollie-lawrence,4,248,1,0,76.0,9.0,29.0,4,1,1,5,126.0
2025,o|sleightholme,3,O. Sleightholme,England,205,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,110.0,66,1.0,3,204,2,0,0,0,69,10,8,1,1,0,55,ollie-sleightholme,3,205,2,0,72.0,10.0,9.0,1,1,1,10,110.0
2025,p|barassi,4,P. Barassi,France,287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,209.0,75,4.0,4,286,1,0,0,0,127,4,28,4,0,0,65,pierre-louis-barassi,4,287,1,0,129.0,4.0,29.0,4,0,0,5,209.0
2025,p|garbisi,5,P. Garbisi,Italy,390,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,54.0,6.0,2.0,177.0,117,1.0,5,378,1,2,4,1,108,6,52,1,0,0,103,paolo-garbisi,5,390,1,2,108.0,6.0,54.0,1,0,1,16,177.0
2025,p|mauvaka,5,P. Mauvaka,France,237,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,32.0,3.0,0.0,109.0,67,0.0,5,247,1,0,0,0,84,3,36,0,2,1,61,peato-mauvaka,5,237,1,0,86.0,3.0,32.0,0,2,2,5,109.0
2025,p|omahony,4,P. O'Mahony,Ireland,209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,114.0,57,0.0,4,208,0,0,0,0,56,1,34,0,0,1,44,peter-omahony,4,209,0,0,57.0,1.0,32.0,0,0,2,0,114.0
2025,p|schoeman,5,P. Schoeman,Scotland,282,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,230.0,66,0.0,5,281,0,0,0,0,64,4,26,0,3,0,36,pierre-schoeman,5,282,0,0,62.0,4.0,25.0,0,3,1,0,230.0
2025,r|baird,4,R. Baird,Ireland,136,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,68.0,36,1.0,4,122,0,0,0,0,41,4,17,1,2,0,28,ryan-baird,4,136,0,0,41.0,4.0,17.0,1,2,0,0,68.0
2025,r|darge,5,R. Darge,Scotland,342,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,58.0,3.0,0.0,102.0,122,6.0,5,341,1,0,0,0,37,3,60,6,3,1,97,rory-darge,5,342,1,0,39.0,3.0,58.0,6,3,4,5,102.0
2025,r|favretto,2,R. Favretto,Italy,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,2,20,0,0,0,0,0,0,1,0,0,0,1,riccardo-favretto,2,18,0,0,,,1.0,0,0,0,0,0.0
2025,r|henshaw,5,R. Henshaw,Ireland,332,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,3.0,1.0,192.0,79,1.0,5,308,0,1,0,0,80,3,40,1,1,0,57,robbie-henshaw,5,332,0,1,83.0,3.0,41.0,1,1,2,0,192.0
2025,r|herring,1,R. Herring,Ireland,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,1,12,0,0,0,0,2,0,0,0,0,0,0,rob-herring,1,11,0,0,2.0,,,0,0,0,0,4.0
2025,r|kelleher,2,R. Kelleher,Ireland,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,49.0,31,0.0,2,89,0,0,0,0,33,4,14,0,0,0,25,ronan-kelleher,2,91,0,0,33.0,5.0,12.0,0,0,0,0,49.0
2025,r|ntamack,3,R. Ntamack,France,230,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,28.0,5.0,2.0,170.0,55,2.0,3,240,0,2,0,0,118,5,29,2,2,0,49,romain-ntamack,3,230,0,2,118.0,5.0,28.0,2,2,0,0,170.0
2025,r|sutherland,4,R. Sutherland,Scotland,109,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,73.0,24,0.0,4,109,0,0,0,0,21,0,10,0,2,0,9,rory-sutherland,4,109,0,0,20.0,1.0,11.0,0,2,0,0,73.0
2025,r|taofifenua,1,R. Taofifenua,France,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,12,3.0,1,32,0,0,0,0,13,0,1,3,1,0,7,romain-taofifenua,1,32,0,0,13.0,,1.0,3,1,0,0,23.0
2025,r|vintcent,5,R. Vintcent,Italy,140,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,3.0,0.0,128.0,56,1.0,5,160,1,0,0,0,78,3,26,1,1,0,44,ross-vintcent,5,140,1,0,88.0,3.0,27.0,1,1,0,5,128.0
2025,r|williams,4,R. Williams,Wales,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,9,0.0,5,53,0,0,0,0,10,0,11,0,0,0,11,rhodri-williams,4,51,0,0,10.0,,9.0,0,0,0,0,14.0
2025,s|ferrari,5,S. Ferrari,Italy,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,16.0,52,0.0,5,235,0,0,0,0,0,0,39,0,1,1,43,simone-ferrari,5,238,0,0,0.0,,38.0,0,0,1,0,16.0
2025,s|gesi,2,S. Gesi,Italy,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,84.0,21,0.0,2,93,0,0,0,0,63,4,5,0,0,0,18,simone-gesi,2,93,0,0,63.0,4.0,5.0,0,0,0,0,84.0
2025,s|mcdowall,5,S. McDowall,Scotland,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,138.0,49,2.0,5,164,0,1,0,0,64,6,17,2,0,0,41,stafford-mcdowall,5,165,0,1,64.0,6.0,18.0,2,0,1,0,138.0
2025,s|negri,5,S. Negri,Italy,317,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,175.0,106,0.0,5,298,0,0,0,0,52,1,74,0,3,0,76,sebastian-negri-da-ollegio,5,317,0,0,53.0,1.0,75.0,0,3,0,0,175.0
2025,s|prendergast,5,S. Prendergast,Ireland,314,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,24.0,6.0,2.0,134.0,127,3.0,5,314,0,2,7,10,78,7,25,2,0,0,102,sam-prendergast,5,314,0,2,77.0,6.0,24.0,3,0,0,44,134.0
2025,s|skinner,2,S. Skinner,Scotland,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0.0,2,32,0,0,0,0,0,0,2,0,0,0,2,sam-skinner,2,31,0,0,,,2.0,0,0,0,0,0.0
2025,s|varney,2,S. Varney,Italy,91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,16.0,23,1.0,2,90,1,0,0,0,11,1,9,1,0,0,23,stephen-varney,2,91,1,0,11.0,1.0,9.0,1,0,0,5,16.0
2025,t|allan,5,T. Allan,Italy,293,6.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,100.0,61,2.0,5,293,0,0,6,11,73,0,5,2,1,1,63,tommaso-allan,5,293,0,0,73.0,,5.0,2,1,1,45,100.0
2025,t|attissogbe,2,T. Attissogbe,France,160,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,4.0,1.0,167.0,80,3.0,2,160,3,1,0,0,129,4,17,3,0,0,77,theo-attissogbe,2,160,3,1,127.0,4.0,17.0,3,0,0,15,167.0
2025,t|beirne,5,T. Beirne,Ireland,391,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,59.0,2.0,0.0,92.0,111,0.0,5,329,1,0,0,0,36,2,60,0,7,0,73,tadgh-beirne,5,391,1,0,35.0,2.0,59.0,0,7,2,5,92.0
2025,t|clarkson,4,T. Clarkson,Ireland,112,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,26.0,15,0.0,4,111,0,0,0,0,7,1,12,0,2,0,12,tom-clarkson,4,112,0,0,7.0,1.0,10.0,0,3,0,0,26.0
2025,t|curry,5,T. Curry,England,343,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,45.0,7.0,1.0,136.0,150,2.0,5,341,2,1,0,0,70,7,43,2,0,1,106,tom-curry,5,343,2,1,70.0,7.0,45.0,2,0,6,10,136.0
2025,t|dan,1,T. Dan,England,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,17.0,13,0.0,1,25,0,1,0,0,4,2,3,0,0,0,11,theo-dan,1,25,0,1,4.0,2.0,3.0,0,0,0,0,17.0
2025,t|faletau,4,T. Faletau,Wales,292,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,46.0,7.0,0.0,352.0,99,2.0,4,292,0,0,0,0,208,7,44,2,5,0,76,taulupe-faletau,4,292,0,0,207.0,7.0,46.0,2,5,1,0,352.0
2025,t|flament,3,T. Flament,France,215,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,72.0,45,0.0,3,214,0,0,0,0,35,0,38,0,2,1,44,thibaud-flament,3,215,0,0,32.0,,35.0,0,2,1,0,72.0
2025,t|freeman,5,T. Freeman,England,369,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,29.0,15.0,1.0,329.0,161,7.0,5,368,5,1,0,0,219,15,28,7,1,1,149,tommy-freeman,5,369,5,1,221.0,15.0,29.0,7,1,2,25,329.0
2025,t|furlong,1,T. Furlong,Ireland,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,6,0.0,1,34,0,0,0,0,0,0,6,0,0,0,6,tadhg-furlong,1,34,0,0,0.0,,5.0,0,0,0,0,1.0
2025,t|jordan,5,T. Jordan,Scotland,343,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,30.0,14.0,2.0,355.0,119,2.0,5,344,2,2,0,0,190,13,30,2,4,1,106,tom-jordan,5,343,2,2,194.0,14.0,30.0,2,4,2,10,355.0
2025,t|menoncello,5,T. Menoncello,Italy,400,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,59.0,20.0,0.0,323.0,169,4.0,5,400,2,0,0,0,213,20,56,4,3,3,155,tommaso-menoncello,5,400,2,0,213.0,20.0,59.0,4,3,6,10,323.0
2025,t|ramos,5,T. Ramos,France,375,21.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,14.0,11.0,2.0,441.0,179,7.0,5,373,1,2,21,8,315,10,14,7,3,1,163,thomas-ramos,5,375,1,2,320.0,11.0,14.0,7,3,1,71,441.0
2025,t|reffell,4,T. Reffell,Wales,200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,61.0,70,0.0,4,153,0,0,0,0,22,2,47,0,0,0,53,tommy-reffell,4,200,0,0,22.0,2.0,48.0,0,0,1,0,61.0
2025,t|roebuck,1,T. Roebuck,England,80,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,54.0,24,1.0,1,80,1,0,0,0,43,2,3,1,0,0,23,tom-roebuck,1,80,1,0,43.0,2.0,3.0,1,0,0,5,54.0
2025,t|rogers,4,T. Rogers,Wales,195,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,88.0,37,2.0,4,193,1,0,0,0,80,2,15,2,1,0,39,tom-rogers,4,195,1,0,80.0,2.0,13.0,2,1,0,5,88.0
2025,t|williams,5,T. Williams,Wales,430,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,37.0,3.0,2.0,105.0,85,3.0,5,430,1,2,0,0,51,3,39,3,2,0,69,tomos-williams,5,349,0,2,28.0,2.0,20.0,2,2,0,0,105.0
2025,t|willis,5,T. Willis,England,180,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,38.0,10.0,1.0,170.0,111,3.0,5,180,1,1,0,0,104,10,39,3,2,2,101,tom-willis,5,180,1,1,103.0,10.0,38.0,3,2,3,5,170.0
2025,u|atonio,5,U. Atonio,France,246,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,52.0,39,1.0,5,244,0,0,0,0,8,0,22,1,0,1,29,uini-atonio,5,246,0,0,9.0,,22.0,1,1,3,0,52.0
2025,w|hurd,4,W. Hurd,Scotland,46,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,7,0.0,5,48,0,0,0,0,10,0,4,0,3,0,2,will-hurd,4,46,0,0,10.0,,4.0,0,3,0,0,40.0
2025,w|john,3,W. John,Wales,130,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,35.0,27,1.0,3,137,0,0,0,0,0,0,28,1,3,0,22,will-john,3,130,0,0,0.0,,28.0,1,3,0,0,35.0
2025,w|rowlands,5,W. Rowlands,Wales,319,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,4.0,0.0,133.0,83,0.0,5,317,0,0,0,0,44,4,46,0,2,0,55,will-rowlands,5,319,0,0,45.0,4.0,45.0,0,2,0,0,133.0
2025,w|stuart,5,W. Stuart,England,293,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,86.0,73,1.0,5,270,1,0,0,0,20,4,31,1,1,1,60,will-stuart,5,293,1,0,29.0,3.0,32.0,1,1,1,5,86.0
2025,y|moefana,5,Y. Moefana,France,400,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,54.0,12.0,2.0,331.0,159,4.0,5,400,2,2,0,0,186,13,57,4,0,0,136,yoram-moefana,5,400,2,2,186.0,12.0,54.0,4,0,0,10,331.0
2025,z|fagerson,5,Z. Fagerson,Scotland,354,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0,252.0,82,1.0,5,352,0,0,0,0,71,2,43,1,4,0,49,zander-fagerson,5,354,0,0,70.0,2.0,43.0,1,4,0,0,252.0
