season,comp_id,round,fixture_id,date,team,player_id,player_name,canonical_pos,is_forward,is_jumper,is_modern,minutes,started,min_share,team_scrums_won,team_lineout_steal,y_tries,y_try_assists,y_conversion_goals,y_penalty_goals,y_drop_goals_converted,y_metres,y_defenders_beaten,y_clean_breaks,y_offload,y_runs,y_tackles,y_missed_tackles,y_tackle_turnover,y_passes,y_penalties_conceded,y_yellow_cards,y_red_cards,recon_pts,official_pts,potm_winner,has_label,official_label_source,lat_sw,lat_ls,lat_potm,lat_other,latent_total,target_pts
2023,1266,1,8380528,2023-02-04,Wales,162870,Rhys Carré,Prop,True,False,False,27,False,0.3375,3,0,0,0,0,0,0,6,0,0,0,2,4,3,0,2,0,0,0,4.0,10.0,0.0,True,official_workbook_name_identity,0.8930930360946611,0.0,0.0,0.49340065242919223,1.3864936885238532,5.386493688523853
2023,1266,1,8380528,2023-02-04,Wales,135306,Dillon Lewis,Prop,True,False,False,40,False,0.5,3,0,0,0,0,0,0,5,0,0,1,4,8,2,0,2,1,0,0,9.0,6.4,0.0,True,official_workbook_name_identity,1.3231007942143125,0.0,0.0,0.49340065242919223,1.8165014466435048,10.816501446643505
2023,1266,1,8380528,2023-02-04,Wales,232104,Dafydd Jenkins,Second-row,True,True,False,20,False,0.25,3,0,0,0,0,0,0,11,1,0,0,6,4,1,0,0,0,0,0,7.0,10.0,0.0,True,official_workbook_name_identity,0.6615503971071562,0.0,0.0,1.301319777877228,1.9628701749843844,8.962870174984385
2023,1266,1,8380528,2023-02-04,Wales,155826,Tommy Reffell,Back-row,True,True,False,27,False,0.3375,3,0,0,0,0,0,0,0,0,0,1,2,8,2,0,3,0,0,0,10.0,8.0,0.0,True,official_workbook_name_identity,0.8930930360946611,0.0,0.0,1.4831920462553747,2.376285082350036,12.376285082350035
2023,1266,1,8380528,2023-02-04,Wales,58584,Rhys Webb,Scrum-half,False,False,False,17,False,0.2125,3,0,0,0,0,0,0,2,0,0,0,3,3,0,0,23,1,0,0,2.0,9.2,0.0,True,official_workbook_name_identity,0.0,0.0,0.0,1.376068376068376,1.376068376068376,3.376068376068376
2023,1266,1,8380528,2023-02-04,Wales,111624,Owen Williams,Fly-half,False,False,False,13,False,0.1625,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,11,0,0,0,1.0,1.8,0.0,True,official_workbook_name_identity,0.0,0.0,0.0,1.6627906976744176,1.6627906976744176,2.6627906976744176
2023,1266,1,8380528,2023-02-04,Wales,116478,Alex Cuthbert,Back-three,False,False,False,12,False,0.15,3,0,0,0,0,0,0,17,0,0,0,3,3,0,1,2,0,0,0,9.0,6.6,0.0,True,official_workbook_name_identity,0.0,0.0,0.0,0.9468599033816418,0.9468599033816418,9.946859903381641
2023,1266,1,8380528,2023-02-04,Ireland,143496,Hugo Keenan,Back-three,False,False,False,80,True,1.0,6,2,0,0,0,0,0,80,3,0,0,12,0,1,0,2,1,0,0,13.0,40.2,1.0,True,official_workbook_name_identity,0.0,0.0,15.0,0.9468599033816418,15.946859903381641,28.946859903381643
2023,1266,1,8380528,2023-02-04,Ireland,166674,Mack Hansen,Back-three,False,False,False,80,True,1.0,6,2,0,0,0,0,0,24,2,1,3,8,7,2,0,5,0,0,0,19.0,40.8,0.0,True,official_workbook_name_identity,0.0,0.0,0.0,0.9468599033816418,0.9468599033816418,19.946859903381643
2023,1266,1,8380528,2023-02-04,Ireland,129372,Garry Ringrose,Centre,False,False,False,80,True,1.0,6,2,0,0,0,0,0,18,3,0,0,10,10,4,0,4,0,0,0,17.0,26.2,0.0,True,official_workbook_name_identity,0.0,0.0,0.0,1.4896551724137947,1.4896551724137947,18.489655172413794
2023,1266,1,8380528,2023-02-04,Ireland,129840,Stuart McCloskey,Centre,False,False,False,59,True,0.7375,6,2,0,0,0,0,0,33,3,0,1,9,8,1,1,3,0,0,0,24.0,13.6,0.0,True,official_workbook_name_identity,0.0,0.0,0.0,1.4896551724137947,1.4896551724137947,25.489655172413794
2023,1266,1,8380528,2023-02-04,Ireland,120468,James Lowe,Back-three,False,False,False,80,True,1.0,6,2,1,0,0,0,0,96,2,1,0,6,6,3,1,3,1,0,0,33.0,,,False,missing,0.0,0.0,0.5072463768115941,0.9468599033816418,1.454106280193236,34.45410628019324
2023,1266,1,8380528,2023-02-04,Ireland,90342,Johnny Sexton,Fly-half,False,False,False,68,True,0.85,6,2,0,0,3,2,0,23,3,0,0,12,8,0,0,18,0,0,0,28.0,5.4,0.0,True,official_workbook_name_identity,0.0,0.0,0.0,1.6627906976744176,1.6627906976744176,29.662790697674417
2023,1266,1,8380528,2023-02-04,Ireland,61860,Conor Murray,Scrum-half,False,False,False,63,True,0.7875,6,2,0,1,0,0,0,11,0,0,0,5,3,1,0,59,0,0,0,8.0,9.8,0.0,True,official_workbook_name_identity,0.0,0.0,0.0,1.376068376068376,1.376068376068376,9.376068376068377
2023,1266,1,8380528,2023-02-04,Ireland,139806,Andrew Porter,Prop,True,False,False,73,True,0.9125,6,2,0,0,0,0,0,12,1,0,0,10,14,1,0,4,6,0,0,11.0,7.0,0.0,True,official_workbook_name_identity,4.82931789888224,0.0,0.0,0.49340065242919223,5.322718551311432,16.322718551311432
2023,1266,1,8380528,2023-02-04,Ireland,186096,Dan Sheehan,Hooker,True,False,False,73,True,0.9125,6,2,0,0,0,0,0,34,6,2,1,9,9,2,0,4,0,0,0,26.0,5.5,0.0,True,official_workbook_name_identity,4.82931789888224,0.0,0.0,0.912244070268424,5.7415619691506645,31.741561969150666
2023,1266,1,8380528,2023-02-04,Ireland,112068,Finlay Bealham,Prop,True,False,False,59,True,0.7375,6,2,0,1,0,0,0,4,2,0,0,6,13,0,0,4,0,0,0,21.0,47.8,0.0,True,official_workbook_name_identity,3.9031473429322223,0.0,0.0,0.49340065242919223,4.396547995361415,25.396547995361416
2023,1266,1,8380528,2023-02-04,Ireland,117954,Tadhg Beirne,Second-row,True,True,False,53,True,0.6625,6,2,0,0,0,0,0,13,0,0,0,9,12,1,0,3,0,0,0,13.0,55.2,0.0,True,official_workbook_name_identity,3.5062171046679276,1.3662054614728831,0.0,1.301319777877228,6.173742344018039,19.173742344018038
