component,kind,engine,oof_naive,oof_ridge,oof_glm,oof_xgb,oof_blend,reason
tries,count,glm,0.3259491343562938,0.328212195652494,0.30801635276832867,0.3084579088802848,0.30823713082430676,best baseline (OOF 0.308)
tackles,rate,naive,4.840609112004714,4.9416429513463305,4.907911514279223,4.931265324124118,4.779799270173184,best baseline (OOF 4.841)
metres,continuous,xgb,18.00010582367021,18.140385894999906,18.254062554906817,17.48583095793358,17.519843586605433,xgb beats naive OOF by 2.9% (17.486 < 18.000)
try_assists,count,xgb,0.24505533944249872,0.24039265557574108,0.23745835348171968,0.22568774787068108,0.23157305067620035,xgb beats glm OOF by 5.0% (0.226 < 0.237)
conversion_goals,kick,naive,0.12383032061334313,0.14509029696395034,0.13983314445478356,,,kicker-gated form (assignment problem)
penalty_goals,kick,naive,0.09576013349711554,0.1157248373654619,0.11309887384806315,,,kicker-gated form (assignment problem)
drop_goals_converted,rare,zero_prior,0.007075291936340617,0.016856888231969527,0.009721344953415038,,,100%/99% zero -> constant 0
defenders_beaten,count,ridge,1.4530563426611915,1.4238737560393642,1.4286296184345304,1.4076991359464441,1.4089837988745668,best baseline (OOF 1.424)
offload,count,naive,0.6329741656807433,0.641305795763494,0.6412179135506417,0.6308214116073311,0.6354997365099017,best baseline (OOF 0.633)
tackle_turnover,count,naive,0.256184530703787,0.26500156752205783,0.2587120439231977,0.2538822068923141,0.2562971254077559,best baseline (OOF 0.256)
penalties_conceded,count,naive,0.9092596100785391,0.928238286492239,0.9183936799028959,0.903353023559967,0.9104723649249331,best baseline (OOF 0.909)
yellow_cards,card,naive,0.07720262623315984,0.08570352045638767,0.07680195016422507,,,position/discipline base rate
red_cards,rare,zero_prior,0.007754150131400123,0.010318770053221913,0.007753167364256177,,,100%/99% zero -> constant 0
