candidate,stable_score,delta_vs_c5,original_accepted,reported_temporal_candidate,reported_temporal_baseline,reported_temporal_delta
E1_swap_t3_global,0.8845049535664833,0.005139075878762,False,0.8931287344256387,0.8832197579629835,0.0099089764626553
E2_swap_t3_shrunk,0.8774617908585192,-0.001904086829202,False,0.8873392234752271,0.8832197579629835,0.0041194655122436
E3_three_empirical,0.8730098686159631,-0.006356009071758,True,0.8806350101638106,0.903696653777843,-0.0230616436140326
N1_naive_shrinkage,0.8753855827864854,-0.0039802949012357,True,0.8851800956993988,0.9394455877503076,-0.0542654920509087
N3_naive_capped,0.8753838673955059,-0.0039820102922152,True,0.8851955177829766,0.9006386404214254,-0.0154431226384488
N2_naive_plus_t3,0.8750485901057212,-0.004317287582,True,0.8857465022113685,0.937336689726368,-0.0515901875149995
E4_three_empirical_plus_naive,0.8696561456757431,-0.009709732011978,True,0.880270661279173,0.9154705563515934,-0.0351998950724206
E5_four_empirical,0.8728578688398108,-0.0065080088479105,True,0.8829228105071106,0.9074662937676372,-0.0245434832605267
G1_started_weight,0.8787909130372176,-0.0005749646505034,False,0.8827253624302966,0.8816216325560162,0.0011037298742806
G2_position_weight,0.8791747144884651,-0.0001911631992561,False,0.882756902540915,0.8816216325560162,0.0011352699848989
E6_all_components,0.870825750653089,-0.0085401270346322,True,0.8824962318489633,0.9075914284615204,-0.0250951966125569
C9_calibrated_E4,0.8634024110900063,-0.0159634665977148,True,0.8709850810115689,0.8816216325560162,-0.0106365515444471
C10_calibrated_E4_wide,0.8637689648383224,-0.0155969128493988,True,0.87061455048405,0.8816216325560162,-0.011007082071966
