competition,model,group,n,mae,spearman,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture
six_nations,v2 stack (OOF+tuned),6n-2026-r1,131,7.5398759541984735,0.6637676907142253,0.7,0.8319327731092437,0.6,0.7993827160493827,0.64,0.8505361930294906,0.8959999999999999,0.9458536585365853
six_nations,stage-1 full,6n-2026-r1,131,7.5398759541984735,0.6637676907142253,0.7,0.8319327731092437,0.6,0.7993827160493827,0.64,0.8505361930294906,0.8959999999999999,0.9458536585365853
six_nations,v2 stack (OOF+tuned),6n-2026-r2,131,7.2531679389312975,0.7216376030859286,0.4,0.7838899803536346,0.6533333333333333,0.8436293436293436,0.72,0.87531328320802,0.888,0.963821892393321
six_nations,stage-1 full,6n-2026-r2,131,7.2531679389312975,0.7216376030859286,0.4,0.7838899803536346,0.6533333333333333,0.8436293436293436,0.72,0.87531328320802,0.888,0.963821892393321
six_nations,v2 stack (OOF+tuned),6n-2026-r3,136,7.33953125,0.5754080147562665,0.4,0.7215189873417721,0.5,0.7184154175588865,0.6533333333333333,0.8268839103869654,0.81,0.9161849710982659
six_nations,stage-1 full,6n-2026-r3,136,7.33953125,0.5754080147562665,0.4,0.7215189873417721,0.5,0.7184154175588865,0.6533333333333333,0.8268839103869654,0.81,0.9161849710982659
six_nations,v2 stack (OOF+tuned),6n-2026-r4,135,7.035685185185186,0.7348034343581988,0.3,0.5968379446640316,0.5,0.7638036809815951,0.7066666666666667,0.8781925343811395,0.894,0.9645852749301025
six_nations,stage-1 full,6n-2026-r4,135,7.035685185185186,0.7348034343581988,0.3,0.5968379446640316,0.5,0.7638036809815951,0.7066666666666667,0.8781925343811395,0.894,0.9645852749301025
six_nations,v2 stack (OOF+tuned),6n-2026-r5,135,6.858092592592592,0.762522119079578,0.4,0.6787878787878788,0.5333333333333333,0.8123711340206186,0.6666666666666667,0.8934372969460689,0.905,0.9671532846715328
six_nations,stage-1 full,6n-2026-r5,135,6.858092592592592,0.762522119079578,0.4,0.6787878787878788,0.5333333333333333,0.8123711340206186,0.6666666666666667,0.8934372969460689,0.905,0.9671532846715328
ncr,v2 stack (OOF+tuned),gw1,270,9.653550925925927,0.5348071671356356,0.1,0.4991568296795953,0.28,0.565112540192926,0.38,0.6124763705103969,0.6,0.7437818399760263
ncr,stage-1 full,gw1,270,9.653550925925927,0.5348071671356356,0.1,0.4991568296795953,0.28,0.565112540192926,0.38,0.6124763705103969,0.6,0.7437818399760263
ncr,v2 stack (OOF+tuned),gw2,262,8.539770992366412,0.5189526269274769,0.3,0.5512605042016807,0.36,0.6753246753246753,0.38,0.6956748306409588,0.5858333333333333,0.7693856998992951
ncr,stage-1 full,gw2,262,8.539770992366412,0.5189526269274769,0.3,0.5512605042016807,0.36,0.6753246753246753,0.38,0.6956748306409588,0.5858333333333333,0.7693856998992951
