family,slate,competition,season,round,engine,n,mae,team_points,xv,captain_bonus,substitute,label_error,raw_error,roster_errors
native,six_nations_2026_r2,six_nations,2026,2,p3_tournament_frozen_native,131,7.504325391275316,484.0,385.0,33.0,66.0,0.0,,
native,six_nations_2026_r3,six_nations,2026,3,p3_tournament_frozen_native,136,7.337449376613343,473.0,390.0,41.0,42.0,0.0,,
native,six_nations_2026_r4,six_nations,2026,4,p3_tournament_frozen_native,135,6.93794340636655,422.0,392.0,21.0,9.0,0.0,,
native,six_nations_2026_r5,six_nations,2026,5,p3_tournament_frozen_native,135,6.788193206690198,545.0,473.0,30.0,42.0,0.0,,
native,six_nations_2026_r2,six_nations,2026,2,empirical_baseline,131,7.4258453314951085,547.0,433.0,48.0,66.0,0.0,,
native,six_nations_2026_r2,six_nations,2026,2,p3_rolling_native,131,7.526903427095764,552.0,453.0,33.0,66.0,0.0,7.105427357601002e-15,
native,six_nations_2026_r2,six_nations,2026,2,p3_weighted_native,131,7.644135439855794,552.0,453.0,33.0,66.0,0.0,7.105427357601002e-15,
native,six_nations_2026_r2,six_nations,2026,2,p3_robust_native,131,7.602708366714299,564.0,465.0,33.0,66.0,0.0,7.105427357601002e-15,
native,six_nations_2026_r3,six_nations,2026,3,empirical_baseline,136,7.606811556097491,460.0,350.0,56.0,54.0,0.0,,
native,six_nations_2026_r3,six_nations,2026,3,p3_rolling_native,136,7.546265564559347,466.0,377.0,41.0,48.0,0.0,7.105427357601002e-15,
native,six_nations_2026_r3,six_nations,2026,3,p3_weighted_native,136,7.576412715855256,466.0,377.0,41.0,48.0,0.0,7.105427357601002e-15,
native,six_nations_2026_r3,six_nations,2026,3,p3_robust_native,136,7.465032655742995,481.0,377.0,56.0,48.0,0.0,3.552713678800501e-15,
native,six_nations_2026_r4,six_nations,2026,4,empirical_baseline,135,7.0081066667303515,518.0,464.0,45.0,9.0,0.0,,
native,six_nations_2026_r4,six_nations,2026,4,p3_rolling_native,135,6.985416398134208,416.0,393.0,14.0,9.0,0.0,3.552713678800501e-15,
native,six_nations_2026_r4,six_nations,2026,4,p3_weighted_native,135,7.020815617105461,416.0,393.0,14.0,9.0,0.0,3.552713678800501e-15,
native,six_nations_2026_r4,six_nations,2026,4,p3_robust_native,135,6.937134408442193,440.0,417.0,14.0,9.0,0.0,7.105427357601002e-15,
native,six_nations_2026_r5,six_nations,2026,5,empirical_baseline,135,6.817664958306432,518.0,470.0,30.0,18.0,0.0,,
native,six_nations_2026_r5,six_nations,2026,5,p3_rolling_native,135,6.6792755132569175,543.0,471.0,30.0,42.0,0.0,7.105427357601002e-15,
native,six_nations_2026_r5,six_nations,2026,5,p3_weighted_native,135,6.648134819285491,575.0,503.0,30.0,42.0,0.0,1.4210854715202004e-14,
native,six_nations_2026_r5,six_nations,2026,5,p3_robust_native,135,6.667775557590245,571.0,497.0,44.0,30.0,0.0,1.4210854715202004e-14,
rolling,ncr_2026_r1,ncr,2026,1,empirical_baseline,227,8.265638766519825,529.0,461.0,41.0,27.0,0.0,,
rolling,ncr_2026_r1,ncr,2026,1,p3_rolling,227,8.405163379058806,526.0,473.0,56.0,-3.0,0.0,3.552713678800501e-15,
rolling,ncr_2026_r1,ncr,2026,1,p3_weighted,227,8.338082423779555,554.0,498.0,41.0,15.0,0.0,3.552713678800501e-15,
rolling,ncr_2026_r1,ncr,2026,1,p3_robust,227,8.329846822540858,502.0,464.0,41.0,-3.0,0.0,3.552713678800501e-15,
rolling,ncr_2026_r1,ncr,2026,1,p3_tournament_frozen,227,8.405163379058806,526.0,473.0,56.0,-3.0,0.0,,
