competition,season,metric,mean,p05,p95
ncr,2026,mae,-0.03656263635651058,-0.08472358598300822,0.01159831326998706
ncr,2026,team_points,54.0,-20.666666666666668,128.66666666666666
six_nations,2025,mae,0.09241540047641124,0.015016548761197335,0.17710084331236314
six_nations,2025,team_points,1.2,-31.0,30.0
six_nations,2026,mae,-0.13493473727462657,-0.28549210532310487,0.012378430629175341
six_nations,2026,team_points,0.4,-32.2,32.2
