candidate,comparator,development_delta,audit_delta,pooled_min_leave_one_out,ncr_delta,improves_development,preserves_audit,gain_survives_round_removal,six_nations_research_priority,shared_research_priority
empirical_timing_only,equal_incumbent,45.0,-73.0,-10.88888888888889,78.0,True,False,False,False,False
empirical_timing_only,incumbent,96.0,-43.0,-2.7777777777777777,76.0,True,False,False,False,False
empirical_timing_only,p3_robust_native,0.0,0.0,0.0,0.0,False,True,False,False,False
