id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,emp_exp,champ_exp,champ_captain_score,avg_exp
140494,Jiuta Wainiqolo,Fiji,2,Back Three,5.5,18.4,P,England,True,19,3482,-2.8,1.0,24.56,74.5,23.290128848373847,11.645064424186923,24.82,21.760257696747694,2.7875236536914594,23.290128848373847
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,Italy,True,18,2081,33.5,0.962,35.44,65.5,28.446668574731767,14.223334287365883,30.97,25.92333714946353,2.4499412338160855,28.446668574731767
146480,Sione Tuipulotu,Scotland,1,Centre,7.5,9.3,P,South Africa,False,44,3873,-25.7,1.0,14.65,76.1,19.1250349379513,9.56251746897565,15.38,22.870069875902594,1.3781429608766302,19.1250349379513
123016,Jac Morgan,Wales,1,Loose Forward,7.0,17.3,P,Argentina,False,32,2339,-20.2,1.0,25.36,73.3,24.930533491516044,12.465266745758022,25.19,24.67106698303209,1.3173181155039788,24.930533491516044
244532,Theo Attissogbe,France,1,Back Three,6.5,8.2,P,Australia,False,14,3569,4.9,1.0,23.45,80.0,27.9497706597191,13.97488532985955,25.4,30.499541319438197,3.8209577887001016,27.9497706597191
180778,Kyle Rowe,Scotland,1,Back Three,5.5,1.3,P,South Africa,False,20,2907,-25.7,1.0,14.91,76.0,18.633196754037094,9.316598377018547,15.63,21.636393508074185,2.309906515154476,18.633196754037094
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,Australia,False,3,2419,4.9,1.0,24.18,70.7,27.17007368010551,13.585036840052755,23.33,31.010147360211022,3.5421132001725733,27.17007368010551
190344,Matthieu Jalibert,France,1,Fly Half,8.0,21.8,P,Australia,False,35,4126,4.9,1.0,30.63,75.5,29.35071862502997,14.675359312514985,30.86,27.841437250059943,5.012668527908843,29.35071862502997
162344,Julian Montoya,Argentina,2,Hooker,7.5,9.0,P,Wales,True,60,3073,20.2,1.0,17.23,67.2,16.78843222182179,8.394216110910895,15.97,17.60686444364358,-0.29055746551057515,16.78843222182179
180443,Damian Willemse,South Africa,2,Back Three,5.5,8.1,P,Scotland,True,41,2695,25.7,1.0,18.36,74.0,20.403069466167842,10.201534733083921,18.74,22.066138932335683,2.4447141439100086,20.403069466167842
142873,Ben Gunter,Japan,2,Loose Forward,4.5,10.7,P,Ireland,True,19,2235,-19.8,0.998,19.9,69.9,20.851006471690678,10.425503235845339,19.18,22.522012943381355,0.996501190519507,20.851006471690678
146220,Will Jordan,New Zealand,2,Back Three,8.5,28.9,P,Italy,True,55,2032,33.5,0.962,28.11,78.6,27.27215531762711,13.636077658813555,29.56,24.984310635254225,3.2488853372515,27.27215531762711
245050,Max Jorgensen,Australia,2,Back Three,7.5,13.4,P,France,True,21,2330,-4.9,1.0,17.4,78.8,20.97970494085493,10.489852470427465,18.91,23.049409881709863,2.8605335349938894,20.97970494085493
229505,Lucio Cinti,Argentina,2,Centre,6.0,1.4,P,Wales,True,42,2494,20.2,1.0,17.67,72.6,21.013432359870976,10.506716179935488,17.68,24.346864719741948,2.1018312837589614,21.013432359870976
187820,Rory Darge,Scotland,1,Loose Forward,6.5,4.7,P,South Africa,False,40,3091,-25.7,1.0,23.93,73.3,23.803136161634086,11.901568080817043,23.87,23.736272323268167,1.4792570046682265,23.803136161634086
104346,Tevita Ikanivere,Fiji,2,Hooker,5.0,3.7,P,England,True,32,2226,-2.8,1.0,20.2,65.3,17.56547917854311,8.782739589271555,18.19,16.94095835708622,0.18940500280529565,17.56547917854311
207343,Grant Williams,South Africa,2,Scrum Half,7.0,5.1,B,Scotland,True,29,1629,25.7,1.0,28.85,19.8,5.6599043322639755,16.979712996791925,7.89,3.4298086645279517,-2.2260270221333376,5.6599043322639755
105748,Jack Conan,Ireland,1,Loose Forward,7.0,12.8,P,Japan,False,49,2728,19.8,0.998,21.55,71.1,23.224216300299958,11.612108150149979,21.09,25.35843260059992,2.1952931644789824,23.224216300299958
109816,Rory Hutchinson,Scotland,1,Centre,4.0,1.1,P,South Africa,False,8,3342,-25.7,1.0,15.01,74.3,18.77531315381329,9.387656576906645,15.38,22.17062630762658,1.8132154142549761,18.77531315381329
239638,Takuro Matsunaga,Japan,2,Back Three,3.5,1.4,P,Ireland,True,6,3040,-19.8,0.998,9.72,65.2,20.50120366606457,10.250601833032285,8.75,32.25240733212914,3.9172996772540256,20.50120366606457
243815,Marko Gazzotti,France,1,Loose Forward,4.0,3.3,P,Australia,False,2,2538,4.9,1.0,18.31,80.0,24.295602016766445,12.147801008383222,20.2,28.391204033532894,2.413535130599938,24.295602016766445
179379,Ardie Savea,New Zealand,2,Loose Forward,8.5,50.2,P,Italy,True,63,3403,33.5,0.962,25.77,78.9,28.256551430176195,14.128275715088098,27.37,29.143102860352393,2.9646330040802944,28.256551430176195
214439,Rob Valetini,Australia,2,Loose Forward,6.5,8.0,P,France,True,62,3062,-4.9,1.0,15.19,70.4,18.481321980383868,9.240660990191934,14.75,22.212643960767736,1.363069067707162,18.481321980383868
128023,Salesi Rayasi,Fiji,2,Back Three,6.5,10.3,P,England,True,5,3122,-2.8,1.0,18.69,74.2,20.494421114236765,10.247210557118382,19.14,21.84884222847353,2.6615048092448044,20.494421114236765
165007,Ellis Genge,England,1,Prop,5.5,8.9,P,Fiji,False,69,2845,2.8,1.0,15.83,56.4,12.977511274867542,6.488755637433771,12.31,13.645022549735081,-0.8811527208852517,12.977511274867542
178222,Jock Campbell,Australia,2,Back Three,4.0,2.7,B,France,True,8,2443,-4.9,1.0,13.47,31.6,5.581225996825995,16.743677990477984,5.87,5.29245199365199,-0.8738723000528799,5.581225996825995
185160,Codie Taylor,New Zealand,2,Hooker,7.5,4.3,P,Italy,True,57,1887,33.5,0.962,20.69,54.7,16.399619405424577,8.199809702712288,15.62,17.179238810849156,-0.13645268588256343,16.399619405424577
240621,Dylan Pietsch,Australia,2,Back Three,6.5,2.0,P,France,True,12,1690,-4.9,1.0,19.32,66.4,21.076650786715568,10.538325393357784,17.69,24.46330157343113,2.684934139463967,21.076650786715568
179604,Josua Tuisova,Fiji,2,Centre,5.5,12.4,P,England,True,21,3187,-2.8,1.0,17.22,77.3,20.573696258029095,10.286848129014547,18.35,22.79739251605819,2.280050398141153,20.573696258029095
