id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,captain_score
238928,Warner Dearns,Japan,2,Lock,6.5,14.2,P,Ireland,True,33,2722,-19.8,0.998,16.2,78.3,21.259596985137758,10.629798492568879,0.6921551136433789
136190,Luke Jacobson,New Zealand,2,Loose Forward,4.0,2.9,P,Italy,True,24,2773,33.5,0.962,16.29,74.6,22.623359175674146,11.311679587837073,1.273866969040009
110905,Ben-Jason Dixon,South Africa,2,Loose Forward,4.0,0.1,B,Scotland,True,8,2620,25.7,1.0,13.69,31.7,6.823078060613642,20.469234181840925,-1.274924460672008
209612,Ben Earl,England,1,Loose Forward,8.0,14.0,P,Fiji,False,55,3720,2.8,1.0,20.51,74.2,27.470851384393143,13.735425692196571,2.9069202336084983
130487,Nacho Brex,Italy,1,Centre,6.0,4.2,P,New Zealand,False,53,0,-33.5,0.962,10.76,75.1,16.05018932245501,8.025094661227506,-0.011643678389457957
240799,Josh Canham,Australia,2,Lock,4.5,3.1,P,France,True,5,1759,-4.9,1.0,15.13,58.0,18.072946399555907,9.036473199777953,0.027588266615023505
206415,Mamoru Harada,Japan,2,Hooker,4.0,1.3,P,Ireland,True,13,1482,-19.8,0.998,19.86,60.6,17.264934741341513,8.632467370670756,-0.2776231368034562
169055,Jordie Barrett,New Zealand,2,Centre,8.0,11.9,P,Italy,True,62,3072,33.5,0.962,22.46,70.7,23.341771368963556,11.670885684481778,1.8111903270494933
202239,Tomas Albornoz,Argentina,2,Fly Half,7.0,5.9,P,Wales,True,26,2612,20.2,1.0,28.33,64.7,30.644933180115643,15.322466590057822,3.377521789140469
142211,George Martin,England,1,Lock,4.0,6.4,P,Fiji,False,23,1448,2.8,1.0,14.66,68.9,20.76393825984664,10.38196912992332,0.1301482385025029
219485,Ryan Lonergan,Australia,2,Scrum Half,4.0,1.6,P,France,True,8,2520,-4.9,1.0,11.36,46.2,18.325894647249875,9.162947323624937,0.22547997721321875
229297,Ruben Love,New Zealand,2,Fly Half,5.0,17.3,P,Italy,True,6,2402,33.5,0.962,21.91,72.0,26.597581891490904,13.298790945745452,3.2577276958462362
188103,Pita Gus Sowakula,Fiji,2,Loose Forward,4.0,1.8,B,England,True,6,0,-2.8,1.0,14.63,15.0,4.183570735071313,12.550712205213937,-1.8264008393540423
236602,Tommaso di Bartolomeo,Italy,1,Hooker,3.5,3.8,P,New Zealand,False,11,1743,-33.5,0.962,24.53,43.9,16.382233929609413,8.191116964804706,-0.7430007429415229
229557,Tommaso Menoncello,Italy,1,Centre,8.0,43.1,P,New Zealand,False,40,3214,-33.5,0.962,17.24,78.2,26.832624606547114,13.416312303273557,3.219171324552285
141860,Ewan Ashman,Scotland,1,Hooker,5.5,2.7,P,South Africa,False,37,2562,-25.7,1.0,26.09,56.3,16.563844466566785,8.281922233283392,-0.42039065586809743
173801,Alex Coles,England,1,Lock,5.0,4.2,P,Fiji,False,20,3120,2.8,1.0,16.94,72.2,18.28760239337607,9.143801196688035,-0.08121980610617996
156253,Paolo Garbisi,Italy,1,Fly Half,7.0,5.1,P,New Zealand,False,53,3199,-33.5,0.962,13.7,78.2,24.307680997112314,12.153840498556157,1.5096400933300187
132322,Killian Tixeront,France,1,Loose Forward,4.0,0.2,B,Australia,False,5,3460,4.9,1.0,15.07,21.8,6.26484646924781,18.79453940774343,-1.4030678460498422
119132,Aaron Wainwright,Wales,1,Loose Forward,6.5,5.6,P,Argentina,False,46,2728,-20.2,1.0,18.38,67.1,22.799196174231525,11.399598087115763,1.9093115816926238
222388,Yoram Moefana,France,1,Centre,6.5,11.0,P,Australia,False,40,4053,4.9,1.0,16.18,75.9,21.81280381218131,10.906401906090656,1.6124745437855
196773,Pierre Schoeman,Scotland,1,Prop,6.0,5.7,P,South Africa,False,55,3017,-25.7,1.0,19.15,59.6,14.869981436558323,7.4349907182791615,-0.6241937940416874
210801,Scott Cummings,Scotland,1,Lock,6.0,3.1,P,South Africa,False,42,2903,-25.7,1.0,13.63,71.6,17.3480469701122,8.6740234850561,-0.49669530243119325
100043,Maxime Lucu,France,1,Scrum Half,6.5,16.6,P,Australia,False,34,4035,4.9,1.0,17.67,68.1,25.107081237342356,12.553540618671178,0.6927649521581843
229303,Sam Darry,New Zealand,2,Lock,5.5,2.9,P,Italy,True,10,2202,33.5,0.962,15.47,68.8,20.823127591830236,10.411563795915118,0.48266679437039056
133163,Tomos Williams,Wales,1,Scrum Half,5.5,4.5,P,Argentina,False,55,2970,-20.2,1.0,12.67,71.0,19.821467410321368,9.910733705160684,0.3284077116280375
159599,Matt Fagerson,Scotland,1,Loose Forward,5.5,2.5,P,South Africa,False,59,3190,-25.7,1.0,19.81,75.2,20.286530641880134,10.143265320940067,0.5447168852013466
119955,Rhys Carre,Wales,1,Prop,4.5,28.7,P,Argentina,False,20,2337,-20.2,1.0,17.79,47.1,15.357959038430772,7.678979519215386,-0.1691547773499118
210952,Tate McDermott,Australia,2,Scrum Half,4.0,0.9,B,France,True,51,1665,-4.9,1.0,17.77,30.3,5.317308785875152,15.951926357625457,-1.5861497326865956
202316,Frank Lomani,Fiji,2,Scrum Half,3.5,2.2,B,England,True,30,1315,-2.8,1.0,15.53,32.7,3.330581686029166,9.991745058087497,-2.2166594491730085
196669,Zander Fagerson,Scotland,1,Prop,6.5,1.4,P,South Africa,False,52,2641,-25.7,1.0,16.24,62.0,17.71398485978327,8.856992429891635,-0.45221637704099193
113000,Jack Dempsey,Scotland,1,Loose Forward,6.5,5.0,P,South Africa,False,34,2639,-25.7,1.0,20.62,69.4,24.283879564133684,12.141939782066842,1.855580404540799
103821,Eroni Mawi,Fiji,2,Prop,5.0,3.3,P,England,True,38,2010,-2.8,1.0,12.57,56.4,13.495873764815183,6.747936882407592,-1.022017296493364
182760,Mayco Vivas,Argentina,2,Prop,4.5,3.4,B,Wales,True,33,893,20.2,1.0,10.08,21.5,3.778911694461713,11.33673508338514,-2.7214964384902207
240478,Gregor Hiddleston,Scotland,1,Hooker,4.0,0.2,B,South Africa,False,1,1610,-25.7,1.0,28.15,20.0,6.284398563882587,18.853195691647763,-1.857207740009922
182170,Ryan Elias,Wales,1,Hooker,4.0,0.2,B,Argentina,False,35,1900,-20.2,1.0,17.43,25.6,6.279621235229971,18.838863705689914,-2.5871086406724477
246851,Toms Rapetti,Argentina,2,Prop,3.0,0.2,P,Wales,True,4,0,20.2,1.0,15.97,72.0,19.875065784098055,9.937532892049028,-0.09736588560585124
233237,Immanuel Feyi-Waboso,England,1,Back Three,6.5,7.0,P,Fiji,False,15,2449,2.8,1.0,21.72,74.6,27.98599903792286,13.99299951896143,4.314957592296361
190708,Harry Wilson,Australia,2,Loose Forward,6.0,6.4,P,France,True,37,512,-4.9,1.0,17.15,76.1,20.900835616067518,10.450417808033759,0.888005025505437
244767,Oscar Jegou,France,1,Loose Forward,6.0,4.5,P,Australia,False,14,2951,4.9,1.0,16.97,76.0,23.260769175943565,11.630384587971783,1.2936939368509832
165591,Mateo Carreras,Argentina,2,Back Three,5.0,5.9,P,Wales,True,34,2828,20.2,1.0,23.64,77.1,23.657973846727174,11.828986923363587,2.7065256862124807
246824,Zac Porthen,South Africa,2,Prop,3.0,0.7,B,Scotland,True,4,0,25.7,1.0,13.72,30.6,5.7543815115007515,17.263144534502253,-2.2664305773387055
102468,Ethan de Groot,New Zealand,2,Prop,7.0,11.9,P,Italy,True,41,2056,33.5,0.962,12.28,46.6,13.934927536791143,6.967463768395572,-1.1067042453320028
144635,Ollie Chessum,England,1,Lock,6.5,29.4,P,Fiji,False,42,0,2.8,1.0,12.9,70.7,19.678654686279785,9.839327343139892,0.8013378667609382
197546,Joe Hawkins,Wales,1,Centre,6.0,0.3,P,Argentina,False,12,2258,-20.2,1.0,9.43,80.0,19.466232994302096,9.733116497151048,0.20013396577298667
128750,Andrea Zambonin,Italy,1,Lock,5.5,13.0,P,New Zealand,False,19,3021,-33.5,0.962,13.84,63.9,17.41388386835553,8.706941934177765,-0.222303063387424
152990,Temo Mayanavanua,Fiji,2,Lock,5.0,2.4,B,England,True,35,1968,-2.8,1.0,11.02,20.4,4.066661765961909,12.199985297885727,-2.155989657000301
222920,Gregor Brown,Scotland,1,Lock,4.5,0.5,P,South Africa,False,19,1631,-25.7,1.0,19.65,58.5,23.576588308163984,11.788294154081992,0.7782444336407572
171003,Pieter-Steph du Toit,South Africa,2,Loose Forward,8.5,16.8,P,Scotland,True,39,1261,25.7,1.0,17.39,78.1,20.936593810579634,10.468296905289817,1.1100739562791053
110910,Jesse Kriel,South Africa,2,Centre,7.0,7.8,P,Scotland,True,44,2850,25.7,1.0,18.62,79.3,20.359793665175737,10.179896832587868,1.2047718532231761
222623,Tom Curry,England,1,Loose Forward,6.0,5.8,B,Fiji,False,51,2044,2.8,1.0,17.38,30.3,4.3899781767032735,13.16993453010982,-1.5373704868719782
212902,Dewi Lake,Wales,1,Hooker,6.0,7.1,P,Argentina,False,32,1787,-20.2,1.0,23.17,60.3,17.843956173226807,8.921978086613404,-0.0888352414163654
160801,Jamie George,England,1,Hooker,5.5,5.7,P,Fiji,False,62,2578,2.8,1.0,17.42,59.6,15.029258950743294,7.514629475371647,-0.8451732476904252
