id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,captain_score
110793,Cadan Murley,England,1,Back Three,4.0,1.1,P,South Africa,False,8,3479,-26.1,1.0,16.33,74.1,23.412698367211412,11.706349183605706,2.4395269526977335
109783,Marco van Staden,South Africa,2,Loose Forward,4.0,0.5,B,England,True,30,1852,26.1,1.0,15.17,25.8,7.267284192460326,21.801852577380977,-1.1821158107099818
154414,Kanji Shimokawa,Japan,2,Loose Forward,4.0,0.6,P,Italy,True,25,3504,4.2,0.992,11.68,66.1,18.11471013139306,9.05735506569653,0.3576252741277278
196853,Thomas Clarkson,Ireland,1,Prop,3.5,0.3,B,Australia,False,16,0,10.1,1.0,13.02,22.5,5.2516993427705865,15.75509802831176,-2.6369887312335902
229690,Jan-Hendrik Wessels,South Africa,2,Prop,3.5,1.0,B,England,True,12,1657,26.1,1.0,14.6,24.7,5.443560540571626,16.33068162171488,-2.3729037555896024
143492,Damian McKenzie,New Zealand,2,Fly Half,8.5,11.9,P,France,True,54,2888,14.6,0.849,23.87,78.0,24.52070607752723,12.260353038763615,2.315718622539422
110170,Kyle Steyn,Scotland,1,Back Three,6.5,12.3,P,Argentina,False,34,3388,-5.3,1.0,19.41,74.8,25.94279961232314,12.97139980616157,3.2656909109535857
134796,Joe Heyes,England,1,Prop,6.5,2.9,P,South Africa,False,24,3006,-26.1,1.0,16.14,60.6,13.99199035868666,6.99599517934333,-1.0095987133323228
189326,Marcus Smith,England,1,Fly Half,4.5,2.2,P,South Africa,False,61,3883,-26.1,1.0,17.85,76.4,31.039982679809732,15.519991339904866,4.31116870468216
108021,Jefferson Poirot,France,1,Prop,4.0,2.7,P,New Zealand,False,2,2912,-14.6,0.849,16.06,55.0,10.251792304659233,5.1258961523296165,-1.6267692077593208
178772,Gonzalo Garcia,Argentina,2,Scrum Half,4.0,1.8,P,Scotland,True,19,1537,5.3,1.0,11.88,53.1,18.323047199090908,9.161523599545454,0.3848625769344146
113765,Peceli Yato,Fiji,2,Loose Forward,4.0,0.4,B,Wales,True,7,2567,11.7,0.989,17.05,22.0,4.134695130755819,12.404085392267458,-1.9001669574579272
151066,Xavier Numia,New Zealand,2,Prop,4.0,0.4,B,France,True,1,2744,14.6,0.849,14.96,27.0,4.017953046129501,12.053859138388503,-2.615291956347022
166457,Regis Montagne,France,1,Prop,3.5,0.2,B,New Zealand,False,8,0,-14.6,0.849,14.47,33.0,5.856891930487776,17.570675791463326,-2.312817130913576
251199,Hayate Era,Japan,2,Hooker,3.5,0.2,B,Italy,True,9,1099,4.2,0.992,24.68,26.3,5.133536216442239,15.400608649326717,-2.184677175782107
123723,Danilo Fischetti,Italy,1,Prop,5.5,15.7,P,Japan,False,60,2483,-4.2,0.992,15.5,56.0,13.550556424609322,6.775278212304661,-1.3862785676622622
170612,Gerhard Steenekamp,South Africa,2,Prop,5.0,0.8,B,England,True,17,2099,26.1,1.0,9.2,35.0,3.501191046667178,10.503573140001535,-2.816275555269071
245177,Tiennan Costley,Japan,2,Loose Forward,4.5,0.2,B,Italy,True,13,2962,4.2,0.992,19.79,20.9,6.7957558282658495,20.387267484797547,-1.2743617736658306
250678,Kippei Ishida,Japan,2,Back Three,4.0,0.9,P,Italy,True,10,1744,4.2,0.992,16.44,79.6,18.639922522039086,9.319961261019543,2.098261803943063
166930,Peni Ravai Kovekalou,Fiji,2,Prop,3.5,0.5,B,Wales,True,24,0,11.7,0.989,12.08,27.1,3.241193902977124,9.723581708931373,-2.8290725930494256
202267,Manie Libbok,South Africa,2,Fly Half,7.0,6.3,P,England,True,30,1320,26.1,1.0,18.78,70.0,30.288063151712425,15.144031575856213,3.0286418936916677
185466,Ox Nche,South Africa,2,Prop,6.5,13.2,P,England,True,47,2255,26.1,1.0,11.81,45.7,13.074586604904995,6.537293302452498,-1.1099788551056877
113444,Tadhg Furlong,Ireland,1,Prop,5.0,11.0,P,Australia,False,50,1685,10.1,1.0,10.9,56.1,12.484511203740077,6.242255601870038,-1.4736377260164604
110319,Nicky Smith,Wales,1,Prop,4.5,0.5,B,Fiji,False,30,2646,-11.7,0.989,14.08,33.9,5.427014444836643,16.281043334509928,-2.3760424762655425
237233,Ross Vintcent,Italy,1,Loose Forward,4.5,6.2,B,Japan,False,21,1764,-4.2,0.992,23.55,29.6,4.593644365000197,13.78093309500059,-1.5951548357513428
109648,Seb Atkinson,England,1,Centre,4.0,1.1,P,South Africa,False,6,0,-26.1,1.0,17.01,72.5,18.56721932021561,9.283609660107805,0.7100649878231928
241806,Faustino Sanchez Valarolo,Argentina,2,Centre,3.0,7.8,P,Scotland,True,2,272,5.3,1.0,15.69,60.0,24.21095241738373,12.105476208691865,2.3043148286817763
251438,Keijiro Tamefusa,Japan,2,Prop,3.0,0.1,B,Italy,True,23,1373,4.2,0.992,14.53,19.0,5.549578262906183,16.64873478871855,-2.395674149784671
164150,Darcy Graham,Scotland,1,Back Three,7.0,4.6,B,Argentina,False,45,2913,-5.3,1.0,22.14,22.4,4.285766409163874,12.857299227491623,-1.0945103354982855
160801,Jamie George,England,1,Hooker,5.5,5.7,P,South Africa,False,63,2578,-26.1,1.0,20.96,58.7,14.40289453020218,7.20144726510109,-0.9233467343459587
237271,Eddie James,Wales,1,Centre,5.0,0.7,P,Fiji,False,12,2180,-11.7,0.989,11.46,67.7,19.16395880969932,9.58197940484966,0.5586921385193662
189190,Maxime Lamothe,France,1,Hooker,4.5,6.4,P,New Zealand,False,5,3426,-14.6,0.849,19.57,62.0,21.10497966928248,10.55248983464124,0.34413749980869845
113737,Jack van Poortvliet,England,1,Scrum Half,4.0,0.9,P,South Africa,False,26,2565,-26.1,1.0,12.26,53.2,22.18452091538279,11.092260457691395,0.900740852342616
172284,Muhamed Hasa,Italy,1,Prop,3.5,0.1,B,Japan,False,10,2055,-4.2,0.992,12.54,26.6,3.944226538848296,11.832679616544889,-2.933611988338357
190669,Kurt-Lee Arendse,South Africa,2,Back Three,6.5,11.9,P,England,True,33,2647,26.1,1.0,24.04,73.6,21.804588343879004,10.902294171939502,2.626341311442022
118531,Ronan Kelleher,Ireland,1,Hooker,6.0,1.1,B,Australia,False,55,1820,10.1,1.0,20.04,22.5,7.414772942575405,22.244318827726218,-1.8933929040624902
150038,Tyrel Lomax,New Zealand,2,Prop,5.0,1.5,B,France,True,49,1327,14.6,0.849,10.1,27.5,3.9467323675358346,11.840197102607505,-2.7299189948722438
124812,Filimoni Botitu,Fiji,2,Centre,5.0,0.2,B,Wales,True,0,0,11.7,0.989,17.25,20.9,4.606521088184676,13.819563264554029,-1.583748218816201
174318,Monty Ioane,Italy,1,Back Three,5.0,7.8,P,Japan,False,48,3030,-4.2,0.992,14.7,77.0,18.773501246396606,9.386750623198303,1.5272402494686812
118619,Sam Costelow,Wales,1,Fly Half,4.0,0.1,B,Fiji,False,24,1852,-11.7,0.989,17.32,22.1,5.266218717369492,15.798656152108476,-1.9285373350495498
136947,Brandon Paenga-Amosa,Australia,2,Hooker,4.0,0.3,B,Ireland,True,26,1564,-10.1,1.0,18.66,29.1,6.808247798774129,20.424743396322388,-1.8904399817684179
147486,Tadhg Beirne,Ireland,1,Lock,7.5,9.7,B,Australia,False,64,0,10.1,1.0,12.61,27.7,4.1377141384738705,12.41314241542161,-2.1385423357607904
151974,Billy Proctor,New Zealand,2,Centre,6.0,0.4,B,France,True,13,2641,14.6,0.849,18.98,18.6,4.965558688249821,14.896676064749464,-1.681991845098703
240455,Dan Edwards,Wales,1,Fly Half,5.5,1.5,P,Fiji,False,12,0,-11.7,0.989,14.86,67.7,22.883227527369897,11.441613763684948,1.3399049432413368
219828,Garry Ringrose,Ireland,1,Centre,5.5,7.2,P,Australia,False,49,2692,10.1,1.0,14.59,69.7,17.917714339171027,8.958857169585514,0.856383135726923
182833,Taniela Tupou,Australia,2,Prop,4.0,1.4,B,Ireland,True,54,1295,-10.1,1.0,11.81,28.9,3.936959136010513,11.810877408031539,-2.707613433490179
237261,Alex Samuel,Scotland,1,Lock,3.5,0.2,B,Argentina,False,4,1891,-5.3,1.0,10.33,28.0,3.016674742334424,9.050024227003272,-2.386711865918195
168641,Dillon Lewis,Wales,1,Prop,3.5,2.2,P,Fiji,False,32,987,-11.7,0.989,14.63,48.9,13.048506636309831,6.524253318154916,-1.6174705005201768
128591,Tim Hoyt,Fiji,2,Prop,3.0,3.5,P,Wales,True,3,0,11.7,0.989,12.31,38.1,13.245281313790137,6.622640656895069,-1.2368022761462905
164759,Ben Warren,Wales,1,Prop,3.0,0.2,B,Fiji,False,2,909,-11.7,0.989,15.39,35.0,3.880587001501721,11.641761004505163,-2.640558207776602
237078,Canan Moodie,South Africa,2,Back Three,6.5,1.0,B,England,True,24,3051,26.1,1.0,16.93,15.1,3.4927592474671796,10.478277742401538,-1.502197192238284
212902,Dewi Lake,Wales,1,Hooker,6.0,7.1,P,Fiji,False,33,1787,-11.7,0.989,22.61,59.9,18.287759130492447,9.143879565246223,0.278690218392935
249169,Fehi Fineanganofo,New Zealand,2,Back Three,5.5,3.7,B,France,True,1,2247,14.6,0.849,25.6,12.0,4.049364455014119,12.148093365042357,-1.1300611918891041
241698,Sam Prendergast,Ireland,1,Fly Half,5.0,3.9,P,Australia,False,16,2434,10.1,1.0,18.94,72.3,24.074153654553797,12.037076827276898,2.2040867420790766
198661,Dylan Riley,Japan,2,Centre,5.0,1.3,P,Italy,True,40,2315,4.2,0.992,14.0,76.0,19.295117643581513,9.647558821790756,1.6116661545420283
208971,Franco Molina,Argentina,2,Lock,5.0,0.8,B,Scotland,True,22,1351,5.3,1.0,14.52,27.1,5.4005306354849285,16.201591906454787,-1.8478409366622195
207407,Demba Bamba,France,1,Prop,4.5,4.6,P,New Zealand,False,22,2156,-14.6,0.849,14.47,46.1,17.897071313888574,8.948535656944287,-0.3113969114689644
199383,Ciaran Frawley,Ireland,1,Fly Half,4.5,0.5,B,Australia,False,15,2345,10.1,1.0,16.56,21.7,5.852092964430736,17.55627889329221,-1.3454504112260528
109697,Nolann le Garrec,France,1,Scrum Half,4.0,0.7,B,New Zealand,False,17,3911,-14.6,0.849,15.62,15.3,4.458831131541893,13.37649339462568,-2.3790340468388766
174208,Riccardo Favretto,Italy,1,Lock,4.0,0.1,B,Japan,False,15,1956,-4.2,0.992,12.23,18.7,4.402631755714389,13.207895267143169,-2.4051358790889314
225770,Asafo Aumua,New Zealand,2,Hooker,4.0,2.8,B,France,True,21,1678,14.6,0.849,21.14,22.3,6.933285796195274,20.79985738858582,-1.7931842360719676
237224,Pierre Bochaton,France,1,Loose Forward,3.5,2.4,P,New Zealand,False,3,2726,-14.6,0.849,15.47,49.8,26.188957986986352,13.094478993493176,1.5864215997165125
239482,Asher Opoku-Fordjour,England,1,Prop,3.5,0.2,B,South Africa,False,8,0,-26.1,1.0,15.76,24.3,3.390980700754257,10.172942102262772,-2.8177020974726954
134407,Alessandro Fusco,Italy,1,Scrum Half,3.5,0.2,B,Japan,False,26,1722,-4.2,0.992,11.67,23.0,3.219528734177992,9.658586202533977,-2.6885130381351994
175403,Elliot Millar-Mills,Scotland,1,Prop,3.5,2.2,P,Argentina,False,16,1126,-5.3,1.0,16.32,36.8,14.893893229915669,7.4469466149578345,-1.2551920377691326
244760,Barnabe Massa,France,1,Hooker,3.0,1.1,B,New Zealand,False,1,2047,-14.6,0.849,17.9,18.0,5.187386775650495,15.562160326951485,-2.1172845904519377
261209,Sojiro Otsuka,Japan,2,Prop,3.0,0.1,B,Italy,True,2,0,4.2,0.992,13.21,24.0,3.5423369481474,10.6270108444422,-2.6838855189675472
154458,Matias Moroni,Argentina,2,Centre,5.5,0.5,B,Scotland,True,50,1645,5.3,1.0,15.96,22.6,4.548355286370904,13.645065859112712,-1.7975291300115244
156422,Josh Nasser,Australia,2,Hooker,4.0,3.8,P,Ireland,True,14,945,-10.1,1.0,22.52,35.7,20.07869515965251,10.039347579826256,0.48897877039697857
237231,Mirco Spagnolo,Italy,1,Prop,4.0,0.3,B,Japan,False,26,1447,-4.2,0.992,15.25,24.4,5.557313517767016,16.67194055330105,-2.6725858498577555
246860,Mesake Vocevoce,Fiji,2,Lock,3.0,1.3,B,Wales,True,19,1838,11.7,0.989,9.74,17.6,2.9547915679281993,8.864374703784598,-2.397169190615383
110891,Stephen Varney,Italy,1,Scrum Half,4.0,2.9,P,Japan,False,40,2848,-4.2,0.992,10.84,62.7,20.567687696167027,10.283843848083514,0.6415304286435862
130283,Beno Obano,England,1,Prop,4.0,0.1,B,South Africa,False,5,2717,-26.1,1.0,15.45,18.8,3.8472535387156386,11.541760616146917,-2.7018513296849362
235935,Ignacio Ruiz,Argentina,2,Hooker,4.0,0.2,B,Scotland,True,29,1936,5.3,1.0,18.05,13.8,6.1114496707902894,18.33434901237087,-1.986296092443013
240916,Boris Wenger,Argentina,2,Prop,4.0,0.2,B,Scotland,True,8,392,5.3,1.0,16.9,21.0,4.469131215370418,13.407393646111256,-2.5434578974707236
170835,James Slipper,Australia,2,Prop,4.0,0.2,B,Ireland,True,57,2086,-10.1,1.0,14.44,26.2,3.771994134258813,11.315982402776438,-2.7804406104199115
236606,Leonardo Marin,Italy,1,Fly Half,4.0,0.1,B,Japan,False,25,1662,-4.2,0.992,17.07,15.8,5.427217372668153,16.28165211800446,-1.6506956040200387
161973,Simione Kuruvoli,Fiji,2,Scrum Half,4.0,0.3,B,Wales,True,26,852,11.7,0.989,17.3,23.3,3.884443383366287,11.65333015009886,-2.1056061486374826
