season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2022,1242,Super Rugby Pacific,2,4707241,2022-02-26,Blues,296,Hurricanes,299,home,32,33,L,-1,4,5,3,4,2,0,0,0,0.15,96,634,22,9,3,32,24,1.0,2,0.0,,8,0,5,5,0,1,1,1,26,12,173,0.66,0.4,7,2,0.53,0,0,5,102,97,130,0,1.0,5,155,16,10,0
2022,1242,Super Rugby Pacific,2,4707241,2022-02-26,Hurricanes,299,Blues,296,away,33,32,W,1,5,4,4,3,0,2,0,0,0.85,71,469,25,8,4,26,17,0.86,0,2.0,,12,3,3,0,0,0,1,0,32,8,156,0.34,0.6,6,0,0.47,0,0,3,88,85,111,0,0.78,7,148,19,4,0
2022,1242,Super Rugby Pacific,2,4707232,2022-02-26,Melbourne Rebels,53,Western Force,236,home,3,28,L,-25,0,3,0,2,1,3,0,0,0.56,45,262,34,0,0,10,25,0.81,1,3.0,,13,1,5,4,0,0,0,1,22,5,164,0.34,0.57,15,1,0.46,1,1,2,87,85,98,1,0.75,6,174,15,0,1
2022,1242,Super Rugby Pacific,2,4707232,2022-02-26,Western Force,236,Melbourne Rebels,53,away,28,3,W,25,3,0,2,0,3,1,0,0,0.44,80,376,32,7,2,22,25,0.73,2,4.0,,11,0,3,3,0,0,1,0,10,7,227,0.66,0.43,11,3,0.54,0,0,0,119,119,138,0,0.9,9,126,18,5,0
2022,1242,Super Rugby Pacific,3,4707304,2022-03-04,Western Force,236,Queensland Reds,767,home,16,29,L,-13,1,4,1,3,3,1,0,0,0.53,47,298,35,5,1,20,18,0.85,3,2.0,,11,0,2,2,0,0,0,0,19,6,115,0.54,0.37,8,3,0.45,0,0,1,62,61,92,4,0.6,6,145,12,4,0
2022,1242,Super Rugby Pacific,3,4707295,2022-03-04,Melbourne Rebels,53,Fijian Drua,1340,away,26,31,L,-5,4,3,3,2,0,4,0,0,0.53,43,318,27,2,3,14,20,0.88,0,2.0,,14,0,7,7,3,1,1,0,25,7,122,0.51,0.47,11,0,0.49,0,0,5,62,57,78,2,0.69,9,139,16,6,0
2022,1242,Super Rugby Pacific,3,4707304,2022-03-04,Queensland Reds,767,Western Force,236,away,29,16,W,13,4,1,3,1,1,3,0,0,0.47,69,408,27,4,3,19,18,0.69,1,4.0,,9,0,1,1,0,0,1,0,20,4,164,0.46,0.63,15,1,0.55,0,0,3,91,88,112,1,0.63,5,109,18,8,2
2022,1242,Super Rugby Pacific,3,4707286,2022-03-04,Crusaders,305,Moana Pasifika,10817,away,33,12,W,21,5,2,4,1,0,0,0,0,0.67,93,478,37,3,4,24,18,1.0,2,0.0,,15,1,8,7,0,2,1,1,21,6,235,0.7,0.57,6,0,0.63,0,0,2,123,121,147,1,0.89,8,100,20,4,0
2022,1242,Super Rugby Pacific,3,4707286,2022-03-04,Moana Pasifika,10817,Crusaders,305,home,12,33,L,-21,2,5,1,4,0,0,0,0,0.33,50,328,24,6,1,21,17,0.75,0,3.0,,9,0,4,4,0,0,1,0,24,10,111,0.3,0.43,11,0,0.37,0,0,3,60,57,86,0,0.91,10,209,18,10,0
2022,1242,Super Rugby Pacific,3,4707295,2022-03-04,Fijian Drua,1340,Melbourne Rebels,53,home,31,26,W,5,3,4,2,3,4,0,0,0,0.47,63,485,36,4,2,25,22,0.5,0,6.0,,6,0,0,0,0,0,1,0,14,11,127,0.49,0.53,13,4,0.51,0,0,5,87,82,110,0,1.0,5,101,18,9,1
