fantasy_id,full_name,team,skill_desc,value,api_player_id,rp_slug,in_api,in_rp
238928,Warner Dearns,Japan,LOCK,6.5,242406.0,warner-dearns,True,True
222388,Yoram Moefana,France,CENTRE,6.5,196152.0,yoram-moefana,True,True
244532,Theo Attissogbe,France,BACK THREE,6.5,339450.0,theo-attissogbe,True,True
223413,Joe McCarthy,Ireland,LOCK,6.5,220194.0,joe-mccarthy,True,True
190503,Siya Kolisi,South Africa,LOOSE FORWARD,6.5,102654.0,siya-kolisi,True,True
137153,Jasper Wiese,South Africa,LOOSE FORWARD,6.5,149256.0,jasper-wiese,True,True
164832,Quinn Tupaea,New Zealand,CENTRE,6.5,188928.0,quinn-tupaea,True,True
185466,Ox Nche,South Africa,PROP,6.5,140238.0,ox-nche,True,True
190669,Kurt-Lee Arendse,South Africa,BACK THREE,6.5,204516.0,kurt-lee-arendse,True,True
172351,Stuart McCloskey,Ireland,CENTRE,6.5,129840.0,stuart-mccloskey,True,True
187820,Rory Darge,Scotland,LOOSE FORWARD,6.5,180222.0,rory-darge,True,True
113000,Jack Dempsey,Scotland,LOOSE FORWARD,6.5,124308.0,jack-dempsey,True,True
111475,Josh Lord,New Zealand,LOCK,6.0,197916.0,josh-lord,True,True
225264,Ruan Nortje,South Africa,LOCK,6.0,185688.0,ruan-nortje,True,True
157406,Bundee Aki,Ireland,CENTRE,6.0,114804.0,bundee-aki,True,True
222623,Tom Curry,England,LOOSE FORWARD,6.0,155892.0,tom-curry,True,True
156336,Tom Wright,Australia,BACK THREE,6.0,201012.0,tom-wright,True,True
237225,Emilien Gailleton,France,CENTRE,6.0,231696.0,emilien-gailleton,True,True
196773,Pierre Schoeman,Scotland,PROP,6.0,130290.0,pierre-schoeman,True,True
204526,Marcos Kremer,Argentina,LOOSE FORWARD,6.0,150576.0,marcos-kremer,True,True
225671,Samisoni Taukeiaho,New Zealand,HOOKER,6.0,,samisoni-taukeiaho,False,True
145677,Bill Mata,Fiji,LOOSE FORWARD,6.0,144918.0,viliame-mata,True,True
208620,Carlo Tizzano,Australia,LOOSE FORWARD,6.0,193992.0,carlo-tizzano,True,True
210801,Scott Cummings,Scotland,LOCK,6.0,136596.0,scott-cummings,True,True
190708,Harry Wilson,Australia,LOOSE FORWARD,6.0,153066.0,harry-wilson,True,True
118531,Ronan Kelleher,Ireland,HOOKER,6.0,148644.0,ronan-kelleher,True,True
151974,Billy Proctor,New Zealand,CENTRE,6.0,176550.0,billy-proctor,True,True
126800,Josh van der Flier,Ireland,LOOSE FORWARD,6.0,118518.0,josh-van-der-flier,True,True
116876,Fletcher Newell,New Zealand,PROP,6.0,206700.0,fletcher-newell,True,True
238629,Peter Lakai,New Zealand,LOOSE FORWARD,6.0,241614.0,peter-lakai,True,True
225777,Ben Thomas,Wales,CENTRE,6.0,154968.0,ben-thomas,True,True
244767,Oscar Jegou,France,LOOSE FORWARD,6.0,242478.0,oscar-jegou,True,True
250067,Fabien Brau-Boirie,France,CENTRE,6.0,354888.0,fabien-brau-boirie,True,True
241689,Nicolas Depoortere,France,CENTRE,6.0,262248.0,nicolas-depoortere,True,True
245051,Corey Toole,Australia,BACK THREE,6.0,193038.0,corey-toole,True,True
102642,George Ford,England,FLY-HALF,6.0,66258.0,george-ford,True,True
191340,Franco Mostert,South Africa,LOCK,6.0,120594.0,franco-mostert,True,True
120191,Michele Lamaro,Italy,LOOSE FORWARD,6.0,164220.0,michele-lamaro,True,True
197335,Lorenzo Cannone,Italy,LOOSE FORWARD,6.0,220140.0,lorenzo-cannone,True,True
130487,Nacho Brex,Italy,CENTRE,6.0,118614.0,juan-ignacio-brex,True,True
143950,Semi Radradra,Fiji,CENTRE,6.0,172098.0,semi-radradra,True,True
117823,Matias Alemanno,Argentina,LOCK,6.0,112962.0,matias-alemanno,True,True
212902,Dewi Lake,Wales,HOOKER,6.0,178848.0,dewi-lake,True,True
197546,Joe Hawkins,Wales,CENTRE,6.0,220962.0,joe-hawkins,True,True
120767,Louis Rees-Zammit,Wales,BACK THREE,6.0,187290.0,louis-rees-zammit,True,True
214124,James Botham,Wales,LOOSE FORWARD,6.0,154938.0,james-botham,True,True
229505,Lucio Cinti,Argentina,CENTRE,6.0,201528.0,lucio-cinti,True,True
135572,Jack Cornelsen,Japan,LOCK,5.5,142194.0,jack-cornelsen,True,True
140494,Jiuta Wainiqolo,Fiji,BACK THREE,5.5,211638.0,jiuta-wainiqolo,True,True
141860,Ewan Ashman,Scotland,HOOKER,5.5,187422.0,ewan-ashman,True,True
195116,Harry Potter,Australia,BACK THREE,5.5,182334.0,harry-potter,True,True
215963,Guido Petti,Argentina,LOCK,5.5,124686.0,,True,False
203381,James Ryan,Ireland,LOCK,5.5,143604.0,james-ryan,True,True
229303,Sam Darry,New Zealand,LOCK,5.5,197832.0,sam-darry,True,True
235183,Alex Mann,Wales,LOOSE FORWARD,5.5,232110.0,alex-mann,True,True
123723,Danilo Fischetti,Italy,PROP,5.5,164232.0,danilo-fischetti,True,True
114362,Evan Roos,South Africa,LOOSE FORWARD,5.5,210300.0,evan-roos,True,True
187980,Geronimo Prisciantelli,Argentina,FLY-HALF,5.5,207258.0,geronimo-prisciantelli,True,True
249169,Fehi Fineanganofo,New Zealand,BACK THREE,5.5,353082.0,fehi-fineanganofo,True,True
128750,Andrea Zambonin,Italy,LOCK,5.5,208140.0,andrea-zambonin,True,True
180778,Kyle Rowe,Scotland,BACK THREE,5.5,179370.0,kyle-rowe,True,True
153215,Aphelele Fassi,South Africa,BACK THREE,5.5,190890.0,aphelele-fassi,True,True
185102,Albert Tuisue,Fiji,LOOSE FORWARD,5.5,161190.0,albert-tuisue,True,True
117646,Ben Donaldson,Australia,FLY-HALF,5.5,187842.0,ben-donaldson,True,True
143048,Allan Alaalatoa,Australia,PROP,5.5,118890.0,allan-alaalatoa,True,True
159599,Matt Fagerson,Scotland,LOOSE FORWARD,5.5,161856.0,matt-fagerson,True,True
237000,Tom Hooper,Australia,LOOSE FORWARD,5.5,190848.0,tom-hooper,True,True
180443,Damian Willemse,South Africa,BACK THREE,5.5,161226.0,damian-willemse,True,True
235266,Joaquin Oviedo,Argentina,LOOSE FORWARD,5.5,226080.0,joaquin-oviedo,True,True
103440,Federico Ruzza,Italy,LOCK,5.5,129234.0,federico-ruzza,True,True
154458,Matias Moroni,Argentina,CENTRE,5.5,113040.0,matias-moroni,True,True
229857,Jeremy Williams,Australia,LOCK,5.5,192618.0,jeremy-williams,True,True
177559,Alex Mitchell,England,SCRUM-HALF,5.5,142356.0,alex-mitchell,True,True
239634,Henry Pollock,England,LOOSE FORWARD,5.5,342324.0,henry-pollock,True,True
194110,Rodrigo Isgro,Argentina,BACK THREE,5.5,207228.0,rodrigo-isgro,True,True
133163,Tomos Williams,Wales,SCRUM-HALF,5.5,128628.0,tomos-williams,True,True
219828,Garry Ringrose,Ireland,CENTRE,5.5,129372.0,garry-ringrose,True,True
240455,Dan Edwards,Wales,FLY-HALF,5.5,263442.0,,True,False
198516,Levani Botia,Fiji,LOOSE FORWARD,5.5,128238.0,levani-botia,True,True
145361,Hugo Keenan,Ireland,BACK THREE,5.5,143496.0,hugo-keenan,True,True
102792,Anton Lienert-Brown,New Zealand,CENTRE,5.5,128790.0,anton-lienert-brown,True,True
127095,Santiago Grondona,Argentina,LOOSE FORWARD,5.5,185502.0,santiago-grondona,True,True
165007,Ellis Genge,England,PROP,5.5,136680.0,ellis-genge,True,True
160801,Jamie George,England,HOOKER,5.5,61134.0,jamie-george,True,True
179604,Josua Tuisova,Fiji,CENTRE,5.5,126930.0,josua-tuisova,True,True
195298,Jamie Dobie,Scotland,SCRUM-HALF,5.0,214146.0,jamie-dobie,True,True
172024,Josh Moorby,New Zealand,BACK THREE,5.0,,,False,False
173763,Leroy Carter,New Zealand,BACK THREE,5.0,206718.0,leroy-carter,True,True
183880,Tommy Reffell,Wales,LOOSE FORWARD,5.0,155826.0,tommy-reffell,True,True
150038,Tyrel Lomax,New Zealand,PROP,5.0,140004.0,tyrel-lomax,True,True
229297,Ruben Love,New Zealand,FLY-HALF,5.0,216096.0,ruben-love,True,True
177342,Johan Grobbelaar,South Africa,HOOKER,5.0,156558.0,johan-grobbelaar,True,True
251584,Simon Benitez Cruz,Argentina,SCRUM-HALF,5.0,349518.0,simon-benitez-cruz,True,True
170612,Gerhard Steenekamp,South Africa,PROP,5.0,156564.0,gerhard-steenekamp,True,True
180382,Bautista Delguy,Argentina,BACK THREE,5.0,148386.0,bautista-delguy,True,True
182650,Caleb Muntz,Fiji,FLY-HALF,5.0,184806.0,caleb-muntz,True,True
180143,Hunter Paisami,Australia,CENTRE,5.0,166500.0,hunter-paisami,True,True
172455,Duhan van der Merwe,Scotland,BACK THREE,5.0,131400.0,duhan-van-der-merwe,True,True
120076,Michael Leitch,Japan,LOOSE FORWARD,5.0,67848.0,michael-leitch,True,True
198661,Dylan Riley,Japan,CENTRE,5.0,165924.0,dylan-riley,True,True
204878,Edwill van der Merwe,South Africa,BACK THREE,5.0,150096.0,edwill-van-der-merwe,True,True
217606,Benhard Janse van Rensburg,England,CENTRE,5.0,,benhard-janse-van-rensburg,False,True
153646,George Furbank,England,BACK THREE,5.0,155724.0,george-furbank,True,True
237271,Eddie James,Wales,CENTRE,5.0,232158.0,eddie-james,True,True
208971,Franco Molina,Argentina,LOCK,5.0,150600.0,franco-molina,True,True
174318,Monty Ioane,Italy,BACK THREE,5.0,134016.0,monty-ioane,True,True
122020,Jacob Stockdale,Ireland,BACK THREE,5.0,136848.0,jacob-stockdale,True,True
193134,Nick Timoney,Ireland,LOOSE FORWARD,5.0,136878.0,nick-timoney,True,True
130282,Tommaso Allan,Italy,FLY-HALF,5.0,117834.0,tommaso-allan,True,True
236968,Pedro Rubiolo,Argentina,LOCK,5.0,230970.0,pedro-rubiolo,True,True
137626,Fin Smith,England,FLY-HALF,5.0,227772.0,fin-smith,True,True
173801,Alex Coles,England,LOCK,5.0,198696.0,alex-coles,True,True
103821,Eroni Mawi,Fiji,PROP,5.0,175848.0,eroni-mawi,True,True
104346,Tevita Ikanivere,Fiji,HOOKER,5.0,206742.0,tevita-ikanivere,True,True
152990,Temo Mayanavanua,Fiji,LOCK,5.0,169128.0,temo-mayanavanua,True,True
246864,Isaiah Armstrong-Ravula,Fiji,FLY-HALF,5.0,215232.0,,True,False
240624,Selestino Ravutaumada,Fiji,CENTRE,5.0,264132.0,selestino-ravutaumada,True,True
186092,Filipo Daugunu,Australia,BACK THREE,5.0,173220.0,filipo-daugunu,True,True
164116,Robbie Henshaw,Ireland,CENTRE,5.0,120702.0,robbie-henshaw,True,True
124812,Filimoni Botitu,Fiji,CENTRE,5.0,169026.0,vilimoni-botitu,True,True
165591,Mateo Carreras,Argentina,BACK THREE,5.0,185478.0,mateo-carreras,True,True
101634,Tupou Vaai,New Zealand,LOCK,5.0,,tupou-vaai,False,True
175150,Robert Baloucoune,Ireland,BACK THREE,5.0,186198.0,robert-baloucoune,True,True
244170,Lenni Nouchi,France,LOOSE FORWARD,5.0,238116.0,lenni-nouchi,True,True
113444,Tadhg Furlong,Ireland,PROP,5.0,112374.0,tadhg-furlong,True,True
209105,Louis Lynagh,Italy,BACK THREE,5.0,213750.0,louis-lynagh,True,True
165194,Alexandre Roumat,France,LOOSE FORWARD,5.0,146952.0,alexandre-roumat,True,True
241698,Sam Prendergast,Ireland,FLY-HALF,5.0,337638.0,sam-prendergast,True,True
229826,Jamie Osborne,Ireland,CENTRE,5.0,227658.0,jamie-osborne,True,True
150081,Freddie Steward,England,BACK THREE,5.0,203496.0,freddie-steward,True,True
140735,Naoto Saito,Japan,SCRUM-HALF,4.5,150960.0,naoto-saito,True,True
137453,Josh Adams,Wales,BACK THREE,4.5,129096.0,josh-adams,True,True
110319,Nicky Smith,Wales,PROP,4.5,121974.0,nicky-smith,True,True
189190,Maxime Lamothe,France,HOOKER,4.5,178824.0,maxime-lamothe,True,True
142873,Ben Gunter,Japan,LOOSE FORWARD,4.5,157710.0,ben-gunter,True,True
192769,Ignacio Mendy,Argentina,BACK THREE,4.5,185436.0,ignacio-mendy,True,True
243508,Tom Jordan,Scotland,CENTRE,4.5,242766.0,tom-jordan,True,True
186214,Max Llewellyn,Wales,CENTRE,4.5,177912.0,max-llewellyn,True,True
106142,Luke Cowan-Dickie,England,HOOKER,4.5,115452.0,luke-cowan-dickie,True,True
103703,Harry Hockings,Japan,LOCK,4.5,149754.0,harry-hockings,True,True
113831,George Bower,New Zealand,PROP,4.5,134226.0,george-bower,True,True
112684,Guy Pepper,England,LOOSE FORWARD,4.5,239076.0,guy-pepper,True,True
236609,Lorenzo Pani,Italy,BACK THREE,4.5,231744.0,lorenzo-pani,True,True
237233,Ross Vintcent,Italy,LOOSE FORWARD,4.5,231840.0,ross-vintcent,True,True
210842,Tane Edmed,Australia,FLY-HALF,4.5,192528.0,tane-edmed,True,True
189326,Marcus Smith,England,FLY-HALF,4.5,156288.0,marcus-smith,True,True
240799,Josh Canham,Australia,LOCK,4.5,193422.0,josh-canham,True,True
119955,Rhys Carre,Wales,PROP,4.5,162870.0,rhys-carre,True,True
189106,Simon Parker,New Zealand,LOOSE FORWARD,4.5,197838.0,simon-parker,True,True
188057,Ben White,Scotland,SCRUM-HALF,4.5,142476.0,ben-white,True,True
100462,Shogo Nakano,Japan,CENTRE,4.5,220512.0,shogo-nakano,True,True
222920,Gregor Brown,Scotland,LOCK,4.5,220296.0,gregor-brown,True,True
182760,Mayco Vivas,Argentina,PROP,4.5,169530.0,mayco-vivas,True,True
156550,Magnus Bradbury,Scotland,LOOSE FORWARD,4.5,129396.0,magnus-bradbury,True,True
164229,Tom Lynagh,Australia,FLY-HALF,4.5,243174.0,tom-lynagh,True,True
103056,Mason Grady,Wales,CENTRE,4.5,220956.0,mason-grady,True,True
207407,Demba Bamba,France,PROP,4.5,178656.0,demba-bamba,True,True
243190,Blair Murray,Wales,BACK THREE,4.5,197892.0,blair-murray-1,True,True
226250,Isoa Nasilasila,Fiji,LOCK,4.5,197268.0,isoa-nasilasila,True,True
201684,Patrick Tuipulotu,New Zealand,LOCK,4.5,124602.0,patrick-tuipulotu,True,True
129754,Vincent Tshituka,South Africa,LOOSE FORWARD,4.5,193200.0,vincent-tshituka,True,True
226185,Kitione Salawa,Fiji,LOOSE FORWARD,4.5,214050.0,kitione-salawa,True,True
249307,Ellis Mee,Wales,BACK THREE,4.5,363636.0,ellis-mee,True,True
245177,Tiennan Costley,Japan,LOOSE FORWARD,4.5,353844.0,tiennan-costley,True,True
199383,Ciaran Frawley,Ireland,FLY-HALF,4.5,148890.0,ciaran-frawley,True,True
190215,Kieran Hardy,Wales,SCRUM-HALF,4.0,135900.0,kieran-hardy,True,True
170835,James Slipper,Australia,PROP,4.0,66978.0,james-slipper,True,True
182833,Taniela Tupou,Australia,PROP,4.0,131862.0,taniela-tupou,True,True
251198,Lachlan Shaw,Australia,LOCK,4.0,368232.0,lachlan-shaw,True,True
210952,Tate McDermott,Australia,SCRUM-HALF,4.0,164268.0,tate-mcdermott,True,True
105642,Craig Casey,Ireland,SCRUM-HALF,4.0,203124.0,craig-casey,True,True
225770,Asafo Aumua,New Zealand,HOOKER,4.0,149706.0,asafo-aumua,True,True
151066,Xavier Numia,New Zealand,PROP,4.0,185508.0,xavier-numia,True,True
229255,Cortez Ratima,New Zealand,SCRUM-HALF,4.0,225720.0,cortez-ratima,True,True
132322,Killian Tixeront,France,LOOSE FORWARD,4.0,224352.0,killian-tixeront,True,True
109697,Nolann le Garrec,France,SCRUM-HALF,4.0,219972.0,nolann-le-garrec,True,True
133457,Antoine Hastoy,France,FLY-HALF,4.0,150468.0,antoine-hastoy,True,True
237231,Mirco Spagnolo,Italy,PROP,4.0,231804.0,mirco-spagnolo,True,True
174208,Riccardo Favretto,Italy,LOCK,4.0,220128.0,riccardo-favretto,True,True
178772,Gonzalo Garcia,Argentina,SCRUM-HALF,4.0,169464.0,gonzalo-garcia,True,True
