date,comp_id,comp_name,fixture_id,team,team_id,opponent,opponent_id,team_score,opp_score,player_id,player_name,jersey,started,minutes,yellow_cards,red_cards,available__minutes,available__yellow_cards,available__red_cards,tries,available__tries,try_assists,available__try_assists,conversion_goals,available__conversion_goals,penalty_goals,available__penalty_goals,drop_goals_converted,available__drop_goals_converted,metres,available__metres,defenders_beaten,available__defenders_beaten,clean_breaks,available__clean_breaks,offload,available__offload,runs,available__runs,tackles,available__tackles,missed_tackles,available__missed_tackles,dominant_tackles,available__dominant_tackles,tackle_success,available__tackle_success,tackle_turnover,available__tackle_turnover,tackle_try_saver,available__tackle_try_saver,rucks_won,available__rucks_won,rucks_lost,available__rucks_lost,passes,available__passes,bad_passes,available__bad_passes,lineouts_won,available__lineouts_won,turnovers_conceded,available__turnovers_conceded,penalties_conceded,available__penalties_conceded,missed_conversion_goals,available__missed_conversion_goals,missed_penalty_goals,available__missed_penalty_goals,drop_goal_missed,available__drop_goal_missed,points,available__points
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,185118,Mesulame Dolokoto,16,False,20,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,11.0,True,0.0,True,1.0,True,0.0,True,3.0,True,1.0,True,1.0,True,,False,0.5,True,,False,,False,0.0,True,0.0,True,1.0,True,0.0,True,3.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,128226,Peni Ravai,17,False,32,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,2.0,True,1.0,True,0.0,True,,False,1.0,True,,False,,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,131754,Lee Roy Atalifo,18,False,34,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,3.0,True,2.0,True,,False,0.6,True,,False,,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,120552,Api Ratuniyarawa,19,False,34,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,4.0,True,5.0,True,1.0,True,,False,0.83,True,,False,,False,0.0,True,0.0,True,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,124464,Peceli Yato,20,False,24,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,44.0,True,5.0,True,1.0,True,0.0,True,2.0,True,3.0,True,0.0,True,,False,1.0,True,,False,,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,128232,Henry Seniloli,21,False,6,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.0,True,,False,1.0,True,,False,,False,0.0,True,0.0,True,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,143070,Jale Vatubua,22,False,30,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,20.0,True,0.0,True,1.0,True,0.0,True,2.0,True,3.0,True,0.0,True,,False,1.0,True,,False,,False,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,66384,Josh Matavesi,23,False,19,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,2.0,True,0.0,True,0.0,True,0.0,True,2.0,True,1.0,True,1.0,True,,False,0.5,True,,False,,False,0.0,True,0.0,True,2.0,True,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Japan,9017,Fiji,2879,34,21,131778,Kotaro Matsushima,14,True,80,0,0,True,True,True,2.0,True,1.0,True,0.0,True,0.0,True,0.0,True,67.0,True,3.0,True,3.0,True,0.0,True,10.0,True,1.0,True,2.0,True,,False,0.33,True,,False,,False,0.0,True,0.0,True,5.0,True,1.0,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,True,0.0,True,10.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,144918,Viliame Mata,8,True,56,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,0.0,True,3.0,True,5.0,True,1.0,True,,False,0.83,True,,False,,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
