id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,mkt_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
190503,Siya Kolisi,South Africa,2,Loose Forward,6.5,12.0,P,England,True,22,0,24.9,1.0,14.47,49.6,9.9,4.49
137153,Jasper Wiese,South Africa,2,Loose Forward,6.5,7.1,P,England,True,18,0,24.9,1.0,13.02,63.0,11.31,5.13
185466,Ox Nche,South Africa,2,Prop,6.5,13.2,P,England,True,21,0,24.9,1.0,8.09,49.8,5.56,2.52
190669,Kurt-Lee Arendse,South Africa,2,Back Three,6.5,11.9,P,England,True,17,0,24.9,1.0,27.57,73.5,27.29,12.67
172351,Stuart McCloskey,Ireland,1,Centre,6.5,13.4,P,Australia,False,15,0,8.6,1.0,18.37,70.2,17.8,8.07
187820,Rory Darge,Scotland,1,Loose Forward,6.5,4.7,P,Argentina,False,28,0,-9.7,1.0,26.72,72.6,26.22,12.13
113000,Jack Dempsey,Scotland,1,Loose Forward,6.5,5.0,P,Argentina,False,21,0,-9.7,1.0,20.13,69.6,19.33,8.76
225264,Ruan Nortje,South Africa,2,Lock,6.0,6.0,P,England,True,17,0,24.9,1.0,9.06,71.6,8.95,4.05
157406,Bundee Aki,Ireland,1,Centre,6.0,3.5,B,Australia,False,18,0,8.6,1.0,17.12,29.1,6.87,18.68
222623,Tom Curry,England,1,Loose Forward,6.0,5.8,P,South Africa,False,18,0,-24.9,1.0,25.15,62.8,21.68,9.87
156336,Tom Wright,Australia,2,Back Three,6.0,1.3,B,Ireland,True,15,0,-8.6,1.0,17.65,24.0,5.84,15.88
196773,Pierre Schoeman,Scotland,1,Prop,6.0,5.7,P,Argentina,False,25,0,-9.7,1.0,22.12,58.8,17.92,8.12
210801,Scott Cummings,Scotland,1,Lock,6.0,3.1,P,Argentina,False,20,0,-9.7,1.0,19.34,70.7,18.87,8.55
190708,Harry Wilson,Australia,2,Loose Forward,6.0,6.4,P,Ireland,True,21,0,-8.6,1.0,11.48,75.9,12.02,5.45
118531,Ronan Kelleher,Ireland,1,Hooker,6.0,1.1,B,Australia,False,22,0,8.6,1.0,26.75,22.2,8.18,22.3
126800,Josh van der Flier,Ireland,1,Loose Forward,6.0,9.7,P,Australia,False,24,0,8.6,1.0,24.84,60.7,20.78,9.42
120191,Michele Lamaro,Italy,1,Loose Forward,6.0,2.4,P,Japan,False,24,0,7.9,0.992,18.48,68.6,17.48,7.92
197335,Lorenzo Cannone,Italy,1,Loose Forward,6.0,8.0,P,Japan,False,26,0,7.9,0.992,19.6,68.6,18.54,8.4
130487,Nacho Brex,Italy,1,Centre,6.0,4.2,P,Japan,False,25,0,7.9,0.992,13.26,76.1,13.92,6.31
143950,Semi Radradra,Fiji,2,Centre,6.0,9.3,P,Wales,True,6,0,8.9,0.989,16.48,77.6,17.65,8.0
117823,Matias Alemanno,Argentina,2,Lock,6.0,2.2,P,Scotland,True,6,0,9.7,1.0,5.46,56.0,4.22,1.91
212902,Dewi Lake,Wales,1,Hooker,6.0,7.1,P,Fiji,False,20,0,-8.9,0.989,24.98,60.4,20.8,9.43
197546,Joe Hawkins,Wales,1,Centre,6.0,0.3,P,Fiji,False,6,0,-8.9,0.989,11.91,80.0,13.14,5.96
120767,Louis Rees-Zammit,Wales,1,Back Three,6.0,11.9,P,Fiji,False,10,0,-8.9,0.989,16.28,80.0,17.96,8.14
214124,James Botham,Wales,1,Loose Forward,6.0,0.3,B,Fiji,False,12,0,-8.9,0.989,24.54,35.0,11.48,32.2
229505,Lucio Cinti,Argentina,2,Centre,6.0,1.4,P,Scotland,True,17,0,9.7,1.0,11.45,74.7,11.8,5.35
135572,Jack Cornelsen,Japan,2,Lock,5.5,4.8,P,Italy,True,13,0,-7.9,0.992,8.53,78.2,9.2,4.17
140494,Jiuta Wainiqolo,Fiji,2,Back Three,5.5,18.4,P,Wales,True,13,0,8.9,0.989,22.52,75.2,23.13,10.59
141860,Ewan Ashman,Scotland,1,Hooker,5.5,2.7,P,Argentina,False,25,0,-9.7,1.0,25.2,55.5,19.31,8.75
215963,Guido Petti,Argentina,2,Lock,5.5,4.1,P,Scotland,True,18,0,9.7,1.0,7.98,65.2,7.17,3.25
203381,James Ryan,Ireland,1,Lock,5.5,5.6,P,Australia,False,23,0,8.6,1.0,17.05,60.7,14.28,6.47
