scope,gw,engine,n,mae,spearman,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,mean_capture
GW1,1.0,p3_event_50,270,8.723393264584956,0.5555508263340415,0.1,0.39728353140916806,0.32,0.5713128038897893,0.424,0.6750493096646942,0.5666666666666667,0.7426731078904992,0.5965796882135377
GW2,2.0,p3_event_50,262,8.548524453849526,0.4766752348364073,0.1,0.47058823529411764,0.2,0.6441558441558441,0.4,0.6784783741532048,0.5658333333333334,0.7287680429674387,0.6304976241426513
GW3,3.0,p3_event_50,269,8.925451589772722,0.5477141738325088,0.2,0.5451327433628319,0.28,0.5896805896805897,0.41,0.6331508213041314,0.5657142857142857,0.7872066859530698,0.6387927100751557
GW1,1.0,p3_event_weighted,270,8.602899105100875,0.570468692777256,0.3,0.6366723259762309,0.38666666666666666,0.6434359805510534,0.444,0.6863905325443787,0.6066666666666667,0.7758454106280194,0.6855860624249206
GW2,2.0,p3_event_weighted,262,8.335995560299517,0.5159011945398863,0.2,0.6521008403361345,0.24,0.6658008658008658,0.42,0.7206878582595102,0.5858333333333333,0.738838536421618,0.6943570252045322
GW3,3.0,p3_event_weighted,269,8.708078353697127,0.5837689748635492,0.2,0.5610619469026549,0.36,0.6306306306306306,0.47,0.692882030861125,0.6042857142857143,0.8077788492446158,0.6730883644097565
GW1-3 mean,,p3_event_50,801,8.732456436069066,0.5266467450009858,0.13333333333333333,0.47100150335537255,0.26666666666666666,0.6017164125754078,0.41133333333333333,0.6622261683740102,0.5660714285714286,0.7528826122703359,0.6219566741437815
GW1-3 mean,,p3_event_weighted,801,8.548991006365839,0.5567129540602305,0.2333333333333333,0.6166117044050067,0.3288888888888889,0.6466224923275167,0.4446666666666667,0.6999868072216713,0.5989285714285714,0.7741542654314179,0.6843438173464031
