split,fold,tournament,calendar_year,hemisphere,target,weight_v4,baseline_score,candidate_score,delta
development,six_nations_2022,six_nations,2022,north,minutes,0.5,1.0093543272754697,1.0093543272754697,0.0
development,six_nations_2022,six_nations,2022,north,tries,0.1,0.9513448613865828,0.9651613657477902,0.013816504361207405
development,six_nations_2022,six_nations,2022,north,try_assists,0.2,1.0436795498005074,1.062768250387647,0.01908870058713963
development,six_nations_2022,six_nations,2022,north,conversion_goals,0.2,0.7058121406702066,0.6965832151655076,-0.009228925504699004
development,six_nations_2022,six_nations,2022,north,missed_conversion_goals,0.25,0.9334576615842388,0.9829243836570435,0.04946672207280467
development,six_nations_2022,six_nations,2022,north,penalty_goals,0.5,0.7096834407620497,0.7096834407620497,0.0
development,six_nations_2022,six_nations,2022,north,missed_penalty_goals,0.5,0.8082524210272025,0.8082524210272025,0.0
development,six_nations_2022,six_nations,2022,north,drop_goals_converted,0.75,1.0588426282031431,1.0437248126524485,-0.01511781555069458
development,six_nations_2022,six_nations,2022,north,drop_goal_missed,0.65,0.5532166159448094,0.5806671779360849,0.02745056199127549
development,six_nations_2022,six_nations,2022,north,defenders_beaten,0.25,1.0052546522095005,0.9973325915750255,-0.007922060634474981
development,six_nations_2022,six_nations,2022,north,clean_breaks,0.2,0.9715644766959505,1.0005807665391853,0.029016289843234788
development,six_nations_2022,six_nations,2022,north,offload,0.25,0.9216128299131038,0.9316085607775298,0.009995730864426067
development,six_nations_2022,six_nations,2022,north,runs,0.6,0.8898685581791942,0.8870617532973304,-0.0028068048818638003
development,six_nations_2022,six_nations,2022,north,tackles,0.65,0.9289097506278347,0.9317960457886424,0.002886295160807739
development,six_nations_2022,six_nations,2022,north,missed_tackles,0.4,0.9635492319419908,0.9656672306414096,0.002117998699418755
development,six_nations_2022,six_nations,2022,north,rucks_won,0.6,0.6916981256768202,0.6796702922528481,-0.012027833423972067
development,six_nations_2022,six_nations,2022,north,rucks_lost,0.65,0.9144191233694736,0.9142933784467481,-0.00012574492272554583
development,six_nations_2022,six_nations,2022,north,passes,0.65,0.8308805257856652,0.8303580179609822,-0.000522507824682994
development,six_nations_2022,six_nations,2022,north,bad_passes,0.55,0.8683028845933952,0.8629050384600525,-0.00539784613334271
development,six_nations_2022,six_nations,2022,north,turnovers_conceded,0.3,1.0221110608761867,1.0273321294582998,0.00522106858211302
development,six_nations_2022,six_nations,2022,north,penalties_conceded,0.35,1.020888122123963,1.0216247415699402,0.000736619445977249
development,six_nations_2022,six_nations,2022,north,yellow_cards,0.5,0.8461188695074436,0.8461188695074436,0.0
development,six_nations_2022,six_nations,2022,north,red_cards,0.9,0.700064234919666,0.6794285689454165,-0.020635665974249484
development,six_nations_2022,six_nations,2022,north,metres,0.1,0.8717375523348719,0.8725486784402405,0.0008111261053685981
development,summer_internationals_2022,summer_internationals,2022,mixed,minutes,0.5,0.9709116538441578,0.9709116538441578,0.0
development,summer_internationals_2022,summer_internationals,2022,mixed,tries,0.1,0.9982558577910007,1.0177613674544213,0.019505509663420573
development,summer_internationals_2022,summer_internationals,2022,mixed,try_assists,0.2,0.992628219253043,0.9962280513989493,0.003599832145906312
development,summer_internationals_2022,summer_internationals,2022,mixed,conversion_goals,0.2,0.5146029131648561,0.5308014960602406,0.01619858289538456
