target,weight_v4,development_score,selection_score
minutes,0.0,0.9853878444152819,0.9525461271938264
minutes,0.05,0.9823375840977069,0.9515319414988572
minutes,0.1,0.9796698846053806,0.950885904421626
minutes,0.15,0.977357080709354,0.9504599262118725
minutes,0.2,0.9754121210673097,0.9502883074401508
minutes,0.25,0.9738044611595141,0.9503192219836357
minutes,0.3,0.9725954419122207,0.9505550840951477
minutes,0.35,0.971695150451433,0.9510027614159645
minutes,0.4,0.9711390007322116,0.951759836791472
minutes,0.45,0.9708642561607971,0.9526223510145222
minutes,0.5,0.9708709022423884,0.9536368768715807
minutes,0.55,0.9711452981178181,0.954909501552863
minutes,0.6,0.9718223689873824,0.9563167145647626
minutes,0.65,0.972803116348693,0.9579024967236105
minutes,0.7,0.9741449240286042,0.9597207197419501
minutes,0.75,0.9758291263457661,0.9617093515343131
minutes,0.8,0.9778786644481039,0.9639552088019259
minutes,0.85,0.9802389973518622,0.9664927739248389
minutes,0.9,0.9829241460046495,0.9692813752725599
minutes,0.95,0.986006062240286,0.9722902200147031
minutes,1.0,0.9896011979797816,0.9754987643893912
tries,0.0,0.9699582894384113,0.9638400722390185
tries,0.05,0.958558585874621,0.952047390173389
tries,0.1,0.9580241798614689,0.951172967950495
tries,0.15,0.9583419395767544,0.9512177759339847
tries,0.2,0.9592904196366447,0.9519496011247873
tries,0.25,0.9607742614320697,0.9532587335689446
tries,0.3,0.9627396541695941,0.9550761879637292
tries,0.35,0.9651534165216842,0.9573533960456887
tries,0.4,0.967995056323323,0.9600542927360846
tries,0.45,0.9712530783386952,0.963151421394372
tries,0.5,0.9749231178239435,0.9666237381476092
tries,0.55,0.9790070374174845,0.9704552725472463
tries,0.6,0.9835126431557347,0.9746342801664105
tries,0.65,0.9884538961239605,0.9791527110976564
tries,0.7,0.9938516249904539,0.9840059050626766
tries,0.75,0.9997348617682906,0.9891924706262748
tries,0.8,1.0061430879660174,0.9947143370503411
tries,0.85,1.0131299859882172,1.0005769949146748
tries,0.9,1.02076997712962,1.0067899756076784
tries,0.95,1.0291706326516405,1.0133676739872095
tries,1.0,1.038499935144757,1.020330721115554
try_assists,0.0,1.0212531813197923,0.9799888902578836
try_assists,0.05,0.9908137713387131,0.9771552412878989
try_assists,0.1,0.9883444488673663,0.9759794715805309
try_assists,0.15,0.9873663805141359,0.9759401887300198
try_assists,0.2,0.9873352211167783,0.9767865459308557
try_assists,0.25,0.9880365329663723,0.9783647908402976
try_assists,0.3,0.9893560325104358,0.9805700898616346
try_assists,0.35,0.9912246882070342,0.9833264940243055
try_assists,0.4,0.99359875636092,0.9865768243830456
try_assists,0.45,0.9964508196729522,0.990276938307335
try_assists,0.5,0.9997653015229722,0.9943922208153925
try_assists,0.55,1.0035361739886794,0.998895321891306
try_assists,0.6,1.0077659484472428,1.0037646458192095
try_assists,0.65,1.0124655908343756,1.0089833241787793
try_assists,0.7,1.017655297696809,1.0145385194408933
try_assists,0.75,1.023366311499017,1.0204209701784441
try_assists,0.8,1.0296442855479282,1.026624727956352
try_assists,0.85,1.0365553546586725,1.0331470630019515
try_assists,0.9,1.0441976159020272,1.0399885384480942
try_assists,0.95,1.0527251669962343,1.047153277419026
try_assists,1.0,1.06240789004221,1.0546494809899414
conversion_goals,0.0,0.6704236819652848,0.7357970637154243
conversion_goals,0.05,0.6656101777222752,0.7352052677374862
conversion_goals,0.1,0.662466730621174,0.7356919816234173
conversion_goals,0.15,0.6606394870404486,0.7371339271706616
conversion_goals,0.2,0.6599100109462049,0.7394385715225931
conversion_goals,0.25,0.6601329687744499,0.7425351721796106
conversion_goals,0.3,0.661207454390772,0.7463691762462029
conversion_goals,0.35,0.6630620087681176,0.7508985595004428
conversion_goals,0.4,0.6656461412836315,0.7560913768065598
conversion_goals,0.45,0.6689253084316188,0.7619241180506418
conversion_goals,0.5,0.6728779219350692,0.7683806383063736
conversion_goals,0.55,0.6774936794371909,0.7754515354826156
conversion_goals,0.6,0.6827728786297137,0.7831339217535946
conversion_goals,0.65,0.6887266013389297,0.7914316007052746
conversion_goals,0.7,0.6953778417137227,0.8003557440137263
conversion_goals,0.75,0.7027638833189841,0.8099262989445303
conversion_goals,0.8,0.710940623343241,0.820174643329454
conversion_goals,0.85,0.7199903717586463,0.8311487044400406
conversion_goals,0.9,0.7300367071430685,0.8429238050542959
conversion_goals,0.95,0.7412760128648572,0.8556300981051955
conversion_goals,1.0,0.7540579022522444,0.8695491010393909
missed_conversion_goals,0.0,0.9202856274398477,0.9656489262791803
missed_conversion_goals,0.05,0.8657235718460787,0.9676774413325138
missed_conversion_goals,0.1,0.8615483679799217,0.9703277151478346
missed_conversion_goals,0.15,0.859268928299379,0.9735392507377646
missed_conversion_goals,0.2,0.858088836276515,0.9772646399365722
missed_conversion_goals,0.25,0.8577262777951502,0.9814663327064778
missed_conversion_goals,0.3,0.8580401198793973,0.9861145303976127
missed_conversion_goals,0.35,0.8589479808233487,0.9911857386890665
missed_conversion_goals,0.4,0.8603985947528782,0.9966617751494634
missed_conversion_goals,0.45,0.8623601640573325,1.0025291094763438
missed_conversion_goals,0.5,0.8648148566320912,1.0087784666319097
missed_conversion_goals,0.55,0.8677562010456887,1.015404660008538
missed_conversion_goals,0.6,0.871188166814438,1.0224066533046188
missed_conversion_goals,0.65,0.8751255171065486,1.0297878844028179
missed_conversion_goals,0.7,0.8795954637678889,1.0375569330596102
missed_conversion_goals,0.75,0.8846410741134636,1.045728695954483
missed_conversion_goals,0.8,0.8903275518285828,1.0543263892413832
missed_conversion_goals,0.85,0.8967539924337292,1.063385031899124
missed_conversion_goals,0.9,0.9040772239452661,1.0729578524231969
missed_conversion_goals,0.95,0.9125682318426297,1.0831291903274447
missed_conversion_goals,1.0,0.9227948216674273,1.094044296027559
penalty_goals,0.0,0.7179573984288903,0.7872377736860084
penalty_goals,0.05,0.7111653859069599,0.7844773617871829
penalty_goals,0.1,0.7051029396053996,0.7821165797598443
penalty_goals,0.15,0.6996830323109854,0.7801421385647195
penalty_goals,0.2,0.6948463674169544,0.7785456417897559
penalty_goals,0.25,0.6905512518262411,0.7773228932347146
penalty_goals,0.3,0.6867682207969348,0.7764735254890279
penalty_goals,0.35,0.683476952324408,0.7760008229820837
penalty_goals,0.4,0.6806644291124028,0.7759117124160332
penalty_goals,0.45,0.6783238524443724,0.7762169126727834
penalty_goals,0.5,0.676454060357289,0.7769312531847792
penalty_goals,0.55,0.6750593305407797,0.7780741877394709
penalty_goals,0.6,0.6741495269408632,0.7796705533420677
penalty_goals,0.65,0.673740612374971,0.7817516560900706
penalty_goals,0.7,0.6738556221919988,0.7843568162755563
penalty_goals,0.75,0.6745263081614957,0.7875355882362944
penalty_goals,0.8,0.6757958831199752,0.7913510165723938
penalty_goals,0.85,0.6777237979889689,0.7958845619897214
penalty_goals,0.9,0.6803948067800693,0.8012438702160417
penalty_goals,0.95,0.6839388437909183,0.8075757237309111
penalty_goals,1.0,0.688586925947871,0.8150893147036716
missed_penalty_goals,0.0,0.8724659795881423,0.8057581775899588
missed_penalty_goals,0.05,0.8551852390686515,0.8024067038667941
missed_penalty_goals,0.1,0.8507562762252715,0.7992290198642981
missed_penalty_goals,0.15,0.847231579548753,0.7962194185917376
missed_penalty_goals,0.2,0.8442929009099062,0.7933744847987435
missed_penalty_goals,0.25,0.8418330212774633,0.7906926246944903
missed_penalty_goals,0.3,0.839804042613503,0.7881738916117528
missed_penalty_goals,0.35,0.8381834229950875,0.7858198961453207
missed_penalty_goals,0.4,0.8369627445822955,0.783633787677316
missed_penalty_goals,0.45,0.8361432761014554,0.7816203023004226
missed_penalty_goals,0.5,0.8357342019072772,0.7797858790221568
missed_penalty_goals,0.55,0.8357521898980003,0.7781388530946437
missed_penalty_goals,0.6,0.836221858646213,0.7766897436650138
missed_penalty_goals,0.65,0.8371770866332641,0.7754516643575734
missed_penalty_goals,0.7,0.8386633760863892,0.7744409024820055
missed_penalty_goals,0.75,0.8407418319459079,0.7736777398214846
missed_penalty_goals,0.8,0.8434959915745133,0.7731876337912258
missed_penalty_goals,0.85,0.847044384860252,0.7730029587939827
missed_penalty_goals,0.9,0.8515665844788006,0.7731656588251483
missed_penalty_goals,0.95,0.8573693463519807,0.7737314628411434
missed_penalty_goals,1.0,0.8651332136236457,0.7747769584767726
drop_goals_converted,0.0,0.8943567818857943,0.7953979674136576
drop_goals_converted,0.05,0.8859622317534434,0.7736595542424061
drop_goals_converted,0.1,0.8777666888111146,0.7527277145441441
drop_goals_converted,0.15,0.86978563790524,0.7324149251533613
drop_goals_converted,0.2,0.8620397161775,0.7126067349692478
drop_goals_converted,0.25,0.8545530185817131,0.693229290506301
drop_goals_converted,0.3,0.8473539182231187,0.6742344703446461
drop_goals_converted,0.35,0.8404761521530404,0.6555917276126128
drop_goals_converted,0.4,0.8339602843736371,0.6372834507470357
drop_goals_converted,0.45,0.8278557177704319,0.6193023456784138
drop_goals_converted,0.5,0.8222235270722351,0.6016501057737714
drop_goals_converted,0.55,0.8171405597293669,0.5843370214875865
drop_goals_converted,0.6,0.8127055703887559,0.5673824104320145
drop_goals_converted,0.65,0.8090487691835252,0.5508159252832234
drop_goals_converted,0.7,0.8063474316050878,0.5346799913480776
drop_goals_converted,0.75,0.8048530630136355,0.5190339176283397
drop_goals_converted,0.8,0.8049427359159848,0.5039607595436384
drop_goals_converted,0.85,0.8072279046539044,0.48957912027717887
drop_goals_converted,0.9,0.8128283940198686,0.47606463840528396
drop_goals_converted,0.95,0.824298444121339,0.4636925696257734
drop_goals_converted,1.0,0.8518991058531212,0.45293304760334774
drop_goal_missed,0.0,0.8147916334291823,0.891786982606643
drop_goal_missed,0.05,0.792370060755469,0.8875624427246772
drop_goal_missed,0.1,0.7851767218115128,0.8835180746152796
drop_goal_missed,0.15,0.77880473095087,0.8796664431552782
drop_goal_missed,0.2,0.7729698688259289,0.8760227334106229
drop_goal_missed,0.25,0.7675984283556978,0.872604080254422
drop_goal_missed,0.3,0.7626745328986517,0.8694299310764415
drop_goal_missed,0.35,0.758208644740113,0.8665225000498001
drop_goal_missed,0.4,0.7542285228212766,0.8639073440255697
drop_goal_missed,0.45,0.7507770494809344,0.8616141026090874
drop_goal_missed,0.5,0.7479132185384235,0.8596774638713248
drop_goal_missed,0.55,0.7457154384550122,0.858138446489768
drop_goal_missed,0.6,0.7442874181183524,0.8570461359723801
drop_goal_missed,0.65,0.7437677761218691,0.8564600899025873
drop_goal_missed,0.7,0.7443458015680979,0.8564537594037485
drop_goal_missed,0.75,0.7462883563318653,0.8571195102716548
drop_goal_missed,0.8,0.7499888349767162,0.8585762709973589
drop_goal_missed,0.85,0.7560647924641765,0.8609817200345061
drop_goal_missed,0.9,0.7655803121535688,0.8645528236932923
drop_goal_missed,0.95,0.7806723212026152,0.8696029979967003
drop_goal_missed,1.0,0.8072351019711328,0.8766159533582628
defenders_beaten,0.0,0.9519679286319263,0.9307884469344216
defenders_beaten,0.05,0.8987325967909672,0.9080107891657673
defenders_beaten,0.1,0.8947755256474642,0.9046193517204525
defenders_beaten,0.15,0.8926656315631502,0.9022737667218169
