engine,fold,slate_id,rubric,tier,n,mae,spearman,allowed_events,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,tournament,calendar_year,fold_hemisphere
p3_event_50,summer_internationals_2022,summer_internationals_2022_w24,ncr,stable,23,7.922292293037195,0.5085429807591069,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.5,0.5267857142857143,,,,,,,summer_internationals,2022,mixed
p3_event_50,summer_internationals_2022,summer_internationals_2022_w25,ncr,stable,46,6.271039422479396,0.2669229098797051,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.3,0.4553990610328638,0.68,0.819672131147541,,,,,summer_internationals,2022,mixed
p3_event_50,summer_internationals_2022,summer_internationals_2022_w26,ncr,stable,253,5.799377169088056,0.4811599742281097,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.2,0.5125348189415042,0.24,0.5351123595505618,0.324,0.6382791922739245,0.612,0.7606936416184971,summer_internationals,2022,mixed
p3_event_50,summer_internationals_2022,summer_internationals_2022_w27,ncr,stable,253,5.577930023702922,0.4186797660215428,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.1,0.291044776119403,0.3,0.5142857142857142,0.39,0.554945054945055,0.5457142857142857,0.6730486008836525,summer_internationals,2022,mixed
p3_event_50,summer_internationals_2022,summer_internationals_2022_w28,ncr,stable,184,5.495835091828632,0.5266066084120269,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.3,0.6140350877192983,0.36,0.5850746268656717,0.48,0.7109375,0.738,0.8619972260748959,summer_internationals,2022,mixed
p3_event_50,rugby_championship_2022,rugby_championship_2022_r1,six_nations,stable,92,4.465447343060062,0.6723069693217554,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.425,0.7258064516129032,0.68,0.8559670781893004,0.8240000000000001,0.9125,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r2,six_nations,stable,92,5.846693825194052,0.6192610806775524,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.15,0.5814696485623003,0.68,0.7957860615883307,0.784,0.8892580287929125,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r3,six_nations,stable,92,5.645452447284694,0.5575142142126488,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3,0.6468401486988847,0.56,0.7594433399602386,0.7836363636363636,0.8774373259052924,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r4,six_nations,stable,92,5.419336566693942,0.587912114568642,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.5,0.7160883280757098,0.504,0.782608695652174,0.7488888888888888,0.8863636363636364,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r5,six_nations,stable,92,6.018676940700964,0.6625845731123201,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.4,0.692090395480226,0.7066666666666667,0.8622950819672132,0.78,0.9007177033492823,,,rugby_championship,2022,south
