population,reference,opponent,metric,n_pairs,mean_difference,p025,p975,negative_blocks,positive_blocks,leave_one_min,leave_one_max
stable_events,p3_robust_native,empirical_event,relative_loss,22,-0.07849407520742889,-0.09018197529956926,-0.06682009413621152,22,0,-0.08085729456143707,-0.07616646555725388
stable_events,p3_robust_native,p3_rolling_native,relative_loss,22,-0.0070939117866789725,-0.01177140827007079,-0.0030067604093147564,16,6,-0.0077807498706598454,-0.005857373874974066
stable_events,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0047921506523389105,-0.006504300032436087,-0.003167750675035593,19,3,-0.005130348561877218,-0.004313756282914395
