slate,competition,season,round,engine,n,n_labelled,n_unlabelled,team_unlabelled,mae,team_points,budget_verified,lineup_basis
six_nations_2025_r4,six_nations,2025,4,p3_weighted_native,138,138,0,0,7.81574244976516,486.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2025_r4,six_nations,2025,4,p3_robust_native,138,138,0,0,7.780909026839934,474.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2025_r5,six_nations,2025,5,empirical_baseline,138,138,0,0,7.407392194931639,534.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2025_r5,six_nations,2025,5,p3_rolling_native,138,138,0,0,7.405839922011311,513.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2025_r5,six_nations,2025,5,p3_weighted_native,138,138,0,0,7.394052156935123,505.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2025_r5,six_nations,2025,5,p3_robust_native,138,138,0,0,7.424246650504721,505.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r1,six_nations,2026,1,empirical_baseline,138,134,4,0,8.000927593138426,505.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r1,six_nations,2026,1,p3_rolling_native,138,134,4,1,7.875954177089092,,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r1,six_nations,2026,1,p3_weighted_native,138,134,4,0,7.743071860575277,494.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r1,six_nations,2026,1,p3_robust_native,138,134,4,0,7.561415857016793,494.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r1,six_nations,2026,1,p3_tournament_frozen_native,138,134,4,1,7.875954177089092,,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r2,six_nations,2026,2,p3_tournament_frozen_native,138,131,7,0,7.492020817669858,484.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r3,six_nations,2026,3,p3_tournament_frozen_native,138,137,1,0,7.263110680898394,488.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r4,six_nations,2026,4,p3_tournament_frozen_native,138,138,0,0,6.944921049034462,412.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r5,six_nations,2026,5,p3_tournament_frozen_native,138,138,0,0,6.784085259694187,524.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r2,six_nations,2026,2,empirical_baseline,138,131,7,0,7.4213109258849235,547.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r2,six_nations,2026,2,p3_rolling_native,138,131,7,0,7.49388484966987,552.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r2,six_nations,2026,2,p3_weighted_native,138,131,7,0,7.620187698915835,552.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r2,six_nations,2026,2,p3_robust_native,138,131,7,0,7.609865622175453,564.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r3,six_nations,2026,3,empirical_baseline,138,137,1,0,7.559644231581972,460.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r3,six_nations,2026,3,p3_rolling_native,138,137,1,0,7.484806293992856,455.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r3,six_nations,2026,3,p3_weighted_native,138,137,1,0,7.518912772149119,485.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r3,six_nations,2026,3,p3_robust_native,138,137,1,0,7.434736770703762,463.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r4,six_nations,2026,4,empirical_baseline,138,138,0,0,6.988266294478256,516.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r4,six_nations,2026,4,p3_rolling_native,138,138,0,0,6.990073226643369,407.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r4,six_nations,2026,4,p3_weighted_native,138,138,0,0,7.027845307536549,407.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r4,six_nations,2026,4,p3_robust_native,138,138,0,0,6.941017605465607,407.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r5,six_nations,2026,5,empirical_baseline,138,138,0,0,6.782769875789764,524.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r5,six_nations,2026,5,p3_rolling_native,138,138,0,0,6.712755470367397,564.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r5,six_nations,2026,5,p3_weighted_native,138,138,0,0,6.675530534223663,575.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
six_nations_2026_r5,six_nations,2026,5,p3_robust_native,138,138,0,0,6.671765217787377,568.0,False,complete teamsheet pool; kickoff lock proxy; NO archived prices; missing scores remain unknown
