fold,engine,relative_loss,family,population
autumn_internationals_2022,empirical_event,0.9352902694832982,autumn_internationals,stable_events
autumn_internationals_2022,p3_robust_native,0.856412956532752,autumn_internationals,stable_events
autumn_internationals_2022,p3_rolling_native,0.8554269091685719,autumn_internationals,stable_events
autumn_internationals_2022,p3_weighted_native,0.8612515246933546,autumn_internationals,stable_events
autumn_internationals_2024,empirical_event,0.9547871558508941,autumn_internationals,stable_events
autumn_internationals_2024,p3_robust_native,0.910999044411975,autumn_internationals,stable_events
autumn_internationals_2024,p3_rolling_native,0.9131997054124266,autumn_internationals,stable_events
autumn_internationals_2024,p3_weighted_native,0.9107528824955873,autumn_internationals,stable_events
autumn_internationals_2025,empirical_event,0.9312064103160793,autumn_internationals,stable_events
autumn_internationals_2025,p3_robust_native,0.8722526794495252,autumn_internationals,stable_events
autumn_internationals_2025,p3_rolling_native,0.8797703929677279,autumn_internationals,stable_events
autumn_internationals_2025,p3_weighted_native,0.876300703981743,autumn_internationals,stable_events
british_irish_lions_2025,empirical_event,0.9440709373301714,british_irish_lions,stable_events
british_irish_lions_2025,p3_robust_native,0.8222333604969636,british_irish_lions,stable_events
british_irish_lions_2025,p3_rolling_native,0.8446932754664197,british_irish_lions,stable_events
british_irish_lions_2025,p3_weighted_native,0.8251363538920357,british_irish_lions,stable_events
nations_championship_2026,empirical_event,0.8874775963279636,nations_championship,stable_events
nations_championship_2026,p3_robust_native,0.8288162334447875,nations_championship,stable_events
nations_championship_2026,p3_rolling_native,0.8321955350925261,nations_championship,stable_events
nations_championship_2026,p3_weighted_native,0.8288013642454604,nations_championship,stable_events
pacific_nations_cup_2022,empirical_event,0.9997215679215686,pacific_nations_cup,stable_events
pacific_nations_cup_2022,p3_robust_native,0.885106529814739,pacific_nations_cup,stable_events
pacific_nations_cup_2022,p3_rolling_native,0.9173408747838722,pacific_nations_cup,stable_events
pacific_nations_cup_2022,p3_weighted_native,0.8999449622249928,pacific_nations_cup,stable_events
pacific_nations_cup_2024,empirical_event,1.001120728346773,pacific_nations_cup,stable_events
pacific_nations_cup_2024,p3_robust_native,0.8941072789367702,pacific_nations_cup,stable_events
pacific_nations_cup_2024,p3_rolling_native,0.9019148119097345,pacific_nations_cup,stable_events
pacific_nations_cup_2024,p3_weighted_native,0.9029592627482338,pacific_nations_cup,stable_events
pacific_nations_cup_2025,empirical_event,0.9782205260404099,pacific_nations_cup,stable_events
pacific_nations_cup_2025,p3_robust_native,0.885232228860884,pacific_nations_cup,stable_events
