competition,season,engine,position,n,n_labelled,predicted_mean,actual_mean,bias,mae,rmse,spearman
ncr,2026,empirical_baseline,Back-row,137,137,14.268540145985403,18.970802919708028,-4.702262773722628,9.16956204379562,13.455784390983764,0.6351958585233636
ncr,2026,empirical_baseline,Back-three,112,112,15.504999999999999,20.276785714285715,-4.7717857142857145,12.119464285714287,17.151093467847964,0.449951554658727
ncr,2026,empirical_baseline,Centre,87,87,14.300344827586208,18.149425287356323,-3.8490804597701143,9.187701149425289,12.37444274839612,0.5345841819894726
ncr,2026,empirical_baseline,Fly-half,52,52,14.992307692307692,17.692307692307693,-2.7,7.927692307692308,11.260283846675106,0.6881917701106696
ncr,2026,empirical_baseline,Hooker,65,65,12.223384615384616,20.753846153846155,-8.530461538461541,10.127384615384615,13.672799949591102,0.5608376766786483
ncr,2026,empirical_baseline,Prop,131,131,7.809694656488551,11.267175572519085,-3.4574809160305344,5.617480916030535,7.644007931177754,0.49272874228712116
ncr,2026,empirical_baseline,Scrum-half,68,68,9.149852941176473,11.970588235294118,-2.8207352941176476,7.217499999999999,10.320620635122564,0.5957876408685533
ncr,2026,empirical_baseline,Second-row,106,106,10.204905660377358,12.415094339622641,-2.2101886792452827,6.260754716981133,9.451575989180073,0.48233053445650126
ncr,2026,p3_robust_native,Back-row,137,137,18.56832639965431,18.970802919708028,-0.40247652005371753,9.211256445221354,12.486207431432913,0.6376111230905174
ncr,2026,p3_robust_native,Back-three,112,112,15.02831771790254,20.276785714285715,-5.248467996383174,11.982797398820898,17.137604125872485,0.47205853630693895
ncr,2026,p3_robust_native,Centre,87,87,13.748112997732806,18.149425287356323,-4.401312289623519,9.203325503601974,12.480237117752402,0.5806135039777711
ncr,2026,p3_robust_native,Fly-half,52,52,14.96821189754751,17.692307692307693,-2.7240957947601796,7.905362989070776,11.275291382663308,0.6756810825460384
ncr,2026,p3_robust_native,Hooker,65,65,14.634386206344782,20.753846153846155,-6.1194599475013725,9.07399122979278,12.319848731735378,0.5920508750572373
ncr,2026,p3_robust_native,Prop,131,131,10.34957434289308,11.267175572519085,-0.917601229626004,5.345679499969657,6.925216844021111,0.4711645325806424
ncr,2026,p3_robust_native,Scrum-half,68,68,9.001675145950843,11.970588235294118,-2.9689130893432742,7.090803166402871,10.252633029506457,0.6065762435487513
ncr,2026,p3_robust_native,Second-row,106,106,15.74829216881314,12.415094339622641,3.333197829190499,7.16279209715409,9.65744641228759,0.5100452896277308
six_nations,2025,empirical_baseline,Back-row,144,144,17.030688070942645,19.92361111111111,-2.892923040168467,8.595414664414246,12.108162690821862,0.5739620357386997
six_nations,2025,empirical_baseline,Back-three,102,100,21.491251347073998,22.51,-1.018748652926004,9.764352220659985,12.859033947272941,0.5175795953919594
six_nations,2025,empirical_baseline,Centre,73,71,18.302080640921723,19.830985915492956,-1.5289052745712373,8.454822987228246,12.101039528249773,0.4487122682016795
six_nations,2025,empirical_baseline,Fly-half,43,43,18.504860572346356,18.13953488372093,0.36532568862542586,6.4599014057154385,8.602149864699808,0.6661631081751981
six_nations,2025,empirical_baseline,Hooker,60,60,13.639763030637209,13.766666666666667,-0.1269036360294576,7.1275867266539255,10.773160856240663,0.3483859622056824
six_nations,2025,empirical_baseline,Prop,120,118,8.065991995333976,9.627118644067796,-1.5611266487338211,4.102797798917139,5.821786073228967,0.6017702034355229
six_nations,2025,empirical_baseline,Scrum-half,60,60,11.460691685705063,10.266666666666667,1.1940250190383979,7.05448262012795,10.50187984944799,0.5549088625652561
six_nations,2025,empirical_baseline,Second-row,88,88,12.85279791231208,14.056818181818182,-1.2040202695061033,5.431028638379835,8.10073568011977,0.645340793326558
six_nations,2025,p3_robust_native,Back-row,144,144,17.671733975457826,19.92361111111111,-2.251877135653286,8.648952209271435,12.084787598270946,0.5795274162566064
six_nations,2025,p3_robust_native,Back-three,102,100,20.200604599149866,22.51,-2.30939540085013,9.68049425920548,13.017171291092621,0.5177596982506804
six_nations,2025,p3_robust_native,Centre,73,71,16.853673316429322,19.830985915492956,-2.977312599063633,8.723597878843828,12.363753017183145,0.4329055685028656
six_nations,2025,p3_robust_native,Fly-half,43,43,17.642665010996126,18.13953488372093,-0.49686987272480515,6.757894485961762,8.817917777116392,0.6242964760788782
six_nations,2025,p3_robust_native,Hooker,60,60,13.256522460339053,13.766666666666667,-0.5101442063276128,7.105378066139062,10.800561015829121,0.2945439891430494
six_nations,2025,p3_robust_native,Prop,120,118,8.658815578735636,9.627118644067796,-0.9683030653321605,4.145530177652435,5.88711663415447,0.5460545336816752
six_nations,2025,p3_robust_native,Scrum-half,60,60,10.817032657733614,10.266666666666667,0.550365991066949,6.7939214007802615,10.548310093991555,0.5779720358512731
six_nations,2025,p3_robust_native,Second-row,88,88,14.246642313972245,14.056818181818182,0.18982413215406127,5.792017546444931,8.242446783303798,0.5821906575064315
six_nations,2026,empirical_baseline,Back-row,132,128,17.621697123018613,21.3046875,-3.6829903769813885,8.565776281979275,11.975556081087937,0.6124626441576443
six_nations,2026,empirical_baseline,Back-three,104,102,20.599015181548424,20.313725490196077,0.2852896913523446,9.85417061686969,12.39127575154576,0.5454150173877335
six_nations,2026,empirical_baseline,Centre,75,74,17.165481140206325,18.39189189189189,-1.2264107516855662,8.628049604950636,11.060765011338038,0.5976967935949385
six_nations,2026,empirical_baseline,Fly-half,45,45,18.99982125274741,22.866666666666667,-3.8668454139192607,9.139057049778799,12.765947753267625,0.7603760617476688
six_nations,2026,empirical_baseline,Hooker,60,58,13.9426250146271,13.120689655172415,0.8219353594546831,6.765351877294279,8.640214983466244,0.42027483426132056
six_nations,2026,empirical_baseline,Prop,120,118,8.70597431251843,10.084745762711865,-1.3787714501934334,4.4430570007309385,6.602168086525141,0.5554775121926684
six_nations,2026,empirical_baseline,Scrum-half,60,60,11.762495710787544,11.4,0.3624957107875443,5.200479031184074,8.616094395960737,0.7445061737963252
six_nations,2026,empirical_baseline,Second-row,94,93,12.240959756582145,15.688172043010752,-3.447212286428604,6.456047291767523,9.533351594144797,0.6512063599444479
six_nations,2026,p3_robust_native,Back-row,132,128,19.198099249001423,21.3046875,-2.106588250998579,8.296878069670015,11.39996717251485,0.6511133383321702
six_nations,2026,p3_robust_native,Back-three,104,102,19.19907875997126,20.313725490196077,-1.1146467302248177,9.474311537361933,12.077094700269116,0.5829916098082977
six_nations,2026,p3_robust_native,Centre,75,74,16.324847898520215,18.39189189189189,-2.0670439933716818,8.584526960386137,10.994700870972654,0.5991642435010938
six_nations,2026,p3_robust_native,Fly-half,45,45,19.340978707567423,22.866666666666667,-3.5256879590992414,9.1828861055801,13.012352127534736,0.7527940581838968
