fixture_id,player_id,team,id,name,position,status,actual,predicted,is_sub,is_capt,slate,engine,multiplier,contribution,in_both_squads
291588,242406,Japan,238928,Warner Dearns,Second-row,P,11.0,17.49,False,False,ncr_2026_r2,empirical_baseline,1,11.0,True
291583,359274,Argentina,246851,Toms Rapetti,Prop,P,15.0,15.74,False,False,ncr_2026_r2,empirical_baseline,1,15.0,False
291586,354888,France,250067,Fabien Brau-Boirie,Centre,P,22.0,23.61,False,False,ncr_2026_r2,empirical_baseline,1,22.0,True
291588,149754,Japan,103703,Harry Hockings,Second-row,P,16.0,23.841580969661496,False,False,ncr_2026_r2,p3_robust_native,1,16.0,False
291583,203070,Wales,123016,Jac Morgan,Back-row,P,32.0,30.118957827047502,False,False,ncr_2026_r2,p3_robust_native,1,32.0,True
291584,211638,Fiji,140494,Jiuta Wainiqolo,Back-three,P,23.0,23.418270186639116,False,False,ncr_2026_r2,p3_robust_native,1,23.0,True
291587,168972,New Zealand,146220,Will Jordan,Back-three,P,92.0,31.37678301799836,False,False,ncr_2026_r2,p3_robust_native,1,92.0,True
291586,192666,Australia,146815,Angus Bell,Prop,P,12.0,18.52966084952083,False,False,ncr_2026_r2,p3_robust_native,1,12.0,False
291583,185478,Argentina,165591,Mateo Carreras,Back-three,P,32.0,22.29590019165645,False,False,ncr_2026_r2,p3_robust_native,1,32.0,True
291588,129840,Ireland,172351,Stuart McCloskey,Centre,P,13.0,21.15824415538477,False,False,ncr_2026_r2,p3_robust_native,1,13.0,False
291587,120396,New Zealand,179379,Ardie Savea,Back-row,P,36.0,33.92040170671364,False,True,ncr_2026_r2,p3_robust_native,2,72.0,True
291586,169662,France,190344,Matthieu Jalibert,Fly-half,P,31.0,29.454802657829745,False,False,ncr_2026_r2,p3_robust_native,1,31.0,True
291587,225594,New Zealand,229307,Cam Roigard,Scrum-half,P,30.0,30.768432051259964,False,False,ncr_2026_r2,p3_robust_native,1,30.0,True
291588,227256,Japan,233260,Shuhei Takeuchi,Prop,P,13.0,17.961697354182125,False,False,ncr_2026_r2,p3_robust_native,1,13.0,False
291583,226080,Argentina,235266,Joaquin Oviedo,Back-row,P,74.0,29.70256998410222,False,False,ncr_2026_r2,p3_robust_native,1,74.0,False
291587,231714,Italy,236602,Tommaso di Bartolomeo,Hooker,P,16.0,21.731239939692976,False,False,ncr_2026_r2,p3_robust_native,1,16.0,False
