competition,season,engine,status,n,n_labelled,predicted_mean,actual_mean,bias,mae,rmse,spearman
ncr,2026,empirical_baseline,B,256,256,5.266953125000001,8.62109375,-3.354140625,5.9722656249999995,9.255809366622133,0.33133920015665114
ncr,2026,empirical_baseline,P,502,502,15.713625498007968,20.153386454183266,-4.4397609561752995,9.651155378486056,13.556201400626307,0.44542568778328145
ncr,2026,p3_robust_native,B,256,256,6.787379846947271,8.62109375,-1.8337139030527285,5.885531467191977,8.827091120127884,0.30812062541172025
ncr,2026,p3_robust_native,P,502,502,18.032585920248412,20.153386454183266,-2.120800533934855,9.642652594329595,13.21371056135023,0.40083447909060216
six_nations,2025,empirical_baseline,B,240,237,6.154370295379679,8.278481012658228,-2.1241107172785485,5.237466138931892,7.892726992776073,0.35839874839203345
six_nations,2025,empirical_baseline,P,450,447,19.747149310397987,20.49440715883669,-0.7472578484387019,8.196752735146132,11.568001735275535,0.4827285455863956
six_nations,2025,p3_robust_native,B,240,237,6.433015530545644,8.278481012658228,-1.845465482112584,5.351388727597853,7.8727295150945205,0.30447463493601623
six_nations,2025,p3_robust_native,P,450,447,19.497245954330275,20.49440715883669,-0.9971612045064112,8.250587026788615,11.70341608206646,0.45675797241283433
six_nations,2026,empirical_baseline,B,240,233,6.155566463326166,7.051502145922747,-0.8959356825965811,4.077463551117924,5.679257277938672,0.3487489275319181
six_nations,2026,empirical_baseline,P,450,445,19.613041741108233,21.662921348314608,-2.0498796072063703,9.056946679965652,12.110906349201425,0.4385064852115568
six_nations,2026,p3_robust_native,B,240,233,7.065699994951454,7.051502145922747,0.014197849028706267,4.140968547719938,5.540312824835759,0.3804022773534781
six_nations,2026,p3_robust_native,P,450,445,20.100885180364,21.662921348314608,-1.5620361679506072,8.859324532408577,11.778460185020606,0.487941984206609
