engine,cohort,mae,actual_mean,predicted_mean,calibration_slope
empirical_event,all,10.126819114510816,51.50766020713488,52.94945324866669,0.9353271886875644
empirical_event,bench,10.170855187619734,22.18878003278407,22.97705652283951,0.2804825815717512
empirical_event,starter,10.102833934920387,67.16766594548041,68.9586684921166,0.7693053444586759
p3_robust_native,all,9.87937075774672,51.50766020713488,52.03304461385148,0.9718362538273446
p3_robust_native,bench,9.251780514020252,22.18878003278407,21.613403995145205,1.0317142297769921
p3_robust_native,starter,10.214158175215012,67.16766594548041,68.28099807870299,1.1048746678319954
p3_rolling_native,all,9.917068107864305,51.50766020713488,52.51059081269122,0.9694103300277487
p3_rolling_native,bench,9.482067544830945,22.18878003278407,22.455822573576288,0.5681731267054079
p3_rolling_native,starter,10.148983555913125,67.16766594548041,68.56375332442423,0.9736254248228882
p3_weighted_native,all,9.917068107864305,51.50766020713488,52.51059081269122,0.9694103300277487
p3_weighted_native,bench,9.482067544830945,22.18878003278407,22.455822573576288,0.5681731267054079
p3_weighted_native,starter,10.148983555913125,67.16766594548041,68.56375332442423,0.9736254248228882
