slate,robust_weight,xv,captain_extra,super_sub,total,predicted_total,unknown_selected,captain,common_with_previous,competition,season
six_nations_2026_r2,0.75,450.0,33.0,Henry Pollock,549.0,501.27622207741,0,Antoine Dupont,14.0,six_nations,2026
six_nations_2026_r2,1.0,465.0,33.0,Henry Pollock,564.0,506.69563307853866,0,Antoine Dupont,13.0,six_nations,2026
six_nations_2026_r3,0.0,350.0,56.0,Marcus Smith,460.0,490.2377927402622,0,Thomas Ramos,,six_nations,2026
six_nations_2026_r3,0.25,373.0,56.0,Marcus Smith,483.0,491.5899735446097,0,Thomas Ramos,14.0,six_nations,2026
six_nations_2026_r3,0.5,373.0,56.0,Marcus Smith,483.0,493.1909331382567,0,Thomas Ramos,16.0,six_nations,2026
six_nations_2026_r3,0.75,373.0,56.0,Marcus Smith,483.0,494.7918927319036,0,Thomas Ramos,16.0,six_nations,2026
six_nations_2026_r3,1.0,377.0,56.0,Archie Griffin,463.0,496.680144207983,0,Thomas Ramos,14.0,six_nations,2026
six_nations_2026_r4,0.0,471.0,45.0,Henry Pollock,516.0,471.6887011575124,0,Thomas Ramos,,six_nations,2026
six_nations_2026_r4,0.25,449.0,14.0,Henry Pollock,463.0,473.1536899812202,0,Matthieu Jalibert,15.0,six_nations,2026
six_nations_2026_r4,0.5,450.0,14.0,Henry Pollock,464.0,476.4573307143197,0,Matthieu Jalibert,15.0,six_nations,2026
six_nations_2026_r4,0.75,450.0,14.0,Henry Pollock,464.0,479.8500645262331,0,Matthieu Jalibert,16.0,six_nations,2026
six_nations_2026_r4,1.0,393.0,14.0,Henry Pollock,407.0,484.34099071630493,0,Matthieu Jalibert,13.0,six_nations,2026
six_nations_2026_r5,0.0,470.0,30.0,Henry Pollock,524.0,475.6585019415902,0,Thomas Ramos,,six_nations,2026
six_nations_2026_r5,0.25,470.0,30.0,Henry Pollock,524.0,477.03036111569475,0,Thomas Ramos,16.0,six_nations,2026
six_nations_2026_r5,0.5,470.0,30.0,Henry Pollock,524.0,478.4022202897994,0,Thomas Ramos,16.0,six_nations,2026
six_nations_2026_r5,0.75,500.0,44.0,Henry Pollock,568.0,481.0007004952313,0,Matthieu Jalibert,13.0,six_nations,2026
six_nations_2026_r5,1.0,500.0,44.0,Henry Pollock,568.0,485.33689336533826,0,Matthieu Jalibert,16.0,six_nations,2026
