competition,season,slate,engine,n,n_labelled,predicted_mean,actual_mean,bias,mae,rmse,spearman
ncr,2026,ncr_2026_r1,empirical_baseline,227,227,12.02,15.748898678414097,-3.728898678414097,8.264581497797357,11.966867217998864,0.5911681942545931
ncr,2026,ncr_2026_r1,p3_robust_native,227,227,14.022579102416884,15.748898678414097,-1.726319575997212,8.317041089518463,11.657787809328667,0.5705525673268326
ncr,2026,ncr_2026_r2,empirical_baseline,262,262,12.31267175572519,16.442748091603054,-4.130076335877862,8.395496183206106,12.480973061008436,0.5490634472419559
ncr,2026,ncr_2026_r2,p3_robust_native,262,262,14.467732080075454,16.442748091603054,-1.9750160115275999,8.3384012734908,12.217845995400634,0.5166181625318116
ncr,2026,ncr_2026_r3,empirical_baseline,269,269,12.201189591078066,16.509293680297397,-4.308104089219332,8.543122676579927,12.325156521171463,0.6075577983199641
ncr,2026,ncr_2026_r3,p3_robust_native,269,269,14.186825693512276,16.509293680297397,-2.322467986785121,8.456052776874802,11.828499739717518,0.6108407622799666
six_nations,2025,six_nations_2025_r1,empirical_baseline,138,132,15.429752548134664,17.431818181818183,-2.0020656336835185,6.782401487047886,9.94318072933638,0.715615952387853
six_nations,2025,six_nations_2025_r1,p3_robust_native,138,132,14.26625109649822,17.431818181818183,-3.1655670853199647,6.890568617739768,10.19683394556003,0.7265986400659513
six_nations,2025,six_nations_2025_r2,empirical_baseline,138,138,14.92129262786721,14.159420289855072,0.7618723380121393,6.87587584376193,9.79334517985244,0.637006251372135
six_nations,2025,six_nations_2025_r2,p3_robust_native,138,138,15.352595263766608,14.159420289855072,1.1931749739115338,6.840640310869786,9.588095579279232,0.6512774766270909
six_nations,2025,six_nations_2025_r3,empirical_baseline,138,138,14.886342066109957,15.934782608695652,-1.048440542585695,6.999373156139082,10.419687601242686,0.7012914015642034
six_nations,2025,six_nations_2025_r3,p3_robust_native,138,138,15.290995094411086,15.934782608695652,-0.6437875142845635,7.278381344202609,10.693709232009155,0.6719331573932161
six_nations,2025,six_nations_2025_r4,empirical_baseline,138,138,14.909474014741148,17.76086956521739,-2.851395550476243,7.774974393912702,10.679830363318953,0.6005650676396045
six_nations,2025,six_nations_2025_r4,p3_robust_native,138,138,14.937507317344282,17.76086956521739,-2.8233622478731104,7.780909026839934,10.826947518212135,0.6029255206989587
six_nations,2025,six_nations_2025_r5,empirical_baseline,138,138,15.057051910115806,16.07246376811594,-1.0154118580001386,7.40739219493164,11.284266822771167,0.6063956162984211
six_nations,2025,six_nations_2025_r5,p3_robust_native,138,138,14.97505071279097,16.07246376811594,-1.0974130553249684,7.424246650504721,11.275756226995021,0.5954063392896335
six_nations,2026,six_nations_2026_r1,empirical_baseline,138,134,15.092667410807335,16.149253731343283,-1.056586320535951,8.000927593138426,10.346924372250744,0.6300542139914028
six_nations,2026,six_nations_2026_r1,p3_robust_native,138,134,15.007078399932753,16.149253731343283,-1.142175331410531,7.561415857016793,9.862105683352437,0.6895043571008929
six_nations,2026,six_nations_2026_r2,empirical_baseline,138,131,15.157048412956698,17.358778625954198,-2.2017302129975005,7.4213109258849235,10.77093094803968,0.660523643978731
six_nations,2026,six_nations_2026_r2,p3_robust_native,138,131,16.085980103395784,17.358778625954198,-1.272798522558416,7.6098656221754535,10.731252197691754,0.6494454608857124
six_nations,2026,six_nations_2026_r3,empirical_baseline,138,137,14.943252067747158,16.233576642335766,-1.2903245745886094,7.559644231581972,10.615025663563628,0.5955523039030165
six_nations,2026,six_nations_2026_r3,p3_robust_native,138,137,15.790876471626111,16.233576642335766,-0.44270017070965767,7.434736770703762,10.200000598474356,0.6229768578118716
six_nations,2026,six_nations_2026_r4,empirical_baseline,138,138,15.05637720757842,16.6231884057971,-1.5668111982186825,6.988266294478257,10.124744806218755,0.7288311036803228
six_nations,2026,six_nations_2026_r4,p3_robust_native,138,138,15.675489988968724,16.6231884057971,-0.9476984168283745,6.941017605465607,10.108882211803852,0.7462500477942633
six_nations,2026,six_nations_2026_r5,empirical_baseline,138,138,14.7032912875034,16.86231884057971,-2.1590275530763083,6.782769875789765,9.9484578416767,0.748940375787377
six_nations,2026,six_nations_2026_r5,p3_robust_native,138,138,15.553785578691096,16.86231884057971,-1.308533261888616,6.671765217787377,9.484232360379904,0.7684007308032758
