target,p3_robust_native,p3_rolling_native,difference
bad_passes,0.9382568277730106,0.9416179325328838,-0.003361104759873279
clean_breaks,0.9487383021617923,0.950662087986555,-0.0019237858247627138
conversion_goals,0.650939171333265,0.6368390282417182,0.014100143091546724
defenders_beaten,0.8885534080232091,0.8928149371012882,-0.004261529078079085
drop_goal_missed,0.8435998407843985,0.8433832453101079,0.0002165954742906484
drop_goals_converted,0.6903830356421745,0.7474658292137139,-0.057082793571539336
metres,0.8702976266483792,0.8944766337359724,-0.02417900708759324
missed_conversion_goals,0.8347673964549817,0.8348270213776839,-5.962492270228381e-05
missed_penalty_goals,0.7926637564715778,0.8012833023029686,-0.008619545831390796
missed_tackles,0.9524317254955705,0.9524899341214762,-5.820862590566467e-05
offload,0.931744009232575,0.9337350703846617,-0.0019910611520866928
passes,0.8166333567450595,0.8327324421270319,-0.016099085381972356
penalties_conceded,0.9937764391567497,0.9967824370208939,-0.0030059978641441276
penalty_goals,0.6736458378551349,0.6826055838779067,-0.00895974602277183
red_cards,0.9171562577799566,0.949971809841482,-0.03281555206152542
rucks_lost,0.9754214961121139,0.9782356234918613,-0.0028141273797474
rucks_won,0.7466771566612421,0.7514112088736744,-0.004734052212432283
runs,0.864301183029946,0.8752214945451438,-0.01092031151519779
tackles,0.8954947516418617,0.9102617440428634,-0.014766992401001766
tries,0.9619145992410146,0.949755526851768,0.012159072389246628
try_assists,0.9700414659853274,0.9606139283422261,0.009427537643101225
turnovers_conceded,0.9946841836087565,0.9957889798908209,-0.0011047962820643908
yellow_cards,0.9872100072914364,0.9895160050084472,-0.002305997717010788
