cohort,reference,opponent,metric,n_pairs,mean_difference,p025,p975,negative_blocks,positive_blocks,leave_one_min,leave_one_max
NCR_twelve_teams,p3_robust_native,empirical_event,loss,22,-0.07264251801698411,-0.08517671763961181,-0.06095788060680249,22,0,-0.07472709179049492,-0.06989393245761821
NCR_twelve_teams,p3_robust_native,p3_rolling_native,loss,22,-0.005010778079961268,-0.009815737814872768,-0.0005707038385683431,15,7,-0.006120588538753741,-0.0036750433250793283
NCR_twelve_teams,p3_robust_native,p3_weighted_native,loss,22,-0.0046786838405377265,-0.006708477813942647,-0.0029133031141897695,19,3,-0.005011478568561693,-0.003971854587412671
other_teams,p3_robust_native,empirical_event,loss,12,-0.0929899108056238,-0.11854100569224643,-0.06700841019178512,12,0,-0.09933331166954786,-0.08691257266986062
other_teams,p3_robust_native,p3_rolling_native,loss,12,-0.007662905490769534,-0.01566090318372906,0.0006201546734205006,9,3,-0.01030410035142625,-0.005306480795441593
other_teams,p3_robust_native,p3_weighted_native,loss,12,-0.00613228347615218,-0.009482523342867498,-0.003282944097087167,11,1,-0.006791386073413382,-0.004922547561801236
