fixture_id,date,team,opponent,match_at,lock_at,timestamp_precision,ncr_gameday,ncr_fantasy_match_id
8289205,2021-02-13,Scotland,Wales,2021-02-13 00:00:00+00:00,2021-02-13 00:00:00+00:00,round_date,,
8289205,2021-02-13,Wales,Scotland,2021-02-13 00:00:00+00:00,2021-02-13 00:00:00+00:00,round_date,,
8289214,2021-02-14,France,Ireland,2021-02-14 00:00:00+00:00,2021-02-13 00:00:00+00:00,round_date,,
8289214,2021-02-14,Ireland,France,2021-02-14 00:00:00+00:00,2021-02-13 00:00:00+00:00,round_date,,
8289286,2021-02-27,Ireland,Italy,2021-02-27 00:00:00+00:00,2021-02-27 00:00:00+00:00,round_date,,
8289286,2021-02-27,Italy,Ireland,2021-02-27 00:00:00+00:00,2021-02-27 00:00:00+00:00,round_date,,
8289295,2021-02-27,England,Wales,2021-02-27 00:00:00+00:00,2021-02-27 00:00:00+00:00,round_date,,
8289295,2021-02-27,Wales,England,2021-02-27 00:00:00+00:00,2021-02-27 00:00:00+00:00,round_date,,
8289376,2021-03-13,Italy,Wales,2021-03-13 00:00:00+00:00,2021-03-13 00:00:00+00:00,round_date,,
8289376,2021-03-13,Wales,Italy,2021-03-13 00:00:00+00:00,2021-03-13 00:00:00+00:00,round_date,,
8289385,2021-03-13,England,France,2021-03-13 00:00:00+00:00,2021-03-13 00:00:00+00:00,round_date,,
8289385,2021-03-13,France,England,2021-03-13 00:00:00+00:00,2021-03-13 00:00:00+00:00,round_date,,
8289394,2021-03-14,Ireland,Scotland,2021-03-14 00:00:00+00:00,2021-03-13 00:00:00+00:00,round_date,,
8289394,2021-03-14,Scotland,Ireland,2021-03-14 00:00:00+00:00,2021-03-13 00:00:00+00:00,round_date,,
8289466,2021-03-20,Italy,Scotland,2021-03-20 00:00:00+00:00,2021-03-20 00:00:00+00:00,round_date,,
8289466,2021-03-20,Scotland,Italy,2021-03-20 00:00:00+00:00,2021-03-20 00:00:00+00:00,round_date,,
8289475,2021-03-20,England,Ireland,2021-03-20 00:00:00+00:00,2021-03-20 00:00:00+00:00,round_date,,
8289475,2021-03-20,Ireland,England,2021-03-20 00:00:00+00:00,2021-03-20 00:00:00+00:00,round_date,,
8289484,2021-03-20,France,Wales,2021-03-20 00:00:00+00:00,2021-03-20 00:00:00+00:00,round_date,,
8289484,2021-03-20,Wales,France,2021-03-20 00:00:00+00:00,2021-03-20 00:00:00+00:00,round_date,,
8289304,2021-03-26,France,Scotland,2021-03-26 00:00:00+00:00,2021-02-27 00:00:00+00:00,round_date,,
8289304,2021-03-26,Scotland,France,2021-03-26 00:00:00+00:00,2021-02-27 00:00:00+00:00,round_date,,
8289961,2021-07-02,South Africa,Georgia,2021-07-02 00:00:00+00:00,2021-07-02 00:00:00+00:00,date,,
8289970,2021-07-03,Ireland,Japan,2021-07-03 00:00:00+00:00,2021-07-03 00:00:00+00:00,date,,
8289970,2021-07-03,Japan,Ireland,2021-07-03 00:00:00+00:00,2021-07-03 00:00:00+00:00,date,,
8289979,2021-07-03,Wales,Canada,2021-07-03 00:00:00+00:00,2021-07-03 00:00:00+00:00,date,,
8290123,2021-07-03,New Zealand,Tonga,2021-07-03 00:00:00+00:00,2021-07-03 00:00:00+00:00,date,,
8290213,2021-07-03,Argentina,Romania,2021-07-03 00:00:00+00:00,2021-07-03 00:00:00+00:00,date,,
8289988,2021-07-04,England,USA,2021-07-04 00:00:00+00:00,2021-07-04 00:00:00+00:00,date,,
8289916,2021-07-07,Australia,France,2021-07-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,date,,
8289916,2021-07-07,France,Australia,2021-07-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,date,,
8290006,2021-07-10,Fiji,New Zealand,2021-07-10 00:00:00+00:00,2021-07-10 00:00:00+00:00,date,,
8290006,2021-07-10,New Zealand,Fiji,2021-07-10 00:00:00+00:00,2021-07-10 00:00:00+00:00,date,,
8290024,2021-07-10,England,Canada,2021-07-10 00:00:00+00:00,2021-07-10 00:00:00+00:00,date,,
8290042,2021-07-10,Ireland,USA,2021-07-10 00:00:00+00:00,2021-07-10 00:00:00+00:00,date,,
8290051,2021-07-10,Argentina,Wales,2021-07-10 00:00:00+00:00,2021-07-10 00:00:00+00:00,date,,
8290051,2021-07-10,Wales,Argentina,2021-07-10 00:00:00+00:00,2021-07-10 00:00:00+00:00,date,,
8289925,2021-07-13,Australia,France,2021-07-13 00:00:00+00:00,2021-07-13 00:00:00+00:00,date,,
8289925,2021-07-13,France,Australia,2021-07-13 00:00:00+00:00,2021-07-13 00:00:00+00:00,date,,
8289934,2021-07-17,Australia,France,2021-07-17 00:00:00+00:00,2021-07-17 00:00:00+00:00,date,,
8289934,2021-07-17,France,Australia,2021-07-17 00:00:00+00:00,2021-07-17 00:00:00+00:00,date,,
8290078,2021-07-17,Fiji,New Zealand,2021-07-17 00:00:00+00:00,2021-07-17 00:00:00+00:00,date,,
8290078,2021-07-17,New Zealand,Fiji,2021-07-17 00:00:00+00:00,2021-07-17 00:00:00+00:00,date,,
8290105,2021-07-17,Argentina,Wales,2021-07-17 00:00:00+00:00,2021-07-17 00:00:00+00:00,date,,
8290105,2021-07-17,Wales,Argentina,2021-07-17 00:00:00+00:00,2021-07-17 00:00:00+00:00,date,,
8290132,2021-08-07,Australia,New Zealand,2021-08-07 00:00:00+00:00,2021-08-07 00:00:00+00:00,date,,
8290132,2021-08-07,New Zealand,Australia,2021-08-07 00:00:00+00:00,2021-08-07 00:00:00+00:00,date,,
26566,2021-08-14,Australia,New Zealand,2021-08-14 00:00:00+00:00,2021-08-14 00:00:00+00:00,date,,
26566,2021-08-14,New Zealand,Australia,2021-08-14 00:00:00+00:00,2021-08-14 00:00:00+00:00,date,,
26611,2021-08-14,Argentina,South Africa,2021-08-14 00:00:00+00:00,2021-08-14 00:00:00+00:00,date,,
26611,2021-08-14,South Africa,Argentina,2021-08-14 00:00:00+00:00,2021-08-14 00:00:00+00:00,date,,
26620,2021-08-21,Argentina,South Africa,2021-08-21 00:00:00+00:00,2021-08-21 00:00:00+00:00,date,,
26620,2021-08-21,South Africa,Argentina,2021-08-21 00:00:00+00:00,2021-08-21 00:00:00+00:00,date,,
26557,2021-09-05,Australia,New Zealand,2021-09-05 00:00:00+00:00,2021-09-05 00:00:00+00:00,date,,
26557,2021-09-05,New Zealand,Australia,2021-09-05 00:00:00+00:00,2021-09-05 00:00:00+00:00,date,,
26575,2021-09-12,Australia,South Africa,2021-09-12 00:00:00+00:00,2021-09-12 00:00:00+00:00,date,,
26575,2021-09-12,South Africa,Australia,2021-09-12 00:00:00+00:00,2021-09-12 00:00:00+00:00,date,,
