fixture_id,kickoff,home,away,empirical_raw,p3_balanced_recent_native,p3_robust_native
8518300,2025-11-15T20:10:00+00:00,France,Fiji,0.7390745384609955,0.6473765304559316,0.654379029901258
8518309,2025-11-16T15:10:00+00:00,Scotland,Argentina,0.8278837841226601,0.807220726759093,0.8072811196750623
8518390,2025-11-22T12:00:00+00:00,Georgia,Japan,0.6986131423103615,0.6960451361488914,0.6988689278161527
8518318,2025-11-22T15:10:00+00:00,Wales,New Zealand,0.682022975725211,0.7373450425734625,0.7367858800208626
8544553,2025-11-22T16:00:00+00:00,Spain,Fiji,0.6269956714342317,0.627523924919459,0.6320397170666986
8518327,2025-11-22T17:40:00+00:00,Ireland,South Africa,0.649578734077356,0.6080490786387533,0.6120977728784901
8518336,2025-11-22T20:10:00+00:00,Italy,Chile,0.6446189922916514,0.6480685630701379,0.6366302177600015
8518345,2025-11-22T20:10:00+00:00,France,Australia,0.7092213489744578,0.6131521761345287,0.61687915390353
8518354,2025-11-23T13:40:00+00:00,Scotland,Tonga,0.6292578175207105,0.6569122315450543,0.6465615241811431
8518363,2025-11-23T16:10:00+00:00,England,Argentina,0.8381469853934914,0.7633919359275559,0.7709953130137365
8518372,2025-11-29T15:10:00+00:00,Wales,South Africa,0.6185415518631534,0.5665733598995263,0.5787457651761635
8546596,2026-08-08T10:05:00+00:00,Japan,Australia,0.61857714948716,0.620633850745497,0.6185001514869097
8553454,2026-08-08T19:00:00+00:00,Argentina,South Africa,0.7300618470430781,0.6995423598596294,0.6974269592867931
8546605,2026-08-15T05:15:00+00:00,Australia,Japan,0.6666187735017556,0.6307673649461668,0.6436567228338164
8545138,2026-08-22T15:10:00+00:00,South Africa,New Zealand,0.688935734302821,0.6770172842418558,0.6716481645786507
