engine,fixture_id,target,n,mae
p3_balanced_recent_native,8472247,penalties_conceded,46,0.5735971726691844
p3_balanced_recent_native,8472247,yellow_cards,46,0.0434208282755858
p3_balanced_recent_native,8472247,red_cards,46,0.0010563436855523
p3_balanced_recent_native,8472247,metres,46,10.274578633972745
empirical_raw,8472256,minutes,46,11.393149968713209
empirical_raw,8472256,tries,46,0.2934516946784835
empirical_raw,8472256,try_assists,46,0.185085868330995
empirical_raw,8472256,conversion_goals,46,0.1872302538638564
empirical_raw,8472256,missed_conversion_goals,46,0.054807074789458
empirical_raw,8472256,penalty_goals,46,0.0515190956551573
empirical_raw,8472256,missed_penalty_goals,46,0.0282535678091071
empirical_raw,8472256,drop_goals_converted,46,0.0020035705482433
empirical_raw,8472256,drop_goal_missed,46,0.0048406914416239
empirical_raw,8472256,defenders_beaten,46,0.8854642919496508
empirical_raw,8472256,clean_breaks,46,0.3953446810010874
empirical_raw,8472256,offload,46,0.3532848414872774
empirical_raw,8472256,runs,46,2.2398562417268724
empirical_raw,8472256,tackles,46,3.1275960441816077
empirical_raw,8472256,missed_tackles,46,0.7316008110440125
empirical_raw,8472256,rucks_won,46,1.4996251348338725
empirical_raw,8472256,rucks_lost,46,0.2115550170699984
empirical_raw,8472256,passes,46,3.133590521387424
empirical_raw,8472256,bad_passes,46,0.4493640472662448
empirical_raw,8472256,turnovers_conceded,46,0.5605518142482958
empirical_raw,8472256,penalties_conceded,46,0.4846159934569765
empirical_raw,8472256,yellow_cards,46,0.0195511579145745
empirical_raw,8472256,red_cards,46,0.0030909384148405
empirical_raw,8472256,metres,46,12.173669004502672
p3_robust_native,8472256,minutes,46,10.855691158768668
p3_robust_native,8472256,tries,46,0.2931449073859756
p3_robust_native,8472256,try_assists,46,0.1879465885478808
p3_robust_native,8472256,conversion_goals,46,0.1818149853394554
p3_robust_native,8472256,missed_conversion_goals,46,0.0518641711176649
p3_robust_native,8472256,penalty_goals,46,0.0444334672062415
p3_robust_native,8472256,missed_penalty_goals,46,0.0263667936241736
p3_robust_native,8472256,drop_goals_converted,46,0.0007373490092773
p3_robust_native,8472256,drop_goal_missed,46,0.002242985790106
p3_robust_native,8472256,defenders_beaten,46,0.8479695255117593
p3_robust_native,8472256,clean_breaks,46,0.3917186896940614
p3_robust_native,8472256,offload,46,0.3498985738616372
p3_robust_native,8472256,runs,46,1.852644985166796
p3_robust_native,8472256,tackles,46,2.793798999898462
p3_robust_native,8472256,missed_tackles,46,0.740273774982949
p3_robust_native,8472256,rucks_won,46,1.4069696431164551
p3_robust_native,8472256,rucks_lost,46,0.1886706284963045
p3_robust_native,8472256,passes,46,2.4870579407940103
p3_robust_native,8472256,bad_passes,46,0.4514721427387126
p3_robust_native,8472256,turnovers_conceded,46,0.5505966334371861
p3_robust_native,8472256,penalties_conceded,46,0.4738892337587588
p3_robust_native,8472256,yellow_cards,46,0.0174243056360755
p3_robust_native,8472256,red_cards,46,0.0029186979161202
p3_robust_native,8472256,metres,46,11.753148475487
p3_balanced_native,8472256,minutes,46,10.901451383444062
p3_balanced_native,8472256,tries,46,0.2928684149647287
p3_balanced_native,8472256,try_assists,46,0.1888344970015436
p3_balanced_native,8472256,conversion_goals,46,0.182517808719118
p3_balanced_native,8472256,missed_conversion_goals,46,0.0503574230333047
p3_balanced_native,8472256,penalty_goals,46,0.0460114522126814
p3_balanced_native,8472256,missed_penalty_goals,46,0.0255237327286128
p3_balanced_native,8472256,drop_goals_converted,46,0.000701830677685
p3_balanced_native,8472256,drop_goal_missed,46,0.0019957881258142
p3_balanced_native,8472256,defenders_beaten,46,0.8485740368745951
p3_balanced_native,8472256,clean_breaks,46,0.394789965334448
p3_balanced_native,8472256,offload,46,0.3475476871377326
p3_balanced_native,8472256,runs,46,1.8576067193912256
p3_balanced_native,8472256,tackles,46,2.811294052593711
p3_balanced_native,8472256,missed_tackles,46,0.7491977980921198
p3_balanced_native,8472256,rucks_won,46,1.4493397547236224
p3_balanced_native,8472256,rucks_lost,46,0.1903546715807265
p3_balanced_native,8472256,passes,46,2.4836500596793525
p3_balanced_native,8472256,bad_passes,46,0.4507282955603965
p3_balanced_native,8472256,turnovers_conceded,46,0.5496481020113909
p3_balanced_native,8472256,penalties_conceded,46,0.4831580559649758
p3_balanced_native,8472256,yellow_cards,46,0.0169788852228922
p3_balanced_native,8472256,red_cards,46,0.0010296608296251
p3_balanced_native,8472256,metres,46,11.7497070517708
p3_balanced_recent_native,8472256,minutes,46,10.720172591097112
p3_balanced_recent_native,8472256,tries,46,0.2922553528392501
p3_balanced_recent_native,8472256,try_assists,46,0.1913864459569526
p3_balanced_recent_native,8472256,conversion_goals,46,0.1718556504867898
p3_balanced_recent_native,8472256,missed_conversion_goals,46,0.0510996396079482
p3_balanced_recent_native,8472256,penalty_goals,46,0.0406799216167987
p3_balanced_recent_native,8472256,missed_penalty_goals,46,0.0249353642326702
p3_balanced_recent_native,8472256,drop_goals_converted,46,0.0006632937104212
p3_balanced_recent_native,8472256,drop_goal_missed,46,0.0020228445294353
p3_balanced_recent_native,8472256,defenders_beaten,46,0.8484550915812779
p3_balanced_recent_native,8472256,clean_breaks,46,0.3957658937187133
p3_balanced_recent_native,8472256,offload,46,0.3476022534628037
p3_balanced_recent_native,8472256,runs,46,1.8633828712793437
p3_balanced_recent_native,8472256,tackles,46,2.7700487376091605
p3_balanced_recent_native,8472256,missed_tackles,46,0.7488058822118259
p3_balanced_recent_native,8472256,rucks_won,46,1.4457108747693752
p3_balanced_recent_native,8472256,rucks_lost,46,0.1878864174403474
