candidate_id,year,weighting,time_half_life_days,n_estimators,num_leaves,seed,deviance__tries,deviance__try_assists,deviance__conversion_goals,deviance__missed_conversion_goals,deviance__penalty_goals,deviance__missed_penalty_goals,deviance__drop_goals_converted,deviance__drop_goal_missed,deviance__defenders_beaten,deviance__clean_breaks,deviance__offload,deviance__runs,deviance__tackles,deviance__missed_tackles,deviance__dominant_tackles,deviance__tackle_turnover,deviance__tackle_try_saver,deviance__rucks_won,deviance__rucks_lost,deviance__passes,deviance__bad_passes,deviance__lineouts_won,deviance__turnovers_conceded,deviance__penalties_conceded,deviance__yellow_cards,deviance__red_cards,deviance__metres,minutes_scaled_mae,raw_deviance,observable_points_mae,objective
0,2022,natural,,180,23,17,0.4517332832945951,0.3329033297308066,0.17066583192098286,0.0951679841257349,0.1563181019131771,0.07321196253997256,0.027926811835200138,0.01890954781484947,0.7408297810031031,0.4839856241115424,0.6173892594174156,0.32834034058160283,0.31653496397381903,0.6727651160370354,0.7239227847935734,0.9247139299092987,0.2708237252283133,0.45944756427029454,0.5780146590479065,0.39952148647195035,0.6437441538852047,0.21312548838131457,0.6303224955858352,0.6494603561794218,0.13845826677268863,0.0256966624100348,1.3893803460692973,0.1301209000699019,0.24721354224387246,5.635591475752328,0.4726372012739656
0,2023,natural,,180,23,17,0.4367618551770625,0.3354690624703701,0.1559144226720249,0.09030971392484971,0.13281987718876734,0.08198012334649447,0.02934661068831907,0.04095572573092585,0.7027813858943983,0.4979929130717423,0.6234472367912568,0.3060952946200222,0.3090700874293996,0.6287022609772018,0.624126322125072,0.4582554728238553,0.055054570132671225,0.37688315495595354,0.502499133372432,0.35009939731356077,0.582517099160699,0.2275375031380427,0.6115050231353292,0.6568482280850401,0.09336882760377498,0.024497165452604282,1.3660642803399627,0.12507373530238147,0.22038324935939713,6.252714436803077,0.47049182683152024
0,2024,natural,,180,23,17,0.44402952581482275,0.35926966639573266,0.15304445417338325,0.09130109579545695,0.11792973420283492,0.06662631303798856,0.014565862520328845,0.03551192230188513,0.6864483924410871,0.4965979721082152,0.6142609752138092,0.2891878590179268,0.30455900779718,0.6027125918035552,0.6229615107766078,0.41108187518123884,0.17095880169530162,0.3487296574882282,0.4776807723891509,0.3220149177774048,0.5744956711077576,0.17408053449313082,0.609157744701256,0.6441662917752877,0.11565324152222854,0.023425952063088694,1.3460881330211312,0.1204357854471847,0.21658007918605696,6.2034282252323045,0.4647172081953491
1,2022,natural,1095.0,220,31,17,0.45987705124548367,0.33868759217910005,0.17657283886606007,0.09692771577568612,0.16143002530620754,0.07402156892594595,0.02786144066351436,0.01837512891697203,0.7451057764316503,0.4901511281784954,0.6220062037216327,0.32914945480533203,0.3218988503149432,0.6803672893341302,0.7728226845222891,0.9373760187372696,0.27750003288275416,0.46153551782331603,0.5947933765148319,0.40221758922661516,0.649320251713239,0.2157656753550386,0.6422812338719969,0.655609960593041,0.1430160220577483,0.026255060517695616,1.3473665878828895,0.1340033579146252,0.2517789238819646,5.636588702200708,0.4772424719699929
1,2023,natural,1095.0,220,31,17,0.4390308407505328,0.3369528662362315,0.16071764264788838,0.08975380398777394,0.1367277413815517,0.08589590078205506,0.029982038238127607,0.04322343180558914,0.7026728249071988,0.49965924944493595,0.621404683031815,0.30629481892714616,0.3077889955305281,0.6297377563124293,0.6259468332263156,0.4624644799654138,0.04861027130485719,0.37627385399189633,0.5026291159565976,0.3491479486172462,0.5844644708647724,0.22471925404681772,0.6133771307188683,0.6578957488003563,0.09409464446863441,0.025551208988637313,1.3433182612903518,0.12480822874185867,0.22080324940862298,6.279777275792965,0.4719943404403416
1,2024,natural,1095.0,220,31,17,0.4433751274755284,0.3600389436950167,0.1516139620674693,0.09182155407067444,0.11814175638577888,0.06853879863721471,0.015034511673443662,0.03833148839764703,0.685592716213186,0.49563707184004224,0.6131360743191461,0.2890605203648364,0.302562318079224,0.6013958254351093,0.625634314565479,0.41258544505952355,0.17267701244999292,0.3446973422365811,0.4778135534220462,0.31977127555026924,0.575438581784924,0.1677376398785713,0.6087991574042462,0.6447390445281836,0.11692635819506708,0.024157587049920493,1.3296643789975693,0.12036362312840691,0.216454646300005,6.201558389575586,0.4645169818830285
2,2022,level_balanced,,180,23,17,0.4517332832945951,0.3329033297308066,0.17066583192098286,0.0951679841257349,0.1563181019131771,0.07321196253997256,0.027926811835200138,0.01890954781484947,0.7408297810031031,0.4839856241115424,0.6173892594174156,0.32834034058160283,0.31653496397381903,0.6727651160370354,0.7239227847935734,0.9247139299092987,0.2708237252283133,0.45944756427029454,0.5780146590479065,0.39952148647195035,0.6437441538852047,0.21312548838131457,0.6303224955858352,0.6494603561794218,0.13845826677268863,0.0256966624100348,1.3893803460692973,0.1301209000699019,0.24721354224387246,5.635591475752328,0.4726372012739656
2,2023,level_balanced,,180,23,17,0.4380190836633342,0.33708607606420204,0.1603331030413714,0.08903123474929991,0.13198033481327184,0.08513399479459939,0.02959989391318879,0.04227318366523694,0.7037638440012473,0.49843389827596424,0.6204890560515437,0.3041165661399085,0.30888037473269186,0.6277638145656992,0.6262870122874061,0.4704497350063212,0.04877675225252245,0.3797260270809746,0.5064847538581984,0.3483267664232591,0.5820961434903397,0.22851087394589453,0.6123643526718103,0.6579379453701307,0.09415664489012066,0.023607304580073946,1.3382133841431427,0.12491622034617403,0.22074002069190252,6.256841612050453,0.4710136851739206
2,2024,level_balanced,,180,23,17,0.4451298279039349,0.36244461348170376,0.15568742328047971,0.0910374856329049,0.12938358022073104,0.0668684614201289,0.014242676991593706,0.037847292531858326,0.6858986862563407,0.5002650951095685,0.615920951581652,0.2878395756599547,0.3021314319995526,0.6040051113967104,0.6289005264245399,0.41811480893708514,0.19054274413766126,0.35446598810707675,0.48177225586741734,0.3188408231242711,0.5772493764692312,0.17326732673105025,0.6095502087133612,0.6449780443055194,0.11598310081823238,0.024880902398504535,1.302328924341826,0.12043254261477229,0.21744413547709884,6.1797564791030215,0.4646343946412197
3,2022,level_balanced,1095.0,220,31,17,0.45987705124548367,0.33868759217910005,0.17657283886606007,0.09692771577568612,0.16143002530620754,0.07402156892594595,0.02786144066351436,0.01837512891697203,0.7451057764316503,0.4901511281784954,0.6220062037216327,0.32914945480533203,0.3218988503149432,0.6803672893341302,0.7728226845222891,0.9373760187372696,0.27750003288275416,0.46153551782331603,0.5947933765148319,0.40221758922661516,0.649320251713239,0.2157656753550386,0.6422812338719969,0.655609960593041,0.1430160220577483,0.026255060517695616,1.3473665878828895,0.1340033579146252,0.2517789238819646,5.636588702200708,0.4772424719699929
