candidate_id,objective,raw_deviance,observable_points_mae
0,0.48279767503643695,0.2432832719253608,5.987860077776905
9,0.4830284427413696,0.24396121166237594,5.976680776974841
1,0.48354835042921657,0.24381366200159624,5.993367210690508
8,0.4837530852066265,0.24430805271141165,5.986125812380372
10,0.4838961322374278,0.24435404890908585,5.988552083208549
6,0.48426836093022985,0.24480316146406347,5.986629986654159
5,0.4842826012208284,0.24461182179816546,5.991769485566575
7,0.48471985225052444,0.24465292164895092,6.001673265039339
4,0.4849432875528214,0.2454377352543969,5.987638807460612
3,0.4855587720691216,0.2458400339693485,5.992968452494327
2,0.4856209964534353,0.24533105145995024,6.0072486248371275
11,0.48881709345439744,0.24847352615029408,6.008589182602584
