candidate_id,rung,epochs,hidden,depth,dropout,embedding_scale,batch_size,learning_rate,weight_decay,patience,weighting,time_half_life_days,rate_cap_quantile,use_appearance,context_blocks,seed,deviance__tries,deviance__try_assists,deviance__conversion_goals,deviance__missed_conversion_goals,deviance__penalty_goals,deviance__missed_penalty_goals,deviance__drop_goals_converted,deviance__drop_goal_missed,deviance__defenders_beaten,deviance__clean_breaks,deviance__offload,deviance__runs,deviance__tackles,deviance__missed_tackles,deviance__dominant_tackles,deviance__tackle_turnover,deviance__tackle_try_saver,deviance__rucks_won,deviance__rucks_lost,deviance__passes,deviance__bad_passes,deviance__lineouts_won,deviance__turnovers_conceded,deviance__penalties_conceded,deviance__yellow_cards,deviance__red_cards,deviance__metres,minutes_scaled_mae,raw_deviance,observable_points_mae,objective
0,1,6,256,3,0.1321946182338214,1.0,1024,0.0006030947334921569,2.6908155397998754e-05,5,international_x2,1095.0,0.995,True,['wr'],17,0.46310988550200183,0.377586380131314,0.21429427687589486,0.1159989194957774,0.16617824830998984,0.07524890357322453,0.04577883343200207,0.15394402997838885,0.7171669837616128,0.5238464934936297,0.6327580579132883,0.33225543187439344,0.39984943174752985,0.6241777413479815,0.643419889350093,0.41617927653445724,0.17744948735340532,0.40484701661685857,0.4860977560246109,1.6215953991271614,0.6017380370795834,1.1665966921448725,0.6215501303080091,0.660013885146895,0.1160062915430361,0.02453617719938375,1.7066378118000471,0.12540188930871018,0.24735640621743177,6.5560121149485635,0.5095968908153743
1,1,6,256,2,0.2222686216997961,0.5,1024,0.0003088293280042412,3.221675746066956e-05,5,international_x2,1095.0,0.995,True,['roles'],18,0.5089286380599328,0.40589391017178345,0.4308995653645813,0.19168704573230294,0.3419367205173533,0.10332101922238877,0.04577883343200207,0.15394402997838882,0.8079918676086327,0.5920910528599729,0.671088248454442,0.3926696620835949,0.47407150027219536,0.6531076321353788,0.657942847267543,0.4241322323826406,0.17051187872650791,0.4470373296162526,0.486295237816302,1.8144687461332896,0.635875248459403,1.4380726203905916,0.6471663148944793,0.6731087925481657,0.117722982008995,0.02520702760831794,2.2094640788135362,0.17742409708955728,0.29846839309297657,7.012851782415314,0.5789824643895891
2,1,6,128,2,0.2995527361845953,2.0,1024,0.00032167880087221224,0.00013648333508283503,5,international_x4,1825.0,0.995,True,['roles'],19,0.56050159905197,0.4696031207050163,0.6079003561256366,0.2707869262070932,0.4571929523151247,0.14692067127164582,0.04577883343200207,0.15394402997838882,1.0149119406895444,0.7159973521702399,0.7812095978165037,0.5272494985403472,0.6439956795686648,0.753735583360526,0.7136749823641508,0.44167990605867835,0.16052956374730898,0.5712518117408134,0.5243846389423551,1.9558787737571754,0.7642491631078246,1.4550397260438155,0.7580092404631812,0.743641309607865,0.11715422462066125,0.04776351829189273,4.070848197286055,0.3247722639080454,0.41442718737516615,8.232399427602473,0.743723164479265
3,1,6,128,2,0.13581677478264692,1.0,1024,0.0007206633137569128,0.00013614673552588048,5,natural,547.5,0.995,True,['wr'],20,0.487981139694568,0.3915062353043124,0.28138718438401567,0.14629506275872253,0.24606947528871434,0.08746245679554061,0.04577883343200207,0.15394402997838885,0.7552041545748109,0.550886874697658,0.6448831684733348,0.3649770366579185,0.4756234896368248,0.6467553400206276,0.6509642397208647,0.4163758500781715,0.17555772950044338,0.42765031199173853,0.4867549597974095,1.875715879869168,0.6260745343421134,1.21144559059543,0.6271989957301441,0.6629566351743219,0.11691073857066502,0.026415179393885088,1.8884510038296107,0.15520546424239784,0.27416692758356764,6.740099058115139,0.5437708899081732
4,1,6,256,3,0.2629848413738315,1.0,1024,0.0004410703222331501,5.2077613850245635e-05,5,level_balanced,1095.0,0.995,True,"['wr', 'roles']",21,0.49129730827857504,0.37917704792659873,0.2886409514162363,0.13216067432245576,0.21641836954635266,0.0799161935745452,0.04577883343200207,0.15394402997838882,0.7554524137443764,0.5429609121612443,0.6373272869591893,0.34755906761437944,0.42323051813661455,0.6358974511252142,0.6429327897265499,0.41564791009499735,0.1746872387166622,0.42074974675574617,0.48738451522029635,1.5902472416939428,0.608873462193203,1.4157367748640561,0.6259359140009664,0.6678026430883046,0.11770769083578142,0.025335252812853634,1.9494982149875246,0.13832425771191265,0.2637642191923626,6.792126882902062,0.535449294508445
5,1,6,128,2,0.2982131244082795,2.0,1024,0.0004701761802934781,0.0002076799689083795,5,international_x2,547.5,0.995,True,['roles'],22,0.5048790829461554,0.43128120173617673,0.5112368283215075,0.21975959482981156,0.3992260819126591,0.11490737758244057,0.04577883343200207,0.15394402997838882,0.8563406253413031,0.5989905485599318,0.6993150233109238,0.4572750596941864,0.5517183036797458,0.6894011487983843,0.677661014599783,0.42820312674832706,0.16362881703304263,0.4916993011308525,0.49851339846171366,1.898192031156702,0.671672882995138,1.4799930191405684,0.6773525036566548,0.6912263990190989,0.11777517842117104,0.031549542770526504,2.823739151208317,0.22621477353139743,0.3349771967103292,7.287656582643532,0.6264834600160705
6,1,6,128,3,0.1558185943318302,1.0,1024,0.000744613255026836,0.00020257116686290863,5,international_x2,1825.0,0.995,True,['roles'],23,0.49683468384144736,0.38453208204592715,0.2617959217953495,0.14844805822644128,0.21803924815434594,0.0776998510783823,0.04577883343200207,0.15394402997838882,0.7611225372861563,0.5500116689595272,0.6386169542972083,0.34888313559984,0.46213206240734245,0.6400937399023917,0.6515370969679346,0.4167501483169572,0.17212797406077687,0.42658854102263505,0.48347803722952615,1.6472893487684241,0.6059421070752888,1.2016856265101326,0.6277571427685317,0.6636554138852347,0.11634561985715597,0.024361134954558557,1.7920415961887604,0.14208969349233505,0.26449479445299345,6.769604200657612,0.535278962479298
7,1,6,256,2,0.28174760516269326,1.0,1024,0.0005409531489400155,2.2015427487788795e-05,5,natural,1825.0,0.995,True,['wr'],24,0.4748307344977327,0.3849875550339063,0.26651299457080646,0.13906674752506798,0.21051026915603757,0.07853063418563545,0.04577883343200207,0.15394402997838885,0.7307869693334622,0.5261352413863251,0.643043670355658,0.34520964999212894,0.39889515417860805,0.6410383864516787,0.6428692718787463,0.4136326464569656,0.1720987862680379,0.4054804023172594,0.4871891370879507,1.6020741009607546,0.6175485627125401,1.1138790534168612,0.6281479624966144,0.6681578956963465,0.11620449665998772,0.025093098998172345,2.161753500362217,0.15077199483641987,0.2666388518087428,6.738570365513587,0.5361816664292862
8,1,6,128,3,0.21016746522136703,1.0,1024,0.0007592529087168425,0.00048194335454422235,5,international_x2,547.5,0.995,True,['wr'],25,0.49102141797087023,0.38793561418403677,0.28382944290944145,0.14580490904572752,0.20727714749907333,0.08204140077776967,0.04577883343200207,0.15394402997838885,0.7393977053915851,0.5280026597459676,0.6392533763214571,0.35079292226460645,0.4521343757772215,0.6376656992453894,0.6504485626307048,0.41671924989171183,0.16946665594405683,0.40989362338768554,0.4865180831078085,1.674420335010894,0.603567699408737,1.4374279367259335,0.6267603735321771,0.6611919175434284,0.11743086192446553,0.02436278790005109,1.9597415624318104,0.14142885884051523,0.26578903560873074,6.755256459282873,0.5359992939800456
9,1,6,128,3,0.20088785815915974,2.0,1024,0.00046233321147084045,1.469990310048979e-05,5,natural,1095.0,0.995,True,[],26,0.52784864614571,0.431705223750907,0.4720135556384908,0.2388387698829651,0.35299132655776727,0.11829331668416082,0.04577883343200207,0.15394402997838885,0.897247984053459,0.6782687278715607,0.722208132396364,0.4692452002751837,0.5286844548364481,0.6968072765845581,0.673588244243036,0.4312983419065395,0.1625818966437863,0.47686579209376384,0.4995421817906179,2.117419604499423,0.6756560982747277,1.4069103781987669,0.6941618022497664,0.6883987258381474,0.1171822147137104,0.030191120774354315,3.070763032954194,0.23305880168564905,0.3445971014006159,7.553811141543603,0.6467495470623601
10,1,6,256,2,0.15864165856787463,2.0,1024,0.0010233986784989083,0.0004869015914414293,5,level_balanced,1825.0,0.995,True,['wr'],27,0.45204401515716225,0.36704516497744016,0.18518181517770405,0.10744236270310382,0.14169613165222236,0.06790629613513646,0.04577883343200207,0.15394402997838885,0.7002088578668277,0.5070771299225398,0.6142251853164797,0.3170806728824289,0.3635925335468972,0.6122445839638054,0.635626263120727,0.4130956165504665,0.18013522509748478,0.38902184757399144,0.48275617058646797,1.4058873974675599,0.5838197293770007,0.28961720594799845,0.6156067273888386,0.647349907647831,0.11502330748195595,0.024028856223889047,1.653788472548289,0.12303200795438902,0.23396144458827606,6.393636323070368,0.48970689751109076
11,1,6,128,3,0.20395306941343783,2.0,1024,0.0004375395786202162,8.027392251890877e-05,5,natural,1825.0,0.995,True,"['wr', 'roles']",28,0.5255745682005805,0.43715362749122116,0.5925967307950124,0.222111297667269,0.39179075578310346,0.10862364061784346,0.04577883343200207,0.15394402997838882,0.9102854978773358,0.6517502282458355,0.7241325137187536,0.4426553852730269,0.5885280225854348,0.6973945200356053,0.6731019074339791,0.42841834017344554,0.15966296467091012,0.47197401405057876,0.4984912095621305,2.1755795981709953,0.7019118758570275,1.6368068674416247,0.6824528980722333,0.6917331564964976,0.11708825750736102,0.028921338449395616,2.754561737503881,0.2169278519220335,0.33832154762409394,7.42513451395865,0.6353269281824399
12,1,6,256,3,0.23986441150856533,0.5,1024,0.0009749608093649315,3.080192244447461e-05,5,international_x2,547.5,0.995,True,['wr'],29,0.4580105815283937,0.37008345948110577,0.171571655398187,0.10414318292822826,0.1287779503847835,0.06735514097850302,0.04577883343200207,0.15394402997838885,0.7151810345832734,0.5150854556321073,0.6248876739038416,0.3196931352829898,0.35847139049224275,0.6193316080687131,0.6405238254861818,0.415097443810458,0.17662456186356779,0.38177736781822336,0.4889100356213078,1.398224179964858,0.5865295046738729,0.6921757740584628,0.617409057859462,0.6579870121869101,0.11629113732691632,0.024082454174559682,1.7591450462474263,0.12478024091232101,0.2392692535674929,6.537394190737399,0.5007650211969888
13,1,6,128,3,0.10222246093701717,0.5,1024,0.000593096742998028,1.0487711547072747e-05,5,level_balanced,1095.0,0.995,True,['roles'],30,0.5097411019995888,0.39378899995576555,0.33028165951502225,0.16163214362104078,0.2535638280093193,0.09337818675030438,0.04577883343200207,0.15394402997838882,0.7769515956306738,0.5776475523622533,0.649936778806979,0.3949981260441177,0.5020774770772699,0.6430609489526177,0.652600247174926,0.4223827943320193,0.17030966272524892,0.43328961046148873,0.4860186327484725,1.9055529911945894,0.6113692467218328,1.5045197150947807,0.6302182466761472,0.6609844741019028,0.11734860690915981,0.02824537530699919,1.9243787820407328,0.1503808790477278,0.2790354613498399,6.842236975070376,0.552724940352655
14,1,6,256,3,0.11789671747458844,1.0,1024,0.0016679008779602752,7.525358106248146e-05,5,natural,547.5,0.995,True,['wr'],31,0.45402622497375783,0.36358878069732486,0.1629043045995797,0.09928023052631123,0.12533194339159945,0.06672926907361851,0.04577883343200207,0.15394402997838885,0.7118484753557919,0.5172502074518284,0.624895029130904,0.3092118737927191,0.3380248041467032,0.62110541403346,0.6371265551855713,0.4139102203896712,0.1759600955369559,0.3690692098113381,0.48114990837249566,1.1212419227836519,0.5846739183638071,0.21534113568681443,0.6206614491934141,0.6495000704957213,0.11514345452331663,0.024909684489466184,1.6998914254309354,0.12462820904179653,0.232324721286839,6.418754262097769,0.48907489177074975
15,1,6,256,3,0.19113431293700422,0.5,1024,0.0016665254205743022,0.0001230141585035525,5,international_x2,1095.0,0.995,True,[],32,0.46062904957127254,0.3660652290467822,0.16986997630789885,0.10242001187595114,0.12707104251243084,0.06642733372034827,0.04577883343200207,0.15394402997838885,0.7099284066190366,0.5107688448046719,0.6172189327787326,0.30676812249047186,0.3409260006950117,0.6216690647308706,0.6326836572713691,0.4157003970308459,0.1761290805780212,0.36798491048013177,0.48078152484764947,1.1654172778011969,0.5858520815496225,0.19841929846831757,0.6152342176343333,0.6544614110826429,0.11509545722434388,0.024641703922094936,1.6624976676571925,0.12227507383785055,0.23174179959484364,6.447281111911224,0.4896330440712926
