candidate_id,year,learning_rate,n_estimators,num_leaves,min_child_samples,reg_lambda,subsample,colsample_bytree,weighting,time_half_life_days,rate_cap_quantile,use_appearance,context_blocks,seed,deviance__tries,deviance__try_assists,deviance__conversion_goals,deviance__missed_conversion_goals,deviance__penalty_goals,deviance__missed_penalty_goals,deviance__drop_goals_converted,deviance__drop_goal_missed,deviance__defenders_beaten,deviance__clean_breaks,deviance__offload,deviance__runs,deviance__tackles,deviance__missed_tackles,deviance__dominant_tackles,deviance__tackle_turnover,deviance__tackle_try_saver,deviance__rucks_won,deviance__rucks_lost,deviance__passes,deviance__bad_passes,deviance__lineouts_won,deviance__turnovers_conceded,deviance__penalties_conceded,deviance__yellow_cards,deviance__red_cards,deviance__metres,minutes_scaled_mae,raw_deviance,observable_points_mae,objective
0,2022,0.045,220,23,45,2.0,0.9,0.85,natural,,0.995,True,[],17,0.46419078011409165,0.34261407920627956,0.17436865298561896,0.08908121923427346,0.1538799030123239,0.07516678974777811,0.060311180790353504,0.06928116160831961,0.7445274290136947,0.4844246795413626,0.6232680655294911,0.3291009695805193,0.33462533010637074,0.679581338270957,0.7872468072256392,1.9781869348827255,0.6045625877052446,0.47556645628531885,0.6027707908642396,0.42905901769197047,0.64788518244905,0.2204068905203404,0.6395698112477034,0.6586984508404978,0.13710023311896463,0.02587292885045682,1.2853926430339946,0.13056046945092784,0.28952606088531624,5.598506258730832,0.5134663112345494
0,2023,0.045,220,23,45,2.0,0.9,0.85,natural,,0.995,True,[],17,0.4372412361572738,0.33830604798134106,0.16276607013955954,0.09270181800774281,0.13700425865065233,0.08871009579579066,0.07382111578946575,0.12635822614148065,0.6972018010963138,0.49842055968714316,0.6259646406426234,0.30663267940952477,0.30702986516508285,0.6267110237525132,0.6222448046783118,0.4579939622039726,0.05068834954197339,0.37901742506880975,0.499454656712306,0.35236082888889103,0.5830893873628545,0.23265149999318904,0.6138482016683414,0.6547582975267863,0.09359464283898333,0.024262218420216274,1.3273915683201427,0.12503210906179424,0.22252706670510397,6.2106188531242985,0.4709518208300759
0,2024,0.045,220,23,45,2.0,0.9,0.85,natural,,0.995,True,[],17,0.4442855209801651,0.3600966623749517,0.14950243906704377,0.09323605031399862,0.11809078254781738,0.0675505662210608,0.04577883343200207,0.15394402997838885,0.6850571776676563,0.4971221559735303,0.6116703538762116,0.2865546621132452,0.30273653204211454,0.5992047377851079,0.6235207301158567,0.412286342934837,0.18068926855433007,0.34758025532635145,0.4788658363523552,0.3168059920676669,0.5721194611665451,0.17072360665409336,0.6097816707669473,0.6435043331203364,0.11571866480964155,0.02324543514536119,1.3148805142944837,0.1196216409251327,0.21779668818566217,6.154455121475586,0.4639748930446856
1,2022,0.045,220,23,45,4.0,0.9,0.85,level_balanced,,0.995,True,[],17,0.4641965923951647,0.34164181182191533,0.1664700494045122,0.08867571475243327,0.1520391709406271,0.07463970162163143,0.060311180790353504,0.06928116160831961,0.7450083879967411,0.4833951043279744,0.6215311149676269,0.33006729838740484,0.3340071610460328,0.6788098341356107,0.7767398429850203,1.9781869348827255,0.6045625877052446,0.47697434137074246,0.5977399198167715,0.42943888759669135,0.6439686392479563,0.22213544599645402,0.6369572838831639,0.6577553425811591,0.13532076462963383,0.02492524925540825,1.2844632766964699,0.13160986378861156,0.2895586525044384,5.592223186353918,0.5132475799585952
1,2023,0.045,220,23,45,4.0,0.9,0.85,level_balanced,,0.995,True,[],17,0.43577713176593474,0.33683185599263255,0.16072058139814369,0.09358984056792209,0.1364903613428472,0.08986148826163422,0.07382111578946575,0.12635822614148065,0.698505724743473,0.5059097114471587,0.6237644049526662,0.3051854003371966,0.3099041263923663,0.6256796813111968,0.6306709133634206,0.4727175365846809,0.04361938719198199,0.3794631005569344,0.5002724187039548,0.35122299727724643,0.583274404164748,0.23378130012287068,0.617488451669305,0.6578907909362511,0.09448505599101167,0.023445068117631192,1.3098710499965756,0.12507689564443697,0.22289256218528672,6.2445039710461,0.47267272102713076
1,2024,0.045,220,23,45,4.0,0.9,0.85,level_balanced,,0.995,True,[],17,0.4461758760212269,0.36223922053797486,0.1631935964678006,0.09297862371161561,0.12927090837755442,0.06988565018421551,0.04577883343200207,0.15394402997838885,0.682918167865152,0.49837127025252514,0.6107505783580801,0.2859216321888684,0.2997916085461115,0.6017388719311878,0.6324693239557828,0.41723342104643096,0.19893280372848457,0.35397844843984183,0.4820200711069746,0.31624563366965863,0.5745424843079805,0.16955030263685678,0.6086617905554218,0.6426003530317916,0.11726393522501784,0.023693350504930703,1.2860231283879597,0.12006057449028769,0.21898977131506353,6.1433744746715035,0.4647247503019237
2,2022,0.045,220,31,45,4.0,0.9,0.85,level_balanced,1095.0,0.995,True,[],17,0.47705063481922144,0.3472331551788909,0.16832411691020963,0.08729162654661506,0.15091113065658887,0.0736255703095205,0.060311180790353504,0.06928116160831961,0.7545644025580516,0.48332949967719974,0.6238720477939257,0.3289954999139102,0.33859599448693556,0.6910635174153404,0.7966884739813875,1.9781869348827255,0.6045625877052446,0.4761794318121232,0.6041671845667421,0.4310026064791986,0.646285751486027,0.22290340203866996,0.6449787381111445,0.6600135004320267,0.13630895521008962,0.025139932213620046,1.2535956654031652,0.13402287156916648,0.2926472831308636,5.624072322537117,0.5176101760323483
2,2023,0.045,220,31,45,4.0,0.9,0.85,level_balanced,1095.0,0.995,True,[],17,0.4403161282979973,0.33687870374571616,0.1660853696540529,0.09588592126785905,0.14278059641317828,0.09335405766032816,0.07382111578946575,0.12635822614148065,0.6990764479455233,0.508720411504897,0.6243713125253901,0.30616303676667905,0.3087039030580238,0.6269553429682961,0.6276305245134594,0.47238819297362267,0.04006077871607115,0.3778857800180691,0.5032079386841175,0.3526970992418729,0.5861006939624657,0.2322823215579435,0.621704069045784,0.6562028847147061,0.09429238251924225,0.02407682914938213,1.2911498463619786,0.12510003510020834,0.223593331932209,6.256660460498639,0.47385975035215455
2,2024,0.045,220,31,45,4.0,0.9,0.85,level_balanced,1095.0,0.995,True,[],17,0.4485386358239844,0.3638895150953413,0.16728556748102152,0.09650834391366642,0.13162583084932974,0.0697321997723818,0.04577883343200207,0.15394402997838885,0.6879407950816164,0.5033319236408779,0.6137627277939951,0.2888439501484201,0.30125430925510865,0.6065387109277229,0.631465153437261,0.41828288573689076,0.20413703151499538,0.35531486332387197,0.4835650817363276,0.31924656670200385,0.576228164923652,0.1683454675686073,0.6088615733435095,0.6453914598857007,0.11734902557708868,0.025158011889307563,1.2813984760069204,0.11978195833106467,0.21975253931677813,6.141013091475626,0.4653930629758032
3,2022,0.045,220,31,45,4.0,0.9,0.85,level_balanced,1095.0,0.995,True,['wr'],17,0.47720393121801546,0.343617296011845,0.16772292977981582,0.09016568829329469,0.15581498026107102,0.07602320172603018,0.060311180790353504,0.06928116160831961,0.7562102260976342,0.48407016673893044,0.6255757498410264,0.32701927512091733,0.32939741869907485,0.6899805516096352,0.8153168127428158,1.9781869348827255,0.6045625877052446,0.48220345897152816,0.6099482941653204,0.42958794152246194,0.649694148059485,0.21571209990463505,0.6465050905877326,0.6582375172921255,0.13774285224237712,0.02526485659374903,1.2872681388106528,0.13267912358602557,0.2924325446224679,5.594375637997871,0.5162075701423827
