Player,Nation,MP,POTM,T,As,C,Pen,DG,Ta,MC,DB,OF,50-22,LS,BS,KR,SW,CPen,YC,RC ,AP
D. Graham,Scotland,5,0,4,0,0,0,0,13,143,14,2,0,0,0,1,0,2,0,0,19.6
H. Arundell,England,3,0,4,0,0,0,0,8,141,3,2,0,0,0,1,0,3,1,1,19.0
S. Tuipulotu,Scotland,5,0,0,2,0,0,0,42,129,16,2,0,0,0,0,0,3,0,0,18.8
T. Roebuck,England,4,0,3,0,0,0,0,14,125,10,1,0,0,0,0,0,2,0,0,18.8
M. Ioane,Italy,5,0,0,0,0,0,0,29,247,11,11,0,0,0,0,0,2,0,0,18.6
F. Dingwall,England,3,0,1,3,0,0,0,20,47,0,4,0,0,0,1,0,2,0,0,18.0
J. Macleod,Wales,1,0,0,0,0,0,0,11,18,0,0,0,0,1,0,2,1,0,0,18.0
G. Pepper,England,5,0,0,0,0,0,0,49,62,7,2,0,1,1,0,11,6,0,0,17.8
G. Nicotera,Italy,5,0,1,0,0,0,0,64,24,0,1,0,0,0,0,14,2,1,0,17.8
T. Flament,France,4,0,0,0,0,0,0,33,40,1,3,0,2,0,0,14,1,0,0,17.8
M. Fagerson,Scotland,5,0,0,2,0,0,0,59,77,2,0,0,0,0,0,15,3,0,0,17.6
C. Murley,England,2,0,1,0,0,0,0,13,76,3,0,0,0,0,0,0,1,0,0,17.5
J. McCarthy,Ireland,5,0,0,0,0,0,0,50,43,2,1,0,2,0,0,17,3,0,0,17.2
N. Timoney,Ireland,5,0,1,0,0,0,0,33,103,8,0,0,0,1,0,9,0,0,0,17.0
J. Adams,Wales,5,0,2,0,0,0,0,25,158,9,5,0,0,0,0,0,1,0,0,17.0
J. Marchand,France,5,0,1,0,0,0,0,40,37,3,2,0,0,0,0,17,2,0,0,16.4
F. Smith,England,3,0,0,1,3,3,0,17,31,2,1,0,0,0,3,0,1,0,0,16.3
G. Brown,Scotland,4,0,0,0,0,0,0,35,20,1,0,0,1,1,0,15,1,0,0,16.0
E. James,Wales,5,0,0,0,0,0,0,44,213,6,1,0,0,1,0,0,3,0,0,16.0
M. Itoje,England,5,0,0,0,0,0,0,44,32,2,2,0,0,6,0,9,4,2,0,15.8
A. Coles,England,5,0,1,1,0,0,0,42,28,1,0,0,1,0,0,10,2,0,0,15.8
T. O'Toole,Ireland,4,0,0,0,0,0,0,44,4,0,1,0,0,1,0,13,1,0,0,15.8
T. Williams,Wales,5,0,0,4,0,0,0,30,50,4,3,0,1,0,7,0,1,1,0,15.6
N. Cannone,Italy,5,0,0,0,0,0,0,61,8,2,0,0,0,0,0,16,3,0,0,15.6
S. Cummings,Scotland,4,0,0,0,0,0,0,40,2,0,0,0,1,0,0,17,2,0,0,15.5
A. Zambonin,Italy,4,0,0,0,0,0,0,43,11,0,0,0,1,0,0,10,0,0,0,15.0
F. Cros,France,5,0,0,0,0,0,0,55,19,0,1,0,0,0,0,19,2,0,0,14.8
J. Gros,France,5,0,0,0,0,0,0,51,19,2,0,0,0,1,0,15,1,0,0,14.8
S. Ferrari,Italy,4,1,0,0,0,0,0,40,1,0,0,0,0,0,0,8,4,0,0,14.8
J. Hawkins,Wales,4,0,0,1,0,0,0,40,93,3,1,0,0,1,1,0,3,1,0,14.5
Y. Moefana,France,3,0,0,1,0,0,0,17,83,3,5,0,0,0,0,0,1,0,0,14.3
T. Furlong,Ireland,4,0,0,0,0,0,0,35,26,3,1,0,0,0,0,16,3,0,0,14.3
B. Carter,Wales,5,0,0,0,0,0,0,53,24,2,1,0,0,0,0,11,0,0,0,14.2
T. Matiu,France,1,0,0,0,0,0,0,10,8,0,1,0,0,0,0,3,1,0,0,14.0
P. Schoeman,Scotland,5,0,1,0,0,0,0,36,40,2,0,0,0,0,0,14,2,0,0,13.6
D. Fischetti,Italy,5,0,0,0,0,0,0,48,36,3,1,0,0,1,0,11,6,0,0,13.4
L. Marin,Italy,5,0,1,0,0,0,0,17,94,5,9,0,0,1,0,0,0,0,0,13.4
F. Steward,England,3,0,0,1,0,0,0,7,144,8,3,0,0,0,0,0,0,1,0,13.3
Z. Fagerson,Scotland,5,0,0,0,0,0,0,54,40,4,0,0,0,0,0,9,7,0,0,13.2
R. Kelleher,Ireland,5,0,0,0,0,0,0,38,45,4,1,0,0,1,0,8,0,0,0,13.0
H. Deaves,Wales,1,0,0,0,0,0,0,11,26,0,0,0,0,0,0,1,1,0,0,13.0
L. Nouchi,France,4,0,0,0,0,0,0,35,69,5,1,0,0,0,0,6,2,1,0,12.8
