fantasy_id,player_id,player_name,team,opponent,position,started,engine,expected_points,p10,median,p90,p_play,expected_minutes
165591,185478,Mateo Carreras,Argentina,England,Back-three,True,baseline,16.40325,5.0,15.0,31.0,,71.45185206989623
171003,118428,Pieter-Steph du Toit,South Africa,Wales,Back-row,True,baseline,16.3875,7.0,15.0,28.0,,67.53320617796044
145361,143496,Hugo Keenan,Ireland,New Zealand,Back-three,True,baseline,16.3845,5.0,15.0,30.0,,71.45185206989623
194110,207228,Rodrigo Isgro,Argentina,England,Back-three,True,baseline,16.3355,4.0,15.0,30.09999999999991,,71.45185206989623
190503,102654,Siya Kolisi,South Africa,Wales,Back-row,True,baseline,16.20075,7.0,15.0,27.0,,67.45145652337838
189982,169440,Santiago Carreras,Argentina,England,Back-three,True,baseline,16.1435,5.0,15.0,30.0,,71.45185206989623
106142,115452,Luke Cowan-Dickie,England,Argentina,Hooker,False,baseline,16.141,5.0,14.0,29.0,,22.484141615524187
134796,178806,Joe Heyes,England,Argentina,Prop,True,baseline,15.95625,5.0,14.0,29.0,,56.24019815907621
190669,204516,Kurt-Lee Arendse,South Africa,Wales,Back-three,True,baseline,15.93925,4.0,14.0,30.0,,71.29277661364327
223413,220194,Joe McCarthy,Ireland,New Zealand,Second-row,True,baseline,15.877,7.0,15.0,26.0,,65.3300822417832
180443,161226,Damian Willemse,South Africa,Wales,Back-three,True,baseline,15.732,4.0,14.0,29.09999999999991,,71.29277661364327
154414,185784,Kanji Shimokawa,Japan,France,Back-row,True,baseline,15.71525,7.0,15.0,25.0,,67.39215793433169
203381,143604,James Ryan,Ireland,New Zealand,Second-row,True,baseline,15.53725,7.0,14.0,26.0,,65.20224312832516
165007,136680,Ellis Genge,England,Argentina,Prop,True,baseline,15.47225,5.0,14.0,28.0,,56.30084579004958
239229,238278,Hugo Auradou,France,Japan,Second-row,True,baseline,15.4665,7.0,14.0,26.0,,65.0325000162479
154929,123516,Cheslin Kolbe,South Africa,Wales,Back-three,True,baseline,15.43175,4.0,14.0,29.0,,71.73838330130405
142873,157710,Ben Gunter,Japan,France,Back-row,True,baseline,15.42025,7.0,14.0,25.0,,67.39215793433169
123016,203070,Jac Morgan,Wales,South Africa,Back-row,True,baseline,15.38975,7.0,14.0,24.0,,66.85841483312787
235183,232110,Alex Mann,Wales,South Africa,Back-row,True,baseline,15.29275,7.0,14.0,25.0,,66.89999837597568
240455,263442,Dan Edwards,Wales,South Africa,Fly-half,True,baseline,15.134,6.0,14.0,26.0,,68.58330849337155
250067,354888,Fabien Brau-Boirie,France,Japan,Centre,True,baseline,15.0525,5.0,14.0,27.0,,71.95214717080361
241806,337308,Faustino Sanchez Valarolo,Argentina,England,Centre,True,baseline,14.9805,5.0,14.0,27.0,,71.95214717080361
119132,176652,Aaron Wainwright,Wales,South Africa,Back-row,True,baseline,14.918,7.0,14.0,24.0,,66.85841483312787
226185,214050,Kitione Salawa,Fiji,Scotland,Back-row,True,baseline,14.91675,7.0,14.0,24.0,,66.72164476632013
202570,124296,Tom Staniforth,France,Japan,Second-row,True,baseline,14.90025,6.0,14.0,25.0,,65.60978168929218
187820,180222,Rory Darge,Scotland,Fiji,Back-row,True,baseline,14.87,7.0,14.0,24.0,,67.43791287970353
214439,161946,Rob Valetini,Australia,Italy,Back-row,True,baseline,14.84425,6.0,14.0,24.0,,67.39215793433169
116876,206700,Fletcher Newell,New Zealand,Ireland,Prop,True,baseline,14.8305,6.0,13.0,27.0,,55.632815115985316
229826,227658,Jamie Osborne,Ireland,New Zealand,Centre,True,baseline,14.828,5.0,13.0,27.0,,71.95214717080361
222388,196152,Yoram Moefana,France,Japan,Centre,True,baseline,14.78275,5.0,13.0,27.0,,72.20647384624954
245055,207894,Elia Canakaivata,Fiji,Scotland,Back-row,True,baseline,14.7535,6.0,14.0,24.0,,66.73712684523605
159599,161856,Matt Fagerson,Scotland,Fiji,Back-row,True,baseline,14.71675,6.0,14.0,23.0,,67.43791287970353
197335,220140,Lorenzo Cannone,Italy,Australia,Back-row,True,baseline,14.71425,7.0,14.0,23.0,,66.76908914581064
