engine,fold,slate_id,rubric,tier,n,mae,spearman,allowed_events,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,tournament,fold_hemisphere
empirical_only,six_nations_2022,six_nations_2022_r1,ncr,stable,138,5.720349579547756,0.5604539308947101,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.5,0.7046153846153846,0.4742857142857143,0.7077464788732394,0.636,0.8122743682310469,0.8233333333333333,0.921818181818182,six_nations,north
empirical_only,six_nations_2022,six_nations_2022_r2,ncr,stable,138,5.805367036793703,0.4633806467085582,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.3,0.5758620689655173,0.36,0.6332179930795848,0.5375,0.7657864523536165,0.8191666666666667,0.8953586497890296,six_nations,north
empirical_only,six_nations_2022,six_nations_2022_r3,ncr,stable,138,5.784425647784507,0.5026032180836799,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.4,0.6246246246246246,0.44,0.7251184834123223,0.62,0.7575129533678756,0.8127272727272726,0.908466819221968,six_nations,north
empirical_only,six_nations_2022,six_nations_2022_r4,ncr,stable,138,5.894467085728678,0.5298465069938474,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.3,0.5727848101265823,0.376,0.5755517826825127,0.625,0.7289293849658315,0.81,0.8707482993197279,six_nations,north
empirical_only,six_nations_2022,six_nations_2022_r5,ncr,stable,138,5.272243050000638,0.5879418827496464,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.15,0.4598540145985401,0.3,0.6205607476635514,0.6371428571428571,0.7817969661610268,0.8371428571428571,0.9251934651762684,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r1,six_nations,stable,138,5.419948816772677,0.7147930265765642,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.2666666666666666,0.5676470588235294,0.5428571428571428,0.8099041533546326,0.7428571428571429,0.9125799573560768,0.87,0.9440184049079756,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r2,six_nations,stable,138,5.675849062961787,0.5855464453649196,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.375,0.6461538461538462,0.4,0.6792738275340393,0.6044444444444445,0.8127413127413128,0.8642857142857143,0.9279341111873712,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r3,six_nations,stable,138,6.019178361343591,0.6130598127856663,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3333333333333333,0.7362637362637363,0.504,0.7768595041322314,0.66,0.8328958880139983,0.848,0.931207004377736,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r4,six_nations,stable,138,5.7328811188621,0.6552830674054368,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.2,0.6751412429378532,0.52,0.7072808320950966,0.66,0.8272816486751717,0.85,0.8923829489867225,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r5,six_nations,stable,138,5.062496986311151,0.7198403870727846,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.2,0.6520376175548589,0.3771428571428571,0.678516228748068,0.7120000000000001,0.8354066985645933,0.856,0.9541409993155372,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r1,ncr,stable,138,5.605369013631316,0.5685723979594418,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.5,0.6646153846153846,0.4057142857142857,0.7235915492957746,0.6759999999999999,0.8447653429602888,0.8333333333333333,0.9227272727272728,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r2,ncr,stable,138,5.6698086896757856,0.4582292928158774,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.4,0.5896551724137931,0.36,0.6003460207612457,0.5375,0.7680826636050516,0.815,0.8962025316455696,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r3,ncr,stable,138,5.722890061692023,0.5098363525995795,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.3,0.6186186186186187,0.4933333333333333,0.6777251184834123,0.64,0.8,0.8227272727272726,0.9183829138062548,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r4,ncr,stable,138,5.673503827425117,0.5522711725693993,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.1,0.4810126582278481,0.496,0.6774193548387096,0.625,0.7312072892938497,0.83,0.8784013605442177,six_nations,north
empirical_empirical_t3_eb_off_ebk_head_only,six_nations_2022,six_nations_2022_r5,ncr,stable,138,5.219919343013754,0.5924732763902617,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.1,0.5,0.3,0.6504672897196262,0.677142857142857,0.7759626604434072,0.8371428571428571,0.9234737747205504,six_nations,north
naive_comparator,six_nations_2022,six_nations_2022_r1,six_nations,stable,138,5.005371452722273,0.6986171666731354,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.2666666666666666,0.538235294117647,0.44,0.6677316293929713,0.6428571428571429,0.8795309168443497,0.89,0.9593558282208589,six_nations,north
naive_comparator,six_nations_2022,six_nations_2022_r2,six_nations,stable,138,5.572561336215915,0.5833483531916218,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.375,0.676923076923077,0.44,0.6686838124054463,0.5955555555555556,0.7886100386100386,0.8728571428571429,0.929993136582018,six_nations,north
naive_comparator,six_nations_2022,six_nations_2022_r3,six_nations,stable,138,6.148937366555941,0.5804035028215745,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.2666666666666666,0.6675824175824175,0.4639999999999999,0.7520661157024794,0.7,0.8241469816272966,0.8220000000000001,0.9030644152595372,six_nations,north
naive_comparator,six_nations_2022,six_nations_2022_r4,six_nations,stable,138,5.6296202472938175,0.6302431573468079,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.0666666666666666,0.4858757062146893,0.44,0.6998514115898959,0.66,0.8194308145240432,0.86,0.920335429769392,six_nations,north
naive_comparator,six_nations_2022,six_nations_2022_r5,six_nations,stable,138,4.998366379484175,0.7161523927542913,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.1,0.6206896551724138,0.3771428571428571,0.6970633693972179,0.7120000000000001,0.8421052631578947,0.884,0.9616700889801506,six_nations,north
