engine,rubric,mae,spearman,mean_capture,slates,mae_raw,mae_calibrated,slates_cal
C10_calibrated_E4_wide_phase2,ncr,6.073742392759683,0.5434040666073786,0.729403447333638,98,6.073742392759683,6.066016090920565,98
C10_calibrated_E4_wide_phase2,six_nations,6.093216069721082,0.6310674814957922,0.7729885046115351,98,6.093216069721082,6.194414495040037,98
C5_phase1,ncr,6.066888229891093,0.5414602003748317,0.7278324298261041,98,6.066888229891093,6.067688336695508,98
C5_phase1,six_nations,6.177054294827156,0.6298744508557921,0.7708503044148897,98,6.177054294827156,6.193643352778285,98
C9_calibrated_E4_phase2,ncr,6.0737463857667775,0.5433990993355081,0.729403447333638,98,6.0737463857667775,6.065999550527227,98
C9_calibrated_E4_phase2,six_nations,6.099725807604147,0.6313644608671675,0.775520176545224,98,6.099725807604147,6.1906924525088245,98
E4_three_empirical_plus_naive_phase2,ncr,6.025358199384941,0.5433700109922927,0.7300323206633885,98,6.025358199384941,6.061121532327479,98
E4_three_empirical_plus_naive_phase2,six_nations,6.107520757277967,0.6339378161601927,0.7749806954706553,98,6.107520757277967,6.170683044643442,98
empirical_empirical_t3_eb_off_ebk_head_only,ncr,6.046748392665064,0.5367254744082237,0.7217875027976409,98,6.046748392665064,6.109575270849147,98
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,6.158732621163744,0.6278776831040166,0.7696340855169513,98,6.158732621163744,6.230867890816426,98
empirical_only,ncr,6.060776779251428,0.5343236521749665,0.7278989033897153,98,6.060776779251428,6.086879157183224,98
empirical_only,six_nations,6.197247421014288,0.6248282741215394,0.7724676582496297,98,6.197247421014288,6.226209472207647,98
naive_comparator,ncr,6.270092651491481,0.4890152871755959,0.667445722642961,98,6.270092651491481,6.392923631798899,98
naive_comparator,six_nations,6.356816103295187,0.591634799882952,0.7215141992088742,98,6.356816103295187,6.5215832206589495,98
p3_event_50_frozen,ncr,6.172659898758927,0.536743524884056,0.7187402829389493,98,6.172659898758927,6.130540622733281,98
p3_event_50_frozen,six_nations,6.276726340542144,0.6287024002122639,0.7689133769405287,98,6.276726340542144,6.2478051579056535,98
v4_only,ncr,6.517834669535727,0.5181812790702488,0.702274696883985,98,6.517834669535727,6.380598000888503,98
v4_only,six_nations,6.609263668221987,0.6127146400214802,0.748671338388235,98,6.609263668221987,6.506695063443419,98
