engine,rubric,tournament,fold,mae,spearman,mean_capture,slates
C10_calibrated_E4_wide_phase2,six_nations,summer_internationals,summer_internationals_2025,6.860054020557084,0.5485677926931904,0.7600821669747531,4
C5_phase1,ncr,autumn_internationals,autumn_internationals_2022,5.762351730400992,0.5100068839532637,0.6810173050936927,5
C5_phase1,ncr,autumn_internationals,autumn_internationals_2024,5.660935163522415,0.5603622904175918,0.7281417434046153,2
C5_phase1,ncr,autumn_internationals,autumn_internationals_2025,6.930028563657418,0.5106884014035069,0.7307791669902515,2
C5_phase1,ncr,british_irish_lions,british_irish_lions_2025,5.850429725670898,0.49845209906687316,0.7358069063529398,7
C5_phase1,ncr,nations_championship,nations_championship_2026,6.27825808382389,0.562421298509072,0.6960288680179748,2
C5_phase1,ncr,pacific_nations_cup,pacific_nations_cup_2024,7.163735428073885,0.5671728671638177,0.7741816007764775,4
C5_phase1,ncr,pacific_nations_cup,pacific_nations_cup_2025,7.422890303986107,0.5810650231349491,0.7561360118488796,4
C5_phase1,ncr,rugby_championship,rugby_championship_2022,5.29987520479605,0.5213210314695637,0.7431104933202793,6
C5_phase1,ncr,rugby_championship,rugby_championship_2023,5.672897981324854,0.5705607348241335,0.7860278438994124,3
C5_phase1,ncr,rugby_championship,rugby_championship_2024,5.662049545096089,0.6106281369920307,0.7832196030752737,6
C5_phase1,ncr,rugby_championship,rugby_championship_2025,6.338817510393986,0.49282853781442176,0.6885650146288839,6
C5_phase1,ncr,rugby_world_cup,rugby_world_cup_2023,6.2025655315656225,0.5583002215769615,0.7595959678082891,9
C5_phase1,ncr,six_nations,six_nations_2022,5.664450942221117,0.529564112763919,0.7526059177126195,5
C5_phase1,ncr,six_nations,six_nations_2023,5.48753990324052,0.6330183128875351,0.7739063403845388,5
C5_phase1,ncr,six_nations,six_nations_2024,5.414264806994111,0.5893414902724682,0.7491040342901485,5
C5_phase1,ncr,six_nations,six_nations_2025,6.129889581021905,0.5657140358097442,0.7584098826742458,5
C5_phase1,ncr,six_nations,six_nations_2026,6.2324534752168415,0.6031834643253933,0.8049987652281446,5
