fold,engine,relative_loss,family,population
summer_internationals_2022,p3_weighted_native,0.8524191454614554,summer_internationals,stable_events
summer_internationals_2023,empirical_event,0.9871289682454711,summer_internationals,stable_events
summer_internationals_2023,p3_robust_native,0.8935877411945566,summer_internationals,stable_events
summer_internationals_2023,p3_rolling_native,0.9030242135637813,summer_internationals,stable_events
summer_internationals_2023,p3_weighted_native,0.8955202580961629,summer_internationals,stable_events
summer_internationals_2024,empirical_event,0.9921265674418571,summer_internationals,stable_events
summer_internationals_2024,p3_robust_native,0.8993565502978939,summer_internationals,stable_events
summer_internationals_2024,p3_rolling_native,0.9030182573056673,summer_internationals,stable_events
summer_internationals_2024,p3_weighted_native,0.9067127161544206,summer_internationals,stable_events
summer_internationals_2025,empirical_event,0.9451448950050235,summer_internationals,stable_events
summer_internationals_2025,p3_robust_native,0.8997430742937083,summer_internationals,stable_events
summer_internationals_2025,p3_rolling_native,0.8962715371225036,summer_internationals,stable_events
summer_internationals_2025,p3_weighted_native,0.9020133436773681,summer_internationals,stable_events
