fantasy_id,fixture_id,player_id,player_name,team,opponent,position,started,engine,expected_points,p10,median,p90,p_play,expected_minutes,career_matches
204878,291585,150096,Edwill van der Merwe,South Africa,Scotland,Back-three,True,p3_event_50,19.33975,5.0,18.0,36.0,,74.1311456474427,0.0
229297,291587,216096,Ruben Love,New Zealand,Italy,Fly-half,True,p3_event_50,19.32925,6.0,18.0,34.0,,72.42951376806194,0.0
156918,291584,213192,Tommy Freeman,England,Fiji,Back-three,True,p3_event_50,19.2445,6.0,18.0,34.0,,74.44193306101303,0.0
229303,291587,197832,Sam Darry,New Zealand,Italy,Second-row,True,p3_event_50,19.231,8.0,18.0,32.0,,68.66858858741179,0.0
208272,291587,167196,Niccolo Cannone,Italy,New Zealand,Second-row,True,p3_event_50,19.211,10.0,18.0,30.0,,67.46742906941283,0.0
210801,291585,136596,Scott Cummings,Scotland,South Africa,Second-row,True,p3_event_50,19.01625,9.0,18.0,30.0,,68.18116394631093,0.0
154414,291588,185784,Kanji Shimokawa,Japan,Ireland,Back-row,True,p3_event_50,18.80675,9.0,17.0,30.0,,70.59243961880958,0.0
128750,291587,208140,Andrea Zambonin,Italy,New Zealand,Second-row,True,p3_event_50,18.78375,8.0,18.0,30.0,,68.05009390727469,0.0
165591,291583,185478,Mateo Carreras,Argentina,Wales,Back-three,True,p3_event_50,18.7655,6.0,17.0,33.0,,72.89059721555813,0.0
151974,291587,176550,Billy Proctor,New Zealand,Italy,Centre,True,p3_event_50,18.764,7.0,18.0,32.0,,74.13929344867825,0.0
212902,291583,178848,Dewi Lake,Wales,Argentina,Hooker,True,p3_event_50,18.75875,8.0,18.0,31.0,,57.434440819803314,0.0
147486,291588,117954,Tadhg Beirne,Ireland,Japan,Second-row,True,p3_event_50,18.699,8.0,18.0,31.0,,70.21255392797718,0.0
244532,291586,339450,Theo Attissogbe,France,Australia,Back-three,True,p3_event_50,18.627,7.0,17.0,32.0,,74.17931012891987,0.0
206415,291588,206910,Mamoru Harada,Japan,Ireland,Hooker,True,p3_event_50,18.51825,8.0,17.0,30.0,,58.270656719197504,0.0
177342,291585,156558,Johan Grobbelaar,South Africa,Scotland,Hooker,True,p3_event_50,18.44075,7.0,17.0,33.0,,57.67108701979953,0.0
237803,291584,243102,Kalaveti Ravouvou,Fiji,England,Back-three,True,p3_event_50,18.3145,5.0,17.0,33.0,,73.030481340206,0.0
243815,291586,340140,Marko Gazzotti,France,Australia,Back-row,True,p3_event_50,18.15275,8.0,17.0,29.0,,61.818676593583824,0.0
112684,291584,239076,Guy Pepper,England,Fiji,Back-row,True,p3_event_50,18.13325,8.0,17.0,30.0,,64.37294397786037,0.0
229857,291586,192618,Jeremy Williams,Australia,France,Second-row,True,p3_event_50,18.088,8.0,17.0,29.0,,69.42541506253805,0.0
169055,291587,149694,Jordie Barrett,New Zealand,Italy,Centre,True,p3_event_50,18.0745,7.0,17.0,31.0,,72.62809054690254,0.0
240799,291586,193422,Josh Canham,Australia,France,Second-row,True,p3_event_50,17.962,8.0,17.0,29.0,,66.74875128090909,0.0
105892,291583,129576,Adam Beard,Wales,Argentina,Second-row,True,p3_event_50,17.91175,8.0,17.0,29.0,,67.8755911574155,0.0
233237,291584,230898,Immanuel Feyi-Waboso,England,Fiji,Back-three,True,p3_event_50,17.87625,5.0,16.0,33.0,,72.51160184901659,0.0
104346,291584,206742,Tevita Ikanivere,Fiji,England,Hooker,True,p3_event_50,17.64225,6.0,16.0,31.0,,59.05463379901888,0.0
122020,291588,136848,Jacob Stockdale,Ireland,Japan,Back-three,True,p3_event_50,17.468,5.0,16.0,33.0,,72.9157031961013,0.0
185160,291587,112860,Codie Taylor,New Zealand,Italy,Hooker,True,p3_event_50,17.31975,6.0,16.0,30.0,,56.82247071505506,0.0
110910,291585,124026,Jesse Kriel,South Africa,Scotland,Centre,True,p3_event_50,17.2875,5.0,16.0,32.0,,74.89335975917714,0.0
128023,291584,162444,Salesi Rayasi,Fiji,England,Back-three,True,p3_event_50,17.16975,5.0,16.0,31.0,,72.01821326285956,0.0
144570,291588,fantasy_144570,Jimmy OBrien,Ireland,Japan,Back-three,True,p3_event_50,17.00625,5.0,15.0,32.0,,72.56476027966448,0.0
144635,291584,218742,Ollie Chessum,England,Fiji,Second-row,True,p3_event_50,16.9835,7.0,16.0,29.0,,69.0995444717544,0.0
110170,291585,171582,Kyle Steyn,Scotland,South Africa,Back-three,True,p3_event_50,16.91775,5.0,15.0,31.0,,73.09662022934177,0.0
113765,291584,124464,Peceli Yato,Fiji,England,Back-row,True,p3_event_50,16.90425,6.0,16.0,29.0,,63.557523385551875,0.0
142211,291584,213798,George Martin,England,Fiji,Second-row,True,p3_event_50,16.87425,7.0,16.0,28.0,,64.48956656196336,0.0
156422,291586,153054,Josh Nasser,Australia,France,Hooker,True,p3_event_50,16.71025,7.0,15.0,28.0,,52.70150118693778,0.0
172351,291588,129840,Stuart McCloskey,Ireland,Japan,Centre,True,p3_event_50,16.667,7.0,16.0,28.0,,71.3051670222286,0.0
196773,291585,130290,Pierre Schoeman,Scotland,South Africa,Prop,True,p3_event_50,16.6315,7.0,15.0,28.0,,56.48121730976981,0.0
101634,291587,fantasy_101634,Tupou Vaai,New Zealand,Italy,Second-row,True,p3_event_50,16.60125,7.0,15.0,28.0,,65.72941981472442,0.0
127095,291583,185502,Santiago Grondona,Argentina,Wales,Back-row,True,p3_event_50,16.46925,7.0,15.0,28.0,,66.46146144912029,0.0
182650,291584,184806,Caleb Muntz,Fiji,England,Fly-half,True,p3_event_50,16.46625,6.0,15.0,28.0,,71.3923174334927,0.0
189982,291583,169440,Santiago Carreras,Argentina,Wales,Back-three,True,p3_event_50,16.4575,4.0,15.0,31.0,,73.71571368609061,0.0
100043,291586,186162,Maxime Lucu,France,Australia,Scrum-half,True,p3_event_50,16.376,5.0,15.0,29.0,,69.32575862692775,0.0
198516,291584,128238,Levani Botia,Fiji,England,Back-row,True,p3_event_50,16.34625,6.0,15.0,28.0,,62.56922452457754,0.0
