id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,fantasy_id,expected_points,starter_exp,supersub_exp
209612,Ben Earl,England,1,Loose Forward,8.0,14.0,P,Fiji,False,55,3720,2.8,1.0,20.51,74.2,209612,21.707,21.707,10.8535
130487,Nacho Brex,Italy,1,Centre,6.0,4.2,P,New Zealand,False,53,0,-33.5,0.962,10.76,75.1,130487,10.83375,10.83375,5.416875
240799,Josh Canham,Australia,2,Lock,4.5,3.1,P,France,True,5,1759,-4.9,1.0,15.13,58.0,240799,17.962,17.962,8.981
206415,Mamoru Harada,Japan,2,Hooker,4.0,1.3,P,Ireland,True,13,1482,-19.8,0.998,19.86,60.6,206415,18.51825,18.51825,9.259125
169055,Jordie Barrett,New Zealand,2,Centre,8.0,11.9,P,Italy,True,62,3072,33.5,0.962,22.46,70.7,169055,18.0745,18.0745,9.03725
202239,Tomas Albornoz,Argentina,2,Fly Half,7.0,5.9,P,Wales,True,26,2612,20.2,1.0,28.33,64.7,202239,21.40775,21.40775,10.703875
142211,George Martin,England,1,Lock,4.0,6.4,P,Fiji,False,23,1448,2.8,1.0,14.66,68.9,142211,16.87425,16.87425,8.437125
219485,Ryan Lonergan,Australia,2,Scrum Half,4.0,1.6,P,France,True,8,2520,-4.9,1.0,11.36,46.2,219485,10.5835,10.5835,5.29175
229297,Ruben Love,New Zealand,2,Fly Half,5.0,17.3,P,Italy,True,6,2402,33.5,0.962,21.91,72.0,229297,19.32925,19.32925,9.664625
188103,Pita Gus Sowakula,Fiji,2,Loose Forward,4.0,1.8,B,England,True,6,0,-2.8,1.0,14.63,15.0,188103,7.69575,7.69575,23.08725
236602,Tommaso di Bartolomeo,Italy,1,Hooker,3.5,3.8,P,New Zealand,False,11,1743,-33.5,0.962,24.53,43.9,236602,21.2465,21.2465,10.62325
229557,Tommaso Menoncello,Italy,1,Centre,8.0,43.1,P,New Zealand,False,40,3214,-33.5,0.962,17.24,78.2,229557,16.15125,16.15125,8.075625
141860,Ewan Ashman,Scotland,1,Hooker,5.5,2.7,P,South Africa,False,37,2562,-25.7,1.0,26.09,56.3,141860,20.37225,20.37225,10.186125
173801,Alex Coles,England,1,Lock,5.0,4.2,P,Fiji,False,20,3120,2.8,1.0,16.94,72.2,173801,19.52925,19.52925,9.764625
156253,Paolo Garbisi,Italy,1,Fly Half,7.0,5.1,P,New Zealand,False,53,3199,-33.5,0.962,13.7,78.2,156253,13.62525,13.62525,6.812625
132322,Killian Tixeront,France,1,Loose Forward,4.0,0.2,B,Australia,False,5,3460,4.9,1.0,15.07,21.8,132322,6.94475,6.94475,20.83425
119132,Aaron Wainwright,Wales,1,Loose Forward,6.5,5.6,P,Argentina,False,46,2728,-20.2,1.0,18.38,67.1,119132,21.07725,21.07725,10.538625
222388,Yoram Moefana,France,1,Centre,6.5,11.0,P,Australia,False,40,4053,4.9,1.0,16.18,75.9,222388,13.994,13.994,6.997
196773,Pierre Schoeman,Scotland,1,Prop,6.0,5.7,P,South Africa,False,55,3017,-25.7,1.0,19.15,59.6,196773,16.6315,16.6315,8.31575
210801,Scott Cummings,Scotland,1,Lock,6.0,3.1,P,South Africa,False,42,2903,-25.7,1.0,13.63,71.6,210801,19.01625,19.01625,9.508125
100043,Maxime Lucu,France,1,Scrum Half,6.5,16.6,P,Australia,False,34,4035,4.9,1.0,17.67,68.1,100043,16.376,16.376,8.188
229303,Sam Darry,New Zealand,2,Lock,5.5,2.9,P,Italy,True,10,2202,33.5,0.962,15.47,68.8,229303,19.231,19.231,9.6155
133163,Tomos Williams,Wales,1,Scrum Half,5.5,4.5,P,Argentina,False,55,2970,-20.2,1.0,12.67,71.0,133163,11.8385,11.8385,5.91925
159599,Matt Fagerson,Scotland,1,Loose Forward,5.5,2.5,P,South Africa,False,59,3190,-25.7,1.0,19.81,75.2,159599,22.61575,22.61575,11.307875
119955,Rhys Carre,Wales,1,Prop,4.5,28.7,P,Argentina,False,20,2337,-20.2,1.0,17.79,47.1,119955,14.474,14.474,7.237
210952,Tate McDermott,Australia,2,Scrum Half,4.0,0.9,B,France,True,51,1665,-4.9,1.0,17.77,30.3,210952,6.0415,6.0415,18.1245
202316,Frank Lomani,Fiji,2,Scrum Half,3.5,2.2,B,England,True,30,1315,-2.8,1.0,15.53,32.7,202316,5.958,5.958,17.874000000000002
196669,Zander Fagerson,Scotland,1,Prop,6.5,1.4,P,South Africa,False,52,2641,-25.7,1.0,16.24,62.0,196669,14.0445,14.0445,7.02225
113000,Jack Dempsey,Scotland,1,Loose Forward,6.5,5.0,P,South Africa,False,34,2639,-25.7,1.0,20.62,69.4,113000,21.753,21.753,10.8765
103821,Eroni Mawi,Fiji,2,Prop,5.0,3.3,P,England,True,38,2010,-2.8,1.0,12.57,56.4,103821,12.031,12.031,6.0155
182760,Mayco Vivas,Argentina,2,Prop,4.5,3.4,B,Wales,True,33,893,20.2,1.0,10.08,21.5,182760,4.71125,4.71125,14.13375
240478,Gregor Hiddleston,Scotland,1,Hooker,4.0,0.2,B,South Africa,False,1,1610,-25.7,1.0,28.15,20.0,240478,10.40275,10.40275,31.20825
182170,Ryan Elias,Wales,1,Hooker,4.0,0.2,B,Argentina,False,35,1900,-20.2,1.0,17.43,25.6,182170,8.00775,8.00775,24.023249999999997
246851,Toms Rapetti,Argentina,2,Prop,3.0,0.2,P,Wales,True,4,0,20.2,1.0,15.97,72.0,246851,11.18,11.18,5.59
233237,Immanuel Feyi-Waboso,England,1,Back Three,6.5,7.0,P,Fiji,False,15,2449,2.8,1.0,21.72,74.6,233237,17.87625,17.87625,8.938125
190708,Harry Wilson,Australia,2,Loose Forward,6.0,6.4,P,France,True,37,512,-4.9,1.0,17.15,76.1,190708,20.7035,20.7035,10.35175
244767,Oscar Jegou,France,1,Loose Forward,6.0,4.5,P,Australia,False,14,2951,4.9,1.0,16.97,76.0,244767,22.51525,22.51525,11.257625
165591,Mateo Carreras,Argentina,2,Back Three,5.0,5.9,P,Wales,True,34,2828,20.2,1.0,23.64,77.1,165591,18.7655,18.7655,9.38275
246824,Zac Porthen,South Africa,2,Prop,3.0,0.7,B,Scotland,True,4,0,25.7,1.0,13.72,30.6,246824,7.08,7.08,21.240000000000002
102468,Ethan de Groot,New Zealand,2,Prop,7.0,11.9,P,Italy,True,41,2056,33.5,0.962,12.28,46.6,102468,12.595,12.595,6.2975
144635,Ollie Chessum,England,1,Lock,6.5,29.4,P,Fiji,False,42,0,2.8,1.0,12.9,70.7,144635,16.9835,16.9835,8.49175
197546,Joe Hawkins,Wales,1,Centre,6.0,0.3,P,Argentina,False,12,2258,-20.2,1.0,9.43,80.0,197546,8.96875,8.96875,4.484375
128750,Andrea Zambonin,Italy,1,Lock,5.5,13.0,P,New Zealand,False,19,3021,-33.5,0.962,13.84,63.9,128750,18.78375,18.78375,9.391875
152990,Temo Mayanavanua,Fiji,2,Lock,5.0,2.4,B,England,True,35,1968,-2.8,1.0,11.02,20.4,152990,5.56925,5.56925,16.70775
222920,Gregor Brown,Scotland,1,Lock,4.5,0.5,P,South Africa,False,19,1631,-25.7,1.0,19.65,58.5,222920,19.885,19.885,9.9425
171003,Pieter-Steph du Toit,South Africa,2,Loose Forward,8.5,16.8,P,Scotland,True,39,1261,25.7,1.0,17.39,78.1,171003,21.5065,21.5065,10.75325
110910,Jesse Kriel,South Africa,2,Centre,7.0,7.8,P,Scotland,True,44,2850,25.7,1.0,18.62,79.3,110910,17.2875,17.2875,8.64375
222623,Tom Curry,England,1,Loose Forward,6.0,5.8,B,Fiji,False,51,2044,2.8,1.0,17.38,30.3,222623,8.16625,8.16625,24.49875
