Player,Nation,Position,MP,POTM,MC,DB,OF,T,As,C,Pen,DG,SW,50-22,Ta,BS,LS,CPen,YC,RC ,AP
B. Curry,England,Fly-half,5,1,76,4,0,0,1,0,0,0,6,0,48,5,0,2,0,0,22.0
O. Sleightholme,England,Back Row,3,0,110,10,1,2,0,0,0,0,0,0,9,1,0,1,0,0,22.0
G. Fickou,France,Back Row,1,0,18,2,0,0,2,0,0,0,0,0,10,0,0,1,0,0,22.0
M. Llewellyn,Wales,Back Row,3,0,224,8,2,1,0,0,0,0,0,0,17,0,0,2,0,0,22.0
S. Negri,Italy,Fly-half,5,0,175,1,0,0,0,0,0,0,10,0,75,0,1,3,0,0,21.2
J. Dempsey,Scotland,Fly-half,4,0,271,6,1,0,0,0,0,0,9,0,31,1,0,1,0,0,20.8
C. Cunningham-South,England,Fly-half,4,0,99,3,0,2,0,0,0,0,7,0,24,1,1,4,0,0,20.8
H. Keenan,Ireland,Back Row,4,0,299,9,2,1,1,0,0,0,0,1,11,0,0,0,0,0,20.8
M. Itoje,England,Wing,5,0,87,2,0,1,0,0,0,0,17,0,53,3,0,8,0,0,20.4
J. Gibson-Park,Ireland,Scrum-half,5,2,71,2,2,1,2,0,0,0,0,0,34,1,0,0,0,0,19.8
O. Lawrence,England,Back Row,4,0,126,9,4,1,0,0,0,0,0,0,29,1,0,1,0,0,19.8
J. van der Flier,Ireland,Fly-half,5,0,124,4,1,0,0,0,0,0,16,0,61,0,0,3,0,0,19.0
F. Cros,France,Fly-half,5,0,60,1,2,0,0,0,0,0,15,0,70,1,0,2,1,0,18.8
P. Barassi,France,Back Row,4,0,209,4,4,1,0,0,0,0,0,0,29,0,0,0,0,0,18.8
P. Boudehent,France,Fly-half,5,0,129,1,0,2,0,0,0,0,11,0,43,0,0,5,0,0,18.4
R. Ntamack,France,Number 8,3,0,170,5,2,0,2,0,0,0,0,0,28,0,0,2,0,1,18.3
M. Zuliani,Italy,Fly-half,5,0,113,13,1,0,0,0,0,0,11,0,28,3,0,2,0,0,17.8
J. Ritchie,Scotland,Fly-half,5,0,101,4,2,0,0,0,0,0,9,0,36,7,0,6,1,0,17.8
J. Brex,Italy,Back Row,5,0,244,1,0,2,1,0,0,0,0,0,41,0,0,1,0,0,17.6
T. Reffell,Wales,Fly-half,4,0,61,2,0,0,0,0,0,0,9,0,48,1,0,0,0,0,17.5
A. Capuozzo,Italy,Back Row,5,0,199,11,1,2,1,0,0,0,0,0,24,0,0,3,0,0,17.4
M. Hansen,Ireland,Back Row,3,0,154,9,1,0,1,0,0,0,0,0,17,0,0,2,0,0,17.3
F. Russell,Scotland,Number 8,5,0,141,7,2,0,3,9,3,0,0,0,17,0,0,1,0,0,17.2
G. Martin,England,Wing,2,0,29,0,0,0,0,0,0,0,7,0,26,0,0,1,0,0,17.0
D. Fischetti,Italy,Centre,5,0,91,4,1,0,0,0,0,0,12,0,53,1,0,4,0,0,16.6
W. Rowlands,Wales,Wing,5,0,133,4,0,0,0,0,0,0,14,0,45,0,1,2,0,0,16.6
J. Marchand,France,Centre,5,0,90,3,2,1,0,0,0,0,9,0,25,2,1,0,0,0,16.4
Z. Fagerson,Scotland,Centre,5,0,252,2,1,0,0,0,0,0,14,0,43,0,0,4,0,0,16.4
M. Guillard,France,Wing,5,0,92,3,1,1,0,0,0,0,3,0,34,3,0,0,0,0,16.4
J. Roberts,Wales,Back Row,3,0,216,6,0,0,0,0,0,0,0,0,17,0,0,0,0,0,16.3
O. Chessum,England,Wing,5,1,120,5,1,0,0,0,0,0,6,0,27,0,2,3,0,0,16.2
F. Ruzza,Italy,Wing,5,0,83,3,0,0,1,0,0,0,17,0,51,0,0,3,0,0,16.2
E. Mee,Wales,Back Row,3,0,221,7,1,0,0,0,0,0,0,0,14,0,0,2,0,0,16.0
D. Lake,Wales,Centre,2,0,66,2,0,0,0,0,0,0,3,0,19,0,0,0,0,0,16.0
A. Porter,Ireland,Centre,5,0,107,2,2,0,0,0,0,0,14,0,52,0,0,3,0,0,15.8
R. Henshaw,Ireland,Back Row,5,0,192,3,1,0,1,0,0,0,0,0,41,2,0,1,0,0,15.8
M. Lamaro,Italy,Fly-half,5,0,80,0,0,0,0,0,0,0,14,0,60,1,0,1,1,0,15.6
R. Kelleher,Ireland,Centre,2,0,49,5,0,0,0,0,0,0,5,0,12,0,0,0,0,0,15.5
B. White,Scotland,Scrum-half,5,0,67,4,3,3,1,0,0,0,0,0,26,0,0,1,0,0,15.4
E. Daly,England,Back Row,4,0,190,7,2,1,1,0,0,0,0,0,14,0,0,2,0,0,15.3
J. Gray,Scotland,Wing,4,0,68,1,8,0,0,0,0,0,4,0,28,0,1,1,0,0,15.3
N. Cannone,Italy,Wing,5,0,63,1,0,0,0,0,0,0,14,0,56,0,0,2,0,0,15.0
T. Flament,France,Wing,3,0,72,0,0,0,0,0,0,0,7,0,35,0,0,2,0,0,15.0
J. Botham,Wales,Fly-half,2,0,40,0,0,0,0,0,0,0,7,0,16,1,0,1,0,0,15.0
W. Stuart,England,Centre,5,0,86,3,1,1,0,0,0,0,12,0,32,0,0,1,0,0,14.6
E. Genge,England,Centre,5,0,134,5,2,0,0,0,0,0,13,0,39,0,0,6,0,0,14.4
D. Cherry,Scotland,Centre,5,0,126,0,1,0,1,0,0,0,9,0,35,3,0,3,0,0,14.4
P. O'Mahony,Ireland,Fly-half,4,0,114,1,0,0,0,0,0,0,8,0,32,1,0,0,0,0,14.3
B. Aki,Ireland,Back Row,5,0,165,7,1,1,0,0,0,0,0,0,30,1,0,3,0,0,14.2
M. Ioane,Italy,Back Row,4,0,119,6,0,1,1,0,0,0,0,0,19,0,0,1,0,0,13.8
J. Evans,Wales,Number 8,3,0,68,6,2,0,2,4,0,0,0,0,5,0,0,1,0,0,13.7
M. Lucu,France,Scrum-half,3,0,39,3,2,0,1,1,0,0,0,0,22,0,0,0,0,0,13.7
G. Lucchesi,Italy,Centre,5,0,69,5,0,0,0,0,0,0,11,0,44,0,0,1,0,0,13.6
