player,slug,competition,season,games,minutes,tries,try_assists,points,carries,metres,av_gain,post_contact_metres,defenders_beaten,clean_breaks,offloads,handling_errors,passes,bad_passes,tackles,missed_tackles,tackles_success_pct,dominant_tackles,turnovers_won,turnovers_conceded,kicks_from_hand,penalties_conceded,yellow_cards,red_cards
T. Beirne,tadgh-beirne,Six Nations,2025,5,391,1,0,5,22.0,35.0,1.6,35.0,2.0,0,0,0,39.0,5,59.0,4.0,0.86,1,2,1,0,7,0,0
T. Beirne,tadgh-beirne,Six Nations,2024,4,310,2,0,10,36.0,66.0,1.82,88.0,6.0,4,1,3,27.0,3,42.0,1.0,0.93,2,2,4,0,2,1,0
T. Clarkson,tom-clarkson,Six Nations,2026,3,120,0,0,0,7.0,4.0,0.64,17.0,1.0,0,0,2,4.0,0,18.0,,0.86,4,0,2,1,3,0,0
T. Clarkson,tom-clarkson,Six Nations,2025,4,112,0,0,0,8.0,7.0,0.84,10.0,1.0,0,0,0,2.0,0,10.0,2.0,0.67,0,0,0,0,3,0,0
T. Curry,tom-curry,Six Nations,2026,3,116,0,0,0,7.0,7.0,1.06,9.0,,0,0,1,11.0,0,16.0,3.0,0.73,2,0,1,0,2,1,0
T. Curry,tom-curry,Six Nations,2025,5,343,2,1,10,25.0,70.0,2.81,66.0,7.0,0,2,4,22.0,3,45.0,5.0,0.87,6,6,5,2,0,0,0
T. Dan,theo-dan,Six Nations,2025,1,25,0,1,0,5.0,4.0,0.86,10.0,2.0,0,0,0,2.0,0,3.0,,1.0,0,0,0,0,0,0,0
T. Dan,theo-dan,Six Nations,2024,5,85,0,0,0,8.0,33.0,4.13,30.0,3.0,0,0,0,1.0,0,22.0,5.0,0.81,1,0,0,0,0,0,0
T. Davison,trevor-davison,Six Nations,2026,5,68,0,0,0,5.0,10.0,1.92,9.0,,0,0,0,1.0,1,10.0,2.0,0.83,2,1,0,0,0,0,0
T. Faletau,taulupe-faletau,Six Nations,2025,4,292,0,0,0,50.0,207.0,4.15,111.0,7.0,0,2,1,31.0,5,46.0,5.0,0.82,0,1,2,0,5,0,0
T. Farrell,thomas-farrell,Six Nations,2026,1,11,0,0,0,1.0,2.0,1.8,3.0,,0,0,1,,0,2.0,,1.0,0,0,1,0,0,0,0
T. Flament,thibaud-flament,Six Nations,2026,4,224,0,0,0,26.0,35.0,1.35,56.0,,0,3,1,19.0,0,31.0,2.0,0.89,2,0,1,0,1,0,0
T. Flament,thibaud-flament,Six Nations,2025,3,215,0,0,0,22.0,32.0,1.47,32.0,,0,0,1,11.0,0,35.0,4.0,0.88,3,1,2,0,2,0,0
T. Flament,thibaud-flament,Six Nations,2024,2,160,0,0,0,14.0,13.0,0.92,14.0,,0,2,0,13.0,1,9.0,2.0,0.82,2,0,0,0,0,0,0
T. Francis,tomas-francis,Six Nations,2026,5,224,0,0,0,5.0,9.0,1.8,4.0,,1,1,1,7.0,0,37.0,2.0,0.88,0,0,1,0,4,0,0
T. Freeman,tommy-freeman,Six Nations,2026,5,400,3,1,15,48.0,279.0,5.81,165.0,16.0,10,3,5,17.0,3,25.0,8.0,0.61,1,0,6,2,2,0,0
T. Freeman,tommy-freeman,Six Nations,2025,5,369,5,1,25,38.0,221.0,5.82,146.0,15.0,8,7,4,21.0,3,29.0,4.0,0.63,2,2,6,5,1,0,0
T. Freeman,tommy-freeman,Six Nations,2024,5,398,1,1,5,33.0,235.0,7.13,129.0,13.0,7,3,5,14.0,3,20.0,7.0,0.59,6,1,8,3,1,0,0
T. Furlong,tadhg-furlong,Six Nations,2026,4,211,0,0,0,22.0,29.0,1.3,26.0,3.0,1,1,2,10.0,1,35.0,4.0,0.9,2,0,2,0,4,0,0
T. Furlong,tadhg-furlong,Six Nations,2025,1,34,0,0,0,1.0,0.0,0.0,0.0,,0,0,0,1.0,0,5.0,,0.83,0,0,0,0,0,0,0
T. Furlong,tadhg-furlong,Six Nations,2024,4,229,0,0,0,15.0,15.0,1.0,22.0,1.0,0,1,2,12.0,1,26.0,1.0,0.93,3,0,2,0,3,0,0
T. Jordan,tom-jordan,Six Nations,2026,5,196,1,0,5,21.0,65.0,3.09,56.0,4.0,2,1,0,14.0,1,3.0,4.0,0.38,1,0,1,0,0,0,0
