competition,group_id,n,mae,bias,spearman
ncr,ncr-2026-gw1,263,6.338403041825095,-5.083650190114068,0.8586886494767062
ncr,ncr-2026-gw2,242,4.37603305785124,-3.5082644628099175,0.9189957598919276
six_nations,6n-2025-r1,131,3.5343511450381677,-2.9083969465648853,0.9285303991024733
six_nations,6n-2025-r2,134,3.08955223880597,-2.5223880597014925,0.8905426742912189
six_nations,6n-2025-r3,136,3.801470588235294,-3.213235294117647,0.8990829536095815
six_nations,6n-2025-r4,137,4.693430656934306,-3.9197080291970803,0.9022985930393664
six_nations,6n-2025-r5,136,4.264705882352941,-3.485294117647059,0.8830437944984102
six_nations,6n-2026-r1,131,3.2900763358778624,-1.8549618320610688,0.9026258854994553
six_nations,6n-2026-r2,131,3.0839694656488548,-1.6793893129770991,0.9495306517059713
six_nations,6n-2026-r3,136,3.389705882352941,-2.1838235294117645,0.8896982163748784
six_nations,6n-2026-r4,135,3.4592592592592593,-2.0814814814814815,0.9216694482733799
six_nations,6n-2026-r5,135,4.237037037037037,-3.1259259259259258,0.8855346955146951
