competition,group_id,key_fixture,key_player,player_name,store_matched,expected_scoring_events,available_scoring_events,row_coverage,missing_scoring_events
ncr,ncr-2026-gw1,ncr-gw1,140494,Jiuta Wainiqolo,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,229307,Cam Roigard,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,146480,Sione Tuipulotu,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,121353,Malcolm Marx,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,123016,Jac Morgan,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,244532,Theo Attissogbe,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,180778,Kyle Rowe,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,250067,Fabien Brau-Boirie,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,190344,Matthieu Jalibert,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,240624,Selestino Ravutaumada,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,162344,Julian Montoya,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,180443,Damian Willemse,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
ncr,ncr-2026-gw1,ncr-gw1,142873,Ben Gunter,True,23,19,0.8260869565217391,interceptions|lineout_steals|potm|scrums_won
