slate,competition,season,candidate,comparator,unknown_selected,delta_total,delta_xv,delta_captain_extra,delta_super_sub,delta_mae
six_nations_2026_r1,six_nations,2026,equal_incumbent,incumbent,0,-39.0,-21.0,0.0,-18.0,0.07255690374798807
six_nations_2026_r2,six_nations,2026,equal_incumbent,incumbent,0,45.0,45.0,0.0,0.0,-0.20661265843362742
six_nations_2026_r3,six_nations,2026,equal_incumbent,incumbent,0,2.0,2.0,0.0,0.0,-0.12098728088105126
six_nations_2026_r4,six_nations,2026,equal_incumbent,incumbent,0,76.0,76.0,0.0,0.0,-0.13903789646967102
six_nations_2026_r5,six_nations,2026,equal_incumbent,incumbent,0,-54.0,-15.0,0.0,-39.0,-0.12286040499136508
ncr_2026_r1,ncr,2026,equal_incumbent,incumbent,0,-20.0,-8.0,0.0,-12.0,-0.049692709034838245
ncr_2026_r2,ncr,2026,equal_incumbent,incumbent,0,40.0,40.0,0.0,0.0,-0.17594509180353057
ncr_2026_r3,ncr,2026,equal_incumbent,incumbent,0,-22.0,-22.0,0.0,0.0,-0.113499120843219
six_nations_2025_r1,six_nations,2025,regularised_incumbent,incumbent,0,21.0,-12.0,0.0,33.0,-0.7313201901146522
six_nations_2025_r2,six_nations,2025,regularised_incumbent,incumbent,0,11.0,-19.0,0.0,30.0,-0.03451109410880271
six_nations_2025_r3,six_nations,2025,regularised_incumbent,incumbent,0,-9.0,15.0,0.0,-24.0,0.16266602872000124
six_nations_2025_r4,six_nations,2025,regularised_incumbent,incumbent,0,72.0,-7.0,-8.0,87.0,-0.2788636549940531
six_nations_2025_r5,six_nations,2025,regularised_incumbent,incumbent,0,78.0,15.0,0.0,63.0,0.03609423947331969
six_nations_2026_r1,six_nations,2026,regularised_incumbent,incumbent,0,-55.0,-21.0,-16.0,-18.0,0.235582968533107
six_nations_2026_r2,six_nations,2026,regularised_incumbent,incumbent,0,30.0,45.0,-15.0,0.0,-0.22852777465922536
six_nations_2026_r3,six_nations,2026,regularised_incumbent,incumbent,0,-10.0,-10.0,0.0,0.0,-0.14502509612784742
six_nations_2026_r4,six_nations,2026,regularised_incumbent,incumbent,0,12.0,43.0,-31.0,0.0,-0.18574283322507057
six_nations_2026_r5,six_nations,2026,regularised_incumbent,incumbent,0,-13.0,12.0,14.0,-39.0,-0.11403278963605601
ncr_2026_r1,ncr,2026,regularised_incumbent,incumbent,0,-20.0,-8.0,0.0,-12.0,-0.049692709034838245
ncr_2026_r2,ncr,2026,regularised_incumbent,incumbent,0,40.0,40.0,0.0,0.0,-0.21926265900757436
ncr_2026_r3,ncr,2026,regularised_incumbent,incumbent,0,-1.0,-13.0,0.0,12.0,-0.14138963363787127
six_nations_2025_r1,six_nations,2025,equal_empirical_baseline,empirical_baseline,0,63.0,3.0,0.0,60.0,0.0055423543020536314
six_nations_2025_r2,six_nations,2025,equal_empirical_baseline,empirical_baseline,0,18.0,18.0,0.0,0.0,-0.122218414556996
six_nations_2025_r3,six_nations,2025,equal_empirical_baseline,empirical_baseline,0,1.0,31.0,0.0,-30.0,0.0779458954442358
six_nations_2025_r4,six_nations,2025,equal_empirical_baseline,empirical_baseline,0,0.0,0.0,0.0,0.0,-0.03124211769647367
six_nations_2025_r5,six_nations,2025,equal_empirical_baseline,empirical_baseline,0,9.0,9.0,0.0,0.0,-0.03967114370559521
six_nations_2026_r1,six_nations,2026,equal_empirical_baseline,empirical_baseline,0,-16.0,0.0,-16.0,0.0,-0.25205394062551
six_nations_2026_r2,six_nations,2026,equal_empirical_baseline,empirical_baseline,0,-15.0,0.0,-15.0,0.0,0.025027046155129185
six_nations_2026_r3,six_nations,2026,equal_empirical_baseline,empirical_baseline,0,23.0,23.0,0.0,0.0,-0.11999530593087115
six_nations_2026_r4,six_nations,2026,equal_empirical_baseline,empirical_baseline,0,-52.0,-21.0,-31.0,0.0,-0.07073970550459752
six_nations_2026_r5,six_nations,2026,equal_empirical_baseline,empirical_baseline,0,0.0,0.0,0.0,0.0,-0.11366721111828237
ncr_2026_r1,ncr,2026,equal_empirical_baseline,empirical_baseline,0,-20.0,-8.0,0.0,-12.0,-0.049692709034838245
