config,mae,spearman,top_10_capture,top_25_capture,top_50_capture,top_100_capture,thin_mae,thin_n
A,7.255498825222281,0.6419075844491552,0.6538456104237204,0.7241863793626022,0.8374419436999269,0.9503517042284594,5.940448715867467,13.8
B,7.271577509736808,0.6528658665254129,0.6931522497779385,0.7484123491092999,0.845469490062122,0.9501095993023687,5.913770736555112,13.8
baseline(frozen),7.267264252075043,0.6473347824929515,0.6622013724370703,0.7571162292600548,0.8443033063157911,0.9474108686389642,5.973756578837828,13.8
