segment,n,official_mae,model_mae_vs_observable,rubric_gap_mae,appearance_share,minutes_share,rate_share
all,505,8.863812945800708,7.578213265525962,5.398019801980198,0.0027325325472187753,0.30977501059492313,0.8533582889502505
gw1,263,9.518132078190497,7.592219748492455,6.338403041825095,0.00523719839826363,0.2957063473392809,0.8670975870980252
gw2,242,8.152714053988666,7.5629913439549386,4.37603305785124,0.0,0.32512359700451,0.8383690322599515
thin_intl(<5),56,7.504127623039346,6.106197556198546,4.053571428571429,0.0,0.3840750032167874,0.9538444963572459
rich_intl(>=5),449,9.033395079597227,7.761805425263903,5.565701559020044,0.0030006438537916315,0.30248482548057665,0.8434987583152492
forwards,283,8.048329344959946,7.402705754796167,5.551236749116608,0.0,0.30500316583892717,0.7736981690826653
backs,222,9.903370869395017,7.801945812987819,5.202702702702703,0.006037645926350013,0.3155467581125262,0.9497105641410916
played_only,503,8.878266683615232,7.587555274989492,5.41948310139165,0.0,0.31062380023901703,0.8556965075075562
