competition,rubric_era,season,round,key_fixture,key_player,team,player_name,position,is_forward,official_pts,group_id,status,label_percentile,label_z,_label_row_id,predicted_points,career_matches,matched,engine
six_nations,modern,2026,1,8523943,201978,Ireland,Cian Prendergast,Back-row,True,15.0,6n-2026-r1,,0.5992366412213741,-0.1037103626712278,33,19.38125,73.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,118518,Ireland,Josh van der Flier,Back-row,True,14.0,6n-2026-r1,,0.5534351145038168,-0.1796101252965398,34,21.7125,106.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,148680,Ireland,Caelan Doris,Back-row,True,34.0,6n-2026-r1,,0.8969465648854962,1.3383851272097007,35,25.0825,96.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,148644,Ireland,Ronan Kelleher,Hooker,True,4.0,6n-2026-r1,,0.1374045801526717,-0.93860775154966,36,7.555,100.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,148770,Ireland,Michael Milne,Prop,True,18.0,6n-2026-r1,,0.683206106870229,0.1239889252047082,37,7.07625,47.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,112068,Ireland,Finlay Bealham,Prop,True,0.0,6n-2026-r1,,0.0419847328244274,-1.2422068020509085,38,6.415,99.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,143604,Ireland,James Ryan,Second-row,True,9.0,6n-2026-r1,,0.3396946564885496,-0.5591089384230999,39,7.10375,101.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,117936,Ireland,Jack Conan,Back-row,True,5.0,6n-2026-r1,,0.1717557251908397,-0.8627079889243481,40,8.1725,100.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,136878,Ireland,Nick Timoney,Back-row,True,33.0,6n-2026-r1,,0.8816793893129771,1.2624853645843888,41,7.14375,78.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,203124,Ireland,Craig Casey,Scrum-half,False,1.0,6n-2026-r1,,0.0648854961832061,-1.1663070394255963,42,4.82,85.0,True,gbdt_v4
six_nations,modern,2026,1,8523943,201696,Ireland,Jack Crowley,Fly-half,False,6.0,6n-2026-r1,,0.232824427480916,-0.7868082262990361,43,8.39625,96.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,231834,Italy,Leonardo Marin,Centre,False,9.0,6n-2026-r1,,0.3396946564885496,-0.5591089384230999,44,19.52375,53.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,213750,Italy,Louis Lynagh,Back-three,False,17.0,6n-2026-r1,,0.648854961832061,0.0480891625793962,45,20.4825,50.0,True,gbdt_v4
