group_id,config,n,mae,spearman,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,thin_n,thin_mae
6n-2025-r1,B+hurdle,131,7.268015267175572,0.6878297487741205,0.4,0.7764227642276422,0.48,0.7653167185877466,0.7066666666666667,0.8702594810379242,0.88,0.9526242452392011,16,4.39359375
6n-2025-r2,B+hurdle,134,6.967695895522389,0.631168675793168,0.35,0.6772727272727272,0.54,0.7364705882352941,0.6714285714285714,0.8630239520958084,0.862,0.9445938676707908,14,4.8099107142857145
6n-2025-r3,B+hurdle,136,6.731167279411766,0.6987091411639529,0.4,0.780439121756487,0.46,0.7244258872651357,0.66,0.8637302133516862,0.8875,0.9592737978410206,15,5.185666666666667
6n-2025-r4,B+hurdle,137,7.820912408759125,0.6040285300903435,0.33333333333333337,0.7198275862068966,0.62,0.7860040567951319,0.61,0.8211125158027813,0.84,0.9240337627721013,11,8.06375
6n-2025-r5,B+hurdle,136,7.561498161764706,0.6387790173651621,0.3,0.5813953488372093,0.34,0.6618625277161863,0.66,0.8232044198895028,0.904,0.96240234375,13,6.453076923076923
