competition,rubric_era,season,round,key_fixture,key_player,team,player_name,position,is_forward,official_pts,group_id,status,label_percentile,label_z,_label_row_id,predicted_points,career_matches,matched,engine
ncr,modern,2026,2,ncr-gw2,140494,Fiji,Jiuta Wainiqolo,Back Three,False,23.0,ncr-2026-gw2,P,0.7595419847328244,0.4765274620270316,0,22.83125,105.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,229307,New Zealand,Cam Roigard,Scrum Half,False,30.0,ncr-2026-gw2,P,0.851145038167939,0.98523023580909,1,29.16375,72.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,146480,Scotland,Sione Tuipulotu,Centre,False,39.0,ncr-2026-gw2,P,0.948473282442748,1.639276659243165,2,14.7975,119.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,123016,Wales,Jac Morgan,Loose Forward,True,32.0,ncr-2026-gw2,P,0.8702290076335878,1.1305738854611065,3,29.45125,76.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,244532,France,Theo Attissogbe,Back Three,False,55.0,ncr-2026-gw2,P,0.9809160305343512,2.802025856459298,4,27.05625,77.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,180778,Scotland,Kyle Rowe,Back Three,False,28.0,ncr-2026-gw2,P,0.8358778625954199,0.8398865861570732,5,14.29625,74.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,250067,France,Fabien Brau-Boirie,Centre,False,22.0,ncr-2026-gw2,P,0.7366412213740458,0.4038556372010233,6,26.52875,41.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,190344,France,Matthieu Jalibert,Fly Half,False,31.0,ncr-2026-gw2,P,0.8625954198473282,1.0579020606350982,7,26.64125,120.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,162344,Argentina,Julian Montoya,Hooker,True,36.0,ncr-2026-gw2,P,0.9236641221374046,1.4212611847651395,8,28.2325,127.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,180443,South Africa,Damian Willemse,Back Three,False,33.0,ncr-2026-gw2,P,0.8835877862595419,1.2032457102871148,9,18.96125,99.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,142873,Japan,Ben Gunter,Loose Forward,True,24.0,ncr-2026-gw2,P,0.7767175572519084,0.5491992868530399,10,21.26125,52.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,146220,New Zealand,Will Jordan,Back Three,False,92.0,ncr-2026-gw2,P,1.0,5.490883375021606,11,37.24125,97.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,245050,Australia,Max Jorgensen,Back Three,False,11.0,ncr-2026-gw2,P,0.3874045801526717,-0.3955344358850682,12,19.645,60.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,229505,Argentina,Lucio Cinti,Centre,False,11.0,ncr-2026-gw2,P,0.3874045801526717,-0.3955344358850682,13,19.41,96.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,187820,Scotland,Rory Darge,Loose Forward,True,16.0,ncr-2026-gw2,P,0.601145038167939,-0.0321753117550266,14,28.0025,100.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,104346,Fiji,Tevita Ikanivere,Hooker,True,36.0,ncr-2026-gw2,P,0.9236641221374046,1.4212611847651395,15,25.29125,99.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,207343,South Africa,Grant Williams,Scrum Half,False,17.0,ncr-2026-gw2,B,0.6335877862595419,0.0404965130709817,16,9.11625,85.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,105748,Ireland,Jack Conan,Loose Forward,True,24.0,ncr-2026-gw2,P,0.7767175572519084,0.5491992868530399,17,23.44875,113.0,True,gbdt_v4
ncr,modern,2026,2,ncr-gw2,109816,Scotland,Rory Hutchinson,Centre,False,4.0,ncr-2026-gw2,P,0.166030534351145,-0.9042372096671264,18,13.11625,91.0,True,gbdt_v4
