event,position,n,per80,weight,exp_pts_per80
potm,Back-row,1876,0.0294552758500415,15,0.4418291377506225
potm,Back-three,1876,0.0868065268065268,15,1.302097902097902
potm,Centre,1876,0.03225806451612903,15,0.4838709677419355
potm,Fly-half,1876,0.031446540880503145,15,0.4716981132075472
potm,Hooker,1876,0.006926406926406926,15,0.1038961038961039
potm,Prop,1876,0.0041671007396603815,15,0.06250651109490572
potm,Scrum-half,1876,0.03523261737648183,15,0.5284892606472275
potm,Second-row,1876,0.014588968117367429,15,0.21883452176051144
scrums_won,Back-row,1338,4.068005618795843,2,8.136011237591687
scrums_won,Back-three,1338,0.004329004329004329,2,0.008658008658008658
scrums_won,Centre,1338,0.009009009009009009,2,0.018018018018018018
scrums_won,Fly-half,1338,0.13157894736842105,2,0.2631578947368421
scrums_won,Hooker,1338,4.757758466237714,2,9.515516932475428
scrums_won,Prop,1338,4.39117516897131,2,8.78235033794262
scrums_won,Scrum-half,1338,1.6676523529362637,2,3.3353047058725274
scrums_won,Second-row,1338,4.3866171419517554,2,8.773234283903511
lineout_steals,Back-row,1876,0.05705933203821492,5,0.2852966601910746
lineout_steals,Back-three,1876,0.007575757575757575,5,0.03787878787878787
lineout_steals,Centre,1876,0.0,5,0.0
lineout_steals,Fly-half,1876,0.0,5,0.0
lineout_steals,Hooker,1876,0.09476900668123238,5,0.4738450334061619
lineout_steals,Prop,1876,0.004096471913564443,5,0.020482359567822215
lineout_steals,Scrum-half,1876,0.0535290524464108,5,0.267645262232054
lineout_steals,Second-row,1876,0.22040692328545985,5,1.1020346164272992
