group_id,n,mae,spearman,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,eval
6n-2026-r1,131,7.763536522741887,0.6437707293856729,0.7,0.8319327731092437,0.54,0.7736625514403292,0.62,0.8257372654155496,0.8959999999999999,0.9560975609756097,6n-2026
6n-2026-r2,131,7.22802721974216,0.688118925230451,0.4,0.8428290766208252,0.5733333333333334,0.777992277992278,0.73,0.8890977443609023,0.882,0.9670686456400742,6n-2026
6n-2026-r3,136,7.40211010689964,0.6118733509883884,0.3,0.5949367088607594,0.46,0.721627408993576,0.7,0.856754921928038,0.83,0.9253371868978806,6n-2026
6n-2026-r4,135,6.914907655358672,0.730743974938628,0.3,0.5652173913043478,0.46,0.7576687116564417,0.7266666666666667,0.8899803536345776,0.878,0.9501397949673812,6n-2026
6n-2026-r5,135,6.666458568817778,0.7591328677868993,0.3,0.6666666666666666,0.5333333333333333,0.8123711340206186,0.6733333333333333,0.9044834307992202,0.885,0.9662408759124088,6n-2026
ncr-2026-gw1,270,9.407442087211814,0.5740422179122123,0.2,0.5733558178752108,0.42,0.6615755627009646,0.45,0.7046313799621928,0.6,0.7884327240035961,ncr
ncr-2026-gw2,262,8.079106515401238,0.5481090270035904,0.3,0.6521008403361345,0.32,0.741991341991342,0.4,0.7212089630015633,0.6058333333333333,0.7734138972809668,ncr
