gw,player_id,key_player,player_name_label,position_label,is_forward,official_pts,expected_points,observable_points,pred_minutes,act_minutes,played,thin_intl,intl_prior_matches,official_error,model_term,rubric_term,appearance_term,minutes_term,rate_term
1,211638,140494,Jiuta Wainiqolo,Back Three,False,80.0,18.432871586572446,53.0,74.82680855621545,80.0,True,False,18.0,-61.567128413427554,-34.567128413427554,-27.0,0.0,-1.2620669797186104,-33.48296501789122
1,225594,229307,Cam Roigard,Scrum Half,False,74.0,15.76063428731818,50.0,65.66952140028259,75.0,True,False,17.0,-58.23936571268182,-34.23936571268182,-24.0,0.0,-2.1804377840810796,-32.47326414627501
1,139998,146480,Sione Tuipulotu,Centre,False,60.0,14.895989615109,45.0,74.27297894813091,80.0,True,False,43.0,-45.104010384891,-30.104010384890998,-15.0,0.0,-1.106889828298341,-29.53800231187077
1,128814,121353,Malcolm Marx,Hooker,True,40.0,30.713724071939247,51.0,54.985620481513486,80.0,True,False,52.0,-9.286275928060753,-20.286275928060753,11.0,0.0,-11.17711475029621,-15.253793328638272
1,203070,123016,Jac Morgan,Loose Forward,True,62.0,26.874878092581664,39.0,72.00738826880006,80.0,True,False,31.0,-35.12512190741833,-12.125121907418336,-23.0,0.0,-2.1873075896612852,-17.10670490975644
1,339450,244532,Theo Attissogbe,Back Three,False,55.0,16.730788403784825,44.0,74.00636908772385,80.0,True,False,13.0,-38.26921159621517,-27.269211596215175,-11.0,0.0,-1.3309986296601681,-26.234493259382802
1,179370,180778,Kyle Rowe,Back Three,False,55.0,14.610685564441182,43.0,74.45701575109541,80.0,True,False,19.0,-40.389314435558816,-28.389314435558816,-12.0,0.0,-1.0493021232606579,-27.85578055224643
1,354888,250067,Fabien Brau-Boirie,Centre,False,53.0,16.905272902342094,40.0,73.01187516212313,68.0,True,True,2.0,-36.09472709765791,-23.094727097657906,-13.0,0.0,1.1433197589851845,-24.487693508699085
1,169662,190344,Matthieu Jalibert,Fly Half,False,50.0,23.513124016887286,37.0,72.11305954247604,80.0,True,False,34.0,-26.486875983112714,-13.486875983112714,-13.0,0.0,-2.539399354309821,-11.241982751247564
1,264132,240624,Selestino Ravutaumada,Centre,False,50.0,16.001457394348208,34.0,72.93515420182229,64.0,True,False,10.0,-33.99854260565179,-17.998542605651792,-16.0,0.0,1.9338820044695328,-20.148146356466007
1,124668,162344,Julian Montoya,Hooker,True,37.0,22.10993535881274,39.0,56.735230444265596,80.0,True,False,59.0,-14.890064641187259,-16.89006464118726,2.0,0.0,-7.387179928616245,-13.597883169505389
1,161226,180443,Damian Willemse,Back Three,False,33.0,17.04770834685543,22.0,74.2329669262441,80.0,True,False,40.0,-15.95229165314457,-4.95229165314457,-11.0,0.0,-1.2137522565049776,-5.162888216772477
1,157710,142873,Ben Gunter,Loose Forward,True,54.0,22.10337333776661,34.0,68.56933580116464,64.0,True,False,18.0,-31.89662666223339,-11.896626662233391,-20.0,0.0,0.971554815643513,-20.39200292844829
1,168972,146220,Will Jordan,Back Three,False,47.0,21.89046132586191,37.0,74.87553116553109,80.0,True,False,54.0,-25.10953867413809,-15.10953867413809,-10.0,0.0,-1.3687827784891202,-15.631419993702002
1,346554,245050,Max Jorgensen,Back Three,False,47.0,18.304962056707588,31.0,74.58330336015383,80.0,True,False,20.0,-28.695037943292412,-12.695037943292412,-16.0,0.0,-1.3018310431074687,-11.7730632942451
1,143496,145361,Hugo Keenan,Back Three,False,46.0,11.605726264051485,30.0,72.77272843489287,80.0,True,False,49.0,-34.394273735948516,-18.394273735948516,-16.0,0.0,-1.1114080527133916,-17.697619576613572
1,201528,229505,Lucio Cinti,Centre,False,45.0,15.079697842176204,44.0,71.52440263171137,80.0,True,False,41.0,-29.920302157823798,-28.920302157823798,-1.0,0.0,-1.7494710011059147,-27.48698339398194
1,180222,187820,Rory Darge,Loose Forward,True,47.0,25.694172608245232,30.0,69.41779663367002,80.0,True,False,39.0,-21.305827391754768,-4.305827391754768,-17.0,0.0,-2.783985099770309,-8.953456074161052
1,123516,154929,Cheslin Kolbe,Back Three,False,42.0,42.45349808635332,36.0,74.35663669886264,80.0,True,False,33.0,0.4534980863533207,6.453498086353321,-6.0,0.0,-3.173419672324764,8.986218366415619
1,118518,126800,Josh van der Flier,Loose Forward,True,43.0,23.955613789653732,32.0,66.03989949599755,51.0,True,False,58.0,-19.044386210346268,-8.044386210346268,-11.0,0.0,3.913891673077719,-18.72807119621485
1,206742,104346,Tevita Ikanivere,Hooker,True,33.0,24.25497195137573,11.0,58.2695771857214,70.0,True,False,31.0,-8.74502804862427,13.25497195137573,-22.0,0.0,-4.078827926235183,13.339954267370683
1,178674,207343,Grant Williams,Scrum Half,False,39.0,20.56775408334221,29.0,64.1124124301229,66.0,True,False,28.0,-18.43224591665779,-8.432245916657791,-10.0,0.0,-0.5881656483235445,-8.43463211517045
1,120504,216173,Jamison Gibson-Park,Scrum Half,False,39.0,15.172107470320247,30.0,64.21295638630397,80.0,True,False,55.0,-23.82789252967975,-14.827892529679753,-9.0,0.0,-3.5921764462739416,-11.796837790920886
1,117936,105748,Jack Conan,Loose Forward,True,40.0,24.073161290864974,28.0,65.9841163601294,80.0,True,False,48.0,-15.926838709135026,-3.9268387091350263,-12.0,0.0,-3.3105319133982545,-9.10411302798847
1,130554,109816,Rory Hutchinson,Centre,False,37.0,14.300190321444894,29.0,73.923323107953,80.0,True,False,7.0,-22.699809678555106,-14.699809678555106,-8.0,0.0,-1.1502558548508588,-13.856777804246478
1,229884,239638,Takuro Matsunaga,Back Three,False,37.0,14.653566977671554,29.0,75.26522699724993,80.0,True,False,5.0,-22.346433022328448,-14.346433022328446,-8.0,0.0,-0.8817027812001066,-14.102512315788037
1,340140,243815,Marko Gazzotti,Loose Forward,True,42.0,20.852584084913833,25.0,65.54046684364616,80.0,True,True,1.0,-21.147415915086167,-4.147415915086167,-17.0,0.0,-3.4523802831037886,-5.899077469389888
1,120396,179379,Ardie Savea,Loose Forward,True,43.0,30.26840059572875,20.0,73.80285990434024,80.0,True,False,62.0,-12.73159940427125,10.26840059572875,-23.0,0.0,-1.901920081339998,4.552229602451999
1,161946,214439,Rob Valetini,Loose Forward,True,37.0,19.470086663416378,26.0,74.02240415707827,68.0,True,False,61.0,-17.529913336583622,-6.529913336583622,-11.0,0.0,1.1209645692956924,-13.342996463876073
1,162444,128023,Salesi Rayasi,Back Three,False,35.0,12.451603716137063,21.0,72.088622547455,80.0,True,True,4.0,-22.548396283862935,-8.548396283862937,-14.0,0.0,-1.3378012485925068,-7.472128206577713
1,136680,165007,Ellis Genge,Prop,True,35.0,14.070563833563783,28.0,56.75865188195072,58.0,True,False,68.0,-20.92943616643622,-13.929436166436217,-7.0,0.0,-0.1910480032044685,-19.073588444092465
1,150468,133457,Antoine Hastoy,Fly Half,False,35.0,6.3942739259299906,21.0,21.31122876114697,15.0,True,False,11.0,-28.60572607407001,-14.60572607407001,-14.0,0.0,1.8418874241442664,-16.622356214965816
1,173226,178222,Jock Campbell,Back Three,False,34.0,12.516585003039348,29.0,75.37349132141374,77.0,True,False,7.0,-21.483414996960654,-16.483414996960654,-5.0,0.0,-0.2640173125307566,-16.501245254628323
1,112860,185160,Codie Taylor,Hooker,True,25.0,31.125998405006186,17.0,60.225261089124096,59.0,True,False,56.0,6.125998405006186,14.125998405006186,-8.0,0.0,0.4901138118059179,6.600451490074561
1,164262,240621,Dylan Pietsch,Back Three,False,32.0,17.20717821190231,32.0,74.57915082313934,80.0,True,False,11.0,-14.79282178809769,-14.79282178809769,0.0,0.0,-1.226093467979763,-13.905514387473541
1,126930,179604,Josua Tuisova,Centre,False,32.0,17.84515397114014,16.0,71.2784693217686,80.0,True,False,20.0,-14.154846028859861,1.8451539711401388,-16.0,0.0,-2.130706822697631,3.544338270948617
1,226080,235266,Joaquin Oviedo,Loose Forward,True,38.0,24.37010796736185,30.0,69.52265959521712,80.0,True,False,23.0,-13.62989203263815,-5.62989203263815,-8.0,0.0,-2.70652808749954,-9.33423572826542
1,207894,245055,Elia Canakaivata,Loose Forward,True,48.0,17.579532254442288,27.0,68.248345829347,80.0,True,False,20.0,-30.420467745557712,-9.420467745557712,-21.0,0.0,-2.4739684061480287,-10.158330766225673
1,129840,172351,Stuart McCloskey,Centre,False,31.0,20.102498808227192,19.0,75.02076011062485,80.0,True,False,25.0,-10.897501191772808,1.1024988082271925,-12.0,0.0,-1.2658185618093027,1.3375389004308693
1,227772,137626,Fin Smith,Fly Half,False,31.0,19.66564089706016,26.0,74.13650650970081,80.0,True,False,22.0,-11.334359102939839,-6.334359102939839,-5.0,0.0,-1.5279481113225128,-5.153068199353655
1,186096,211240,Dan Sheehan,Hooker,True,16.0,26.58255012087956,28.0,57.5000387919979,60.0,True,False,45.0,10.58255012087956,-1.41744987912044,12.0,0.0,-0.9625180009530594,-4.899209526800348
1,220140,197335,Lorenzo Cannone,Loose Forward,True,34.0,20.557812648682805,23.0,69.9887725472754,80.0,True,False,38.0,-13.442187351317195,-2.4421873513171946,-11.0,0.0,-2.035195021730107,-6.736699370056004
