gw,player_id,key_player,player_name_label,position_label,is_forward,official_pts,expected_points,observable_points,pred_minutes,act_minutes,played,thin_intl,intl_prior_matches,official_error,model_term,rubric_term,appearance_term,minutes_term,rate_term,position_correction,potm_correction,repaired_points
1,211638,140494,Jiuta Wainiqolo,Back Three,False,80.0,18.43287158657245,53.0,74.82680855621545,80.0,True,False,18.0,-61.567128413427554,-34.567128413427554,-27.0,0.0,-1.2620669797186104,-33.48296501789122,0.0,0.0,53.0
1,225594,229307,Cam Roigard,Scrum Half,False,74.0,15.76063428731818,50.0,65.66952140028259,75.0,True,False,17.0,-58.23936571268182,-34.23936571268182,-24.0,0.0,-2.18043778408108,-32.47326414627501,0.0,0.0,50.0
1,139998,146480,Sione Tuipulotu,Centre,False,60.0,14.895989615109,45.0,74.27297894813091,80.0,True,False,43.0,-45.104010384891,-30.104010384891,-15.0,0.0,-1.106889828298341,-29.53800231187077,0.4838709677419355,0.0,45.483870967741936
1,128814,121353,Malcolm Marx,Hooker,True,40.0,30.713724071939247,51.0,54.985620481513486,80.0,True,False,52.0,-9.286275928060752,-20.286275928060757,11.0,0.0,-11.17711475029621,-15.253793328638272,10.093258069777693,0.0,61.09325806977769
1,203070,123016,Jac Morgan,Loose Forward,True,62.0,26.874878092581664,39.0,72.00738826880006,80.0,True,False,31.0,-35.12512190741833,-12.125121907418336,-23.0,0.0,-2.187307589661285,-17.10670490975644,0.0,0.0,39.0
1,339450,244532,Theo Attissogbe,Back Three,False,55.0,16.730788403784825,44.0,74.00636908772385,80.0,True,False,13.0,-38.26921159621517,-27.26921159621517,-11.0,0.0,-1.330998629660168,-26.2344932593828,0.0,0.0,44.0
1,179370,180778,Kyle Rowe,Back Three,False,55.0,14.610685564441182,43.0,74.45701575109541,80.0,True,False,19.0,-40.389314435558816,-28.389314435558816,-12.0,0.0,-1.049302123260658,-27.85578055224643,0.0,0.0,43.0
1,354888,250067,Fabien Brau-Boirie,Centre,False,53.0,16.905272902342094,40.0,73.01187516212313,68.0,True,True,2.0,-36.09472709765791,-23.094727097657906,-13.0,0.0,1.1433197589851845,-24.487693508699085,0.4112903225806452,0.0,40.41129032258065
1,169662,190344,Matthieu Jalibert,Fly Half,False,50.0,23.51312401688729,37.0,72.11305954247604,80.0,True,False,34.0,-26.486875983112714,-13.486875983112714,-13.0,0.0,-2.539399354309821,-11.241982751247564,0.0,0.0,37.0
1,264132,240624,Selestino Ravutaumada,Centre,False,50.0,16.001457394348208,34.0,72.93515420182229,64.0,True,False,10.0,-33.99854260565179,-17.998542605651792,-16.0,0.0,1.9338820044695328,-20.148146356466007,0.3870967741935484,0.0,34.38709677419355
1,124668,162344,Julian Montoya,Hooker,True,37.0,22.10993535881274,39.0,56.7352304442656,80.0,True,False,59.0,-14.89006464118726,-16.89006464118726,2.0,0.0,-7.387179928616245,-13.597883169505389,10.093258069777693,0.0,49.09325806977769
1,161226,180443,Damian Willemse,Back Three,False,33.0,17.04770834685543,22.0,74.2329669262441,80.0,True,False,40.0,-15.95229165314457,-4.95229165314457,-11.0,0.0,-1.2137522565049776,-5.162888216772477,0.0,0.0,22.0
1,157710,142873,Ben Gunter,Loose Forward,True,54.0,22.10337333776661,34.0,68.56933580116464,64.0,True,False,18.0,-31.89662666223339,-11.896626662233391,-20.0,0.0,0.971554815643513,-20.39200292844829,0.0,0.0,34.0
1,168972,146220,Will Jordan,Back Three,False,47.0,21.89046132586191,37.0,74.87553116553109,80.0,True,False,54.0,-25.10953867413809,-15.10953867413809,-10.0,0.0,-1.3687827784891202,-15.631419993702002,0.0,0.0,37.0
1,346554,245050,Max Jorgensen,Back Three,False,47.0,18.304962056707588,31.0,74.58330336015383,80.0,True,False,20.0,-28.69503794329241,-12.695037943292412,-16.0,0.0,-1.3018310431074689,-11.7730632942451,0.0,0.0,31.0
1,143496,145361,Hugo Keenan,Back Three,False,46.0,11.605726264051484,30.0,72.77272843489287,80.0,True,False,49.0,-34.39427373594852,-18.39427373594852,-16.0,0.0,-1.1114080527133916,-17.697619576613572,0.0,0.0,30.0
1,201528,229505,Lucio Cinti,Centre,False,45.0,15.079697842176204,44.0,71.52440263171137,80.0,True,False,41.0,-29.9203021578238,-28.9203021578238,-1.0,0.0,-1.7494710011059147,-27.48698339398194,0.4838709677419355,0.0,44.483870967741936
1,180222,187820,Rory Darge,Loose Forward,True,47.0,25.694172608245232,30.0,69.41779663367002,80.0,True,False,39.0,-21.305827391754768,-4.305827391754768,-17.0,0.0,-2.783985099770309,-8.953456074161052,0.0,0.0,30.0
1,123516,154929,Cheslin Kolbe,Back Three,False,42.0,42.45349808635332,36.0,74.35663669886264,80.0,True,False,33.0,0.4534980863533207,6.453498086353321,-6.0,0.0,-3.173419672324764,8.986218366415619,0.0,0.0,36.0
1,118518,126800,Josh van der Flier,Loose Forward,True,43.0,23.95561378965373,32.0,66.03989949599755,51.0,True,False,58.0,-19.044386210346268,-8.044386210346268,-11.0,0.0,3.913891673077719,-18.72807119621485,0.0,0.0,32.0
1,206742,104346,Tevita Ikanivere,Hooker,True,33.0,24.25497195137573,11.0,58.2695771857214,70.0,True,False,31.0,-8.74502804862427,13.25497195137573,-22.0,0.0,-4.078827926235183,13.339954267370684,8.831600811055482,0.0,19.83160081105548
1,178674,207343,Grant Williams,Scrum Half,False,39.0,20.56775408334221,29.0,64.1124124301229,66.0,True,False,28.0,-18.43224591665779,-8.432245916657791,-10.0,0.0,-0.5881656483235445,-8.43463211517045,0.0,0.0,29.0
1,120504,216173,Jamison Gibson-Park,Scrum Half,False,39.0,15.172107470320247,30.0,64.21295638630397,80.0,True,False,55.0,-23.82789252967975,-14.827892529679753,-9.0,0.0,-3.5921764462739416,-11.796837790920886,0.0,0.0,30.0
1,117936,105748,Jack Conan,Loose Forward,True,40.0,24.073161290864974,28.0,65.9841163601294,80.0,True,False,48.0,-15.926838709135026,-3.9268387091350254,-12.0,0.0,-3.3105319133982545,-9.10411302798847,0.0,0.0,28.0
