competition,group_id,engine,n,mae,spearman,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,thin_n,thin_mae
six_nations,6n-2026-r1,gbdt_v4,131,7.5790171755725195,0.6300057892673145,0.7,0.8319327731092437,0.54,0.7767489711934157,0.64,0.8371313672922251,0.8959999999999999,0.9482926829268292,10,4.448875
six_nations,6n-2026-r2,gbdt_v4,131,7.339809160305342,0.7003030566717962,0.4,0.825147347740668,0.5733333333333334,0.8001930501930502,0.72,0.8765664160401002,0.868,0.9642857142857143,9,7.952638888888888
six_nations,6n-2026-r3,gbdt_v4,136,7.300808823529413,0.603933857121667,0.4,0.6919831223628692,0.5,0.7441113490364025,0.7,0.8560760353021045,0.82,0.9224470134874759,6,7.210624999999999
six_nations,6n-2026-r4,gbdt_v4,135,7.1814629629629625,0.7181201070787084,0.3,0.5968379446640316,0.46,0.7239263803680982,0.7266666666666667,0.888015717092338,0.878,0.9575955265610439,9,5.940138888888889
six_nations,6n-2026-r5,gbdt_v4,135,6.75287962962963,0.7564165442326323,0.3,0.692929292929293,0.45333333333333337,0.7690721649484537,0.69,0.9090318388564003,0.895,0.969434306569343,6,7.5425
ncr,ncr-2026-gw1,gbdt_v4,270,9.487152777777778,0.53705220849379,0.1,0.4873524451939292,0.34,0.5522508038585209,0.435,0.6587901701323251,0.6,0.7677554689841175,32,8.393359375
ncr,ncr-2026-gw2,gbdt_v4,262,8.453606870229008,0.5267016475884048,0.3,0.6218487394957983,0.32,0.6545454545454545,0.38,0.6946326211568525,0.5958333333333333,0.7841557569654246,24,6.4972916666666665
